row_type,record_id,entity_type,display_name,degree,out_degree,in_degree,relationship_type_diversity,relationship_types,hold_count,current_state,priority,recommended_action,route,notes
ENTITY_NETWORK,V1-ENT-0001,place,阿根廷,12,0,12,1,ASSOCIATED_WITH_PLACE,0,WEAK_DEGREE,P1,SEMANTIC_DIVERSITY_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0002,author,豪尔赫·路易斯·博尔赫斯,7,7,0,2,ASSOCIATED_WITH_PLACE;CREATED,4,CONNECTED,P1,HOLD_EVIDENCE_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0003,work,《小径分岔的花园》,2,1,1,2,CREATED;SET_IN,1,CONNECTED,P1,HOLD_EVIDENCE_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0004,work,《阿莱夫》,2,1,1,2,CREATED;SET_IN,2,CONNECTED,P1,HOLD_EVIDENCE_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0005,author,阿图尔·叔本华,0,0,0,0,,1,ZERO_DEGREE,P2,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0006,author,弗兰茨·卡夫卡,0,0,0,0,,1,ZERO_DEGREE,P2,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0007,author,吉尔伯特·基思·切斯特顿,0,0,0,0,,1,ZERO_DEGREE,P2,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0008,place,阿什格罗夫,1,0,1,1,SET_IN,0,WEAK_DEGREE,P1,SEMANTIC_DIVERSITY_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0009,place,加雷街,1,0,1,1,SET_IN,0,WEAK_DEGREE,P1,SEMANTIC_DIVERSITY_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0010,movement,极端主义（超主义）,0,0,0,0,,1,ZERO_DEGREE,P1,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0011,collection,《虚构集》,1,0,1,1,CREATED,0,WEAK_DEGREE,P1,SEMANTIC_DIVERSITY_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0012,collection,《阿莱夫》,1,0,1,1,CREATED,0,WEAK_DEGREE,P1,SEMANTIC_DIVERSITY_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0013,theme,时间的分岔与无限（多重未来）,0,0,0,0,,1,ZERO_DEGREE,P1,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0014,theme,记忆与遗忘,0,0,0,0,,2,ZERO_DEGREE,P1,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0015,theme,无限与不可言说（阿莱夫）,0,0,0,0,,1,ZERO_DEGREE,P1,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0016,author,克拉丽丝·李斯佩克朵,6,6,0,1,CREATED,0,WEAK_DEGREE,P1,SEMANTIC_DIVERSITY_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0017,work,《活水》,1,0,1,1,CREATED,2,WEAK_DEGREE,P1,SEMANTIC_DIVERSITY_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0018,work,《星辰时刻》,4,2,2,4,ADAPTED_FROM;CREATED;EXPLORES_THEME;SET_IN,0,CONNECTED,DEFER,NO_AUTOMATIC_DENSIFICATION,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0019,collection,《家庭纽带》,1,0,1,1,CREATED,2,WEAK_DEGREE,P1,SEMANTIC_DIVERSITY_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
