tier,candidate_id,author_id,author_name,original_title,recommended_name_zh,publication_year,recommended_entity_type,disposition,current_main_evidence,hierarchy_or_edition_note,research_gate_note
P0,PW-01,V1-ENT-0145,卡洛斯·富恩特斯,Terra Nostra,《我们的土地》,1975,work,STILL_MISSING,"规范化匹配0；作者已有3条CREATED；候选绑定实体/事实/卡片/来源均0","三部结构仍是单一长篇；1976英译与1977获奖不是首版","以1975原作身份送07A审核"
P0,PW-02,V1-ENT-0249,塞尔希奥·皮托尔,El arte de la fuga,《逃亡的艺术》,1996,work,STILL_MISSING,"规范化匹配0；与V1-ENT-0202《逃亡计划》作者及原题不同；作者已有3条CREATED","单一随笔回忆录混合著作按work；记忆三部曲与库内狂欢三部曲不同","别名只记changeset；核验2006中译对应范围"
P0,PW-03,V1-ENT-0225,何塞·马蒂,Versos libres,《自由诗》,1913,collection,STILL_MISSING,"规范化匹配0；已排除V1-ENT-0233 Versos sencillos；作者已有3条CREATED","身后整理诗集；中文选诗集不是原集edition","1913为首刊；1878—1882仅为写作期"
P0,PW-04,V1-ENT-0114,马里奥·巴尔加斯·略萨,La fiesta del Chivo,《公羊的节日》,2000,work,STILL_MISSING,"规范化匹配0；作者已有5条CREATED；候选绑定记录0","单一小说；2009/2021中文本属于edition层","Nobel与出版社书目送07A审核"
P0,PW-05,V1-ENT-0248,何塞·玛丽亚·阿格达斯,El zorro de arriba y el zorro de abajo,《山上的狐狸，山下的狐狸》,1971,work,STILL_MISSING,"规范化匹配0；作者已有3条CREATED；候选绑定记录0","小说与日记交错仍为单一未竟长篇；1969不是首版年","《山下的狐狸》只作edition-specific alias"
P0,PW-06,V1-ENT-0172,豪尔赫·亚马多,Terras do sem-fim,《无边的土地》,1943,work,STILL_MISSING,"规范化匹配0；作者已有3条CREATED；候选绑定记录0","单一小说；The Violent Land是英译；1947舞台版另属adaptation","巴西国家图书馆与SciELO均支持1943；Itaú的1942异说保留审计"
P1,,V1-ENT-0059,奥克塔维奥·帕斯,Los hijos del limo,《泥淖之子：现代诗歌从浪漫主义到先锋派》,1974,work,STILL_MISSING,"规范化匹配0；作者已有3条CREATED","讲座结集是独立著作work，不是《弓与琴》版本","转译说未获MARC支持，保留待核"
P1,,V1-ENT-0322,索尔·胡安娜·伊内斯·德·拉·克鲁斯,Inundación castálida,《卡斯塔利达的洪流》,1689,collection,STILL_MISSING,"规范化匹配0；作者已有3条CREATED","1689诗文集；无证据把《第一梦》判为本集既有子项","《卡斯塔利亚的泛滥》仅alias候选"
P1,,V1-ENT-0310,尼古拉斯·纪廉,Cantos para soldados y sones para turistas,《给士兵的歌·给游客的颂调》,1937,collection,STILL_MISSING,"规范化匹配0；作者已有3条CREATED","独立诗集；中文选诗收录单篇不等于原集","Britannica与BVMC身份来源可审"
P1,,V1-ENT-0002,豪尔赫·路易斯·博尔赫斯,"El otro, el mismo","《另一个，同一个》",1964,collection,STILL_MISSING,"规范化匹配0；作者已有6条CREATED","独立诗集；与故事/集两层《阿莱夫》均无重叠","迁移前须补A/B原始书目"
