target_id,name_zh,field,decision,judgment,research_refs,source_refs
V1-ENT-0170,米格尔·安赫尔·阿斯图里亚斯,reader_lede,REWRITE,low_factual,V1-FCT-0355;V1-FCT-0356;V1-FCT-0357;V1-FCT-0359;V1-REL-0103;V1-REL-0104;V1-REL-0105;V1-REL-0112;V1-FCT-0361;V1-FCT-0364;V1-FCT-0367,SRC-0130
V1-ENT-0170,米格尔·安赫尔·阿斯图里亚斯,literary_connections,RESEARCH_GAP,high,,
V1-ENT-0171,伊莎贝尔·阿连德,reader_lede,REWRITE,low_factual,V1-FCT-0369;V1-FCT-0370;V1-FCT-0371;V1-REL-0106;V1-REL-0107;V1-REL-0108;V1-REL-0113;V1-REL-0296;V1-FCT-0374;V1-FCT-0377;V1-FCT-0380,SRC-0133;SRC-0134;SRC-0135;SRC-0136;SRC-0137
V1-ENT-0171,伊莎贝尔·阿连德,literary_connections,RESEARCH_GAP,high,,
V1-ENT-0184,胡安·卡洛斯·奥内蒂,reader_lede,REWRITE,low_factual,V1-FCT-0396;V1-FCT-0397;V1-FCT-0398;V1-FCT-0399;V1-FCT-0400;V1-REL-0115;V1-REL-0116;V1-REL-0117;V1-REL-0124;V1-REL-0302;V1-FCT-0402;V1-FCT-0405;V1-FCT-0408,SRC-0141;SRC-0142;SRC-0143
V1-ENT-0184,胡安·卡洛斯·奥内蒂,literary_connections,RESEARCH_GAP,high,,
V1-ENT-0186,埃内斯托·萨瓦托,reader_lede,REWRITE,low_factual,V1-FCT-0423;V1-FCT-0424;V1-FCT-0425;V1-FCT-0426;V1-FCT-0427;V1-REL-0121;V1-REL-0122;V1-REL-0123;V1-REL-0126;V1-FCT-0429;V1-FCT-0432;V1-FCT-0435,SRC-0148;SRC-0149;SRC-0150
V1-ENT-0186,埃内斯托·萨瓦托,literary_connections,RESEARCH_GAP,high,,
V1-ENT-0198,阿道夫·比奥伊·卡萨雷斯,reader_lede,REWRITE,low_factual,V1-FCT-0437;V1-FCT-0438;V1-FCT-0439;V1-FCT-0440;V1-FCT-0441;V1-REL-0128;V1-REL-0129;V1-REL-0130;V1-REL-0137;V1-REL-0300;V1-FCT-0446;V1-FCT-0449,SRC-0153;SRC-0154;SRC-0155
V1-ENT-0198,阿道夫·比奥伊·卡萨雷斯,literary_connections,RESEARCH_GAP,high,,
V1-ENT-0199,奥古斯托·罗亚·巴斯托斯,reader_lede,REWRITE,low_factual,V1-FCT-0451;V1-FCT-0452;V1-FCT-0453;V1-FCT-0454;V1-FCT-0455;V1-REL-0131;V1-REL-0132;V1-REL-0133;V1-REL-0138;V1-FCT-0457;V1-FCT-0460;V1-FCT-0463,SRC-0157;SRC-0158;SRC-0159;SRC-0160;SRC-0161
V1-ENT-0199,奥古斯托·罗亚·巴斯托斯,literary_connections,RESEARCH_GAP,high,,
V1-ENT-0200,奥拉西奥·基罗加,reader_lede,REWRITE,low_factual,V1-FCT-0465;V1-FCT-0466;V1-FCT-0467;V1-FCT-0468;V1-FCT-0469;V1-REL-0134;V1-REL-0135;V1-REL-0136;V1-REL-0139;V1-FCT-0471;V1-FCT-0474;V1-FCT-0477,SRC-0162;SRC-0163
V1-ENT-0200,奥拉西奥·基罗加,literary_connections,RESEARCH_GAP,high,,
V1-ENT-0211,马查多·德·阿西斯,reader_lede,REWRITE,low_factual,V1-FCT-0479;V1-FCT-0480;V1-FCT-0481;V1-FCT-0482;V1-FCT-0483;V1-REL-0140;V1-REL-0141;V1-REL-0142;V1-REL-0149;V1-REL-0299;V1-FCT-0485;V1-FCT-0488;V1-FCT-0491,SRC-0165;SRC-0166
V1-ENT-0211,马查多·德·阿西斯,literary_connections,RESEARCH_GAP,high,,
V1-ENT-0212,若昂·吉马朗埃斯·罗萨,reader_lede,REWRITE,low_factual,V1-FCT-0493;V1-FCT-0494;V1-FCT-0495;V1-FCT-0496;V1-FCT-0497;V1-REL-0143;V1-REL-0144;V1-REL-0145;V1-REL-0150;V1-FCT-0499;V1-FCT-0502;V1-FCT-0505,SRC-0168;SRC-0169
V1-ENT-0212,若昂·吉马朗埃斯·罗萨,literary_connections,RESEARCH_GAP,high,,
