mapping_id,preview_entity_ref,origin_layer,origin_ref,entity_id,mapping_action,mapping_basis
V1-EMAP-0001,PRE-ENT-0001,N2,STG-ENT-0001,V1-ENT-0001,merge_exact,A02 exact normalization
V1-EMAP-0002,PRE-ENT-0097,B02,B02-ENT-0025,V1-ENT-0001,merge_exact,A02 exact normalization
V1-EMAP-0003,PRE-ENT-0002,N2,STG-ENT-0002,V1-ENT-0002,retain_as_formal_candidate,N2 暂存已通过实体层（ENTITY_ID_MAP）
V1-EMAP-0004,PRE-ENT-0003,N2,STG-ENT-0003,V1-ENT-0003,retain_as_formal_candidate,N2 暂存已通过实体层（ENTITY_ID_MAP）
V1-EMAP-0005,PRE-ENT-0004,N2,STG-ENT-0004,V1-ENT-0004,retain_as_formal_candidate,N2 暂存已通过实体层（ENTITY_ID_MAP）
V1-EMAP-0006,PRE-ENT-0005,N2,STG-ENT-0005,V1-ENT-0005,retain_as_formal_candidate,N2 暂存已通过实体层（ENTITY_ID_MAP）
V1-EMAP-0007,PRE-ENT-0006,N2,STG-ENT-0006,V1-ENT-0006,retain_as_formal_candidate,N2 暂存已通过实体层（ENTITY_ID_MAP）
V1-EMAP-0008,PRE-ENT-0007,N2,STG-ENT-0007,V1-ENT-0007,retain_as_formal_candidate,N2 暂存已通过实体层（ENTITY_ID_MAP）
V1-EMAP-0009,PRE-ENT-0008,N2,STG-ENT-0008,V1-ENT-0008,retain_as_formal_candidate,N2 暂存已通过实体层（ENTITY_ID_MAP）
V1-EMAP-0010,PRE-ENT-0009,N2,STG-ENT-0009,V1-ENT-0009,retain_as_formal_candidate,N2 暂存已通过实体层（ENTITY_ID_MAP）
V1-EMAP-0011,PRE-ENT-0010,N2,STG-ENT-0010,V1-ENT-0010,retain_as_formal_candidate,N2 暂存已通过实体层（ENTITY_ID_MAP）
V1-EMAP-0012,PRE-ENT-0011,N2,STG-ENT-0011,V1-ENT-0011,retain_as_formal_candidate,N2 暂存已通过实体层（ENTITY_ID_MAP）
V1-EMAP-0013,PRE-ENT-0012,N2,STG-ENT-0012,V1-ENT-0012,retain_as_formal_candidate,N2 暂存已通过实体层（ENTITY_ID_MAP）
V1-EMAP-0014,PRE-ENT-0013,N2,STG-ENT-0013,V1-ENT-0013,retain_as_formal_candidate,N2 暂存已通过实体层（ENTITY_ID_MAP）
V1-EMAP-0015,PRE-ENT-0014,N2,STG-ENT-0014,V1-ENT-0014,merge_exact,A02 exact normalization
V1-EMAP-0016,PRE-ENT-0067,B01,B01-ENT-0039,V1-ENT-0014,merge_exact,A02 exact normalization
V1-EMAP-0017,PRE-ENT-0015,N2,STG-ENT-0015,V1-ENT-0015,retain_as_formal_candidate,N2 暂存已通过实体层（ENTITY_ID_MAP）
V1-EMAP-0018,PRE-ENT-0016,N2,STG-ENT-0016,V1-ENT-0016,retain_as_formal_candidate,N2 暂存已通过实体层（ENTITY_ID_MAP）
V1-EMAP-0019,PRE-ENT-0017,N2,STG-ENT-0017,V1-ENT-0017,retain_as_formal_candidate,N2 暂存已通过实体层（ENTITY_ID_MAP）
V1-EMAP-0020,PRE-ENT-0018,N2,STG-ENT-0018,V1-ENT-0018,retain_as_formal_candidate,N2 暂存已通过实体层（ENTITY_ID_MAP）
V1-EMAP-0021,PRE-ENT-0019,N2,STG-ENT-0019,V1-ENT-0019,retain_as_formal_candidate,N2 暂存已通过实体层（ENTITY_ID_MAP）
V1-EMAP-0022,PRE-ENT-0020,N2,STG-ENT-0020,V1-ENT-0020,retain_as_formal_candidate,N2 暂存已通过实体层（ENTITY_ID_MAP）
V1-EMAP-0023,PRE-ENT-0021,N2,STG-ENT-0021,V1-ENT-0021,retain_as_formal_candidate,N2 暂存已通过实体层（ENTITY_ID_MAP）
V1-EMAP-0024,PRE-ENT-0022,N2,STG-ENT-0022,V1-ENT-0022,retain_as_formal_candidate,N2 暂存已通过实体层（ENTITY_ID_MAP）
V1-EMAP-0025,PRE-ENT-0023,N2,STG-ENT-0023,V1-ENT-0023,retain_as_formal_candidate,N2 暂存已通过实体层（ENTITY_ID_MAP）
V1-EMAP-0026,PRE-ENT-0024,N2,STG-ENT-0024,V1-ENT-0024,retain_as_formal_candidate,N2 暂存已通过实体层（ENTITY_ID_MAP）
V1-EMAP-0027,PRE-ENT-0025,N2,STG-ENT-0025,V1-ENT-0025,retain_as_formal_candidate,N2 暂存已通过实体层（ENTITY_ID_MAP）
V1-EMAP-0028,PRE-ENT-0026,N2,STG-ENT-0026,V1-ENT-0026,retain_as_formal_candidate,N2 暂存已通过实体层（ENTITY_ID_MAP）
V1-EMAP-0029,PRE-ENT-0027,N2,STG-ENT-0027,V1-ENT-0027,retain_as_formal_candidate,N2 暂存已通过实体层（ENTITY_ID_MAP）
V1-EMAP-0030,PRE-ENT-0028,N2,STG-ENT-0028,V1-ENT-0028,retain_as_formal_candidate,N2 暂存已通过实体层（ENTITY_ID_MAP）
V1-EMAP-0031,PRE-ENT-0029,B01,B01-ENT-0001,V1-ENT-0029,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0032,PRE-ENT-0030,B01,B01-ENT-0002,V1-ENT-0030,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0033,PRE-ENT-0031,B01,B01-ENT-0003,V1-ENT-0031,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0034,PRE-ENT-0032,B01,B01-ENT-0004,V1-ENT-0032,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0035,PRE-ENT-0033,B01,B01-ENT-0005,V1-ENT-0033,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0036,PRE-ENT-0034,B01,B01-ENT-0006,V1-ENT-0034,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0037,PRE-ENT-0035,B01,B01-ENT-0007,V1-ENT-0035,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0038,PRE-ENT-0036,B01,B01-ENT-0008,V1-ENT-0036,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0039,PRE-ENT-0037,B01,B01-ENT-0009,V1-ENT-0037,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0040,PRE-ENT-0038,B01,B01-ENT-0010,V1-ENT-0038,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0041,PRE-ENT-0039,B01,B01-ENT-0011,V1-ENT-0039,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0042,PRE-ENT-0040,B01,B01-ENT-0012,V1-ENT-0040,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0043,PRE-ENT-0041,B01,B01-ENT-0013,V1-ENT-0041,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0044,PRE-ENT-0042,B01,B01-ENT-0014,V1-ENT-0042,retain_as_formal_candidate,A02-TC-0018 裁决：1968 年电影按 adaptation 分层
V1-EMAP-0045,PRE-ENT-0043,B01,B01-ENT-0015,V1-ENT-0043,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0046,PRE-ENT-0044,B01,B01-ENT-0016,V1-ENT-0044,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0047,PRE-ENT-0045,B01,B01-ENT-0017,V1-ENT-0045,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0048,PRE-ENT-0046,B01,B01-ENT-0018,V1-ENT-0046,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0049,PRE-ENT-0047,B01,B01-ENT-0019,V1-ENT-0047,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0050,PRE-ENT-0048,B01,B01-ENT-0020,V1-ENT-0048,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0051,PRE-ENT-0049,B01,B01-ENT-0021,V1-ENT-0049,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0052,PRE-ENT-0050,B01,B01-ENT-0022,V1-ENT-0050,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0053,PRE-ENT-0051,B01,B01-ENT-0023,V1-ENT-0051,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0054,PRE-ENT-0052,B01,B01-ENT-0024,V1-ENT-0052,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0055,PRE-ENT-0053,B01,B01-ENT-0025,V1-ENT-0053,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0056,PRE-ENT-0054,B01,B01-ENT-0026,V1-ENT-0054,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0057,PRE-ENT-0055,B01,B01-ENT-0027,V1-ENT-0055,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0058,PRE-ENT-0056,B01,B01-ENT-0028,V1-ENT-0056,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0059,PRE-ENT-0057,B01,B01-ENT-0029,V1-ENT-0057,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0060,PRE-ENT-0058,B01,B01-ENT-0030,V1-ENT-0058,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0061,PRE-ENT-0059,B01,B01-ENT-0031,V1-ENT-0059,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0062,PRE-ENT-0060,B01,B01-ENT-0032,V1-ENT-0060,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0063,PRE-ENT-0061,B01,B01-ENT-0033,V1-ENT-0061,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0064,PRE-ENT-0062,B01,B01-ENT-0034,V1-ENT-0062,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0065,PRE-ENT-0063,B01,B01-ENT-0035,V1-ENT-0063,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0066,PRE-ENT-0064,B01,B01-ENT-0036,V1-ENT-0064,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0067,PRE-ENT-0065,B01,B01-ENT-0037,V1-ENT-0065,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0068,PRE-ENT-0066,B01,B01-ENT-0038,V1-ENT-0066,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0069,PRE-ENT-0068,B01,B01-ENT-0040,V1-ENT-0067,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0070,PRE-ENT-0069,B01,B01-ENT-0041,V1-ENT-0068,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0071,PRE-ENT-0070,B01,B01-ENT-0042,V1-ENT-0069,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0072,PRE-ENT-0071,B01,B01-ENT-0043,V1-ENT-0070,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0073,PRE-ENT-0072,B01,B01-ENT-0044,V1-ENT-0071,retain_as_formal_candidate,B01 批次已通过实体层
V1-EMAP-0074,PRE-ENT-0073,B02,B02-ENT-0001,V1-ENT-0072,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0075,PRE-ENT-0074,B02,B02-ENT-0002,V1-ENT-0073,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0076,PRE-ENT-0075,B02,B02-ENT-0003,V1-ENT-0074,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0077,PRE-ENT-0076,B02,B02-ENT-0004,V1-ENT-0075,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0078,PRE-ENT-0077,B02,B02-ENT-0005,V1-ENT-0076,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0079,PRE-ENT-0078,B02,B02-ENT-0006,V1-ENT-0077,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0080,PRE-ENT-0079,B02,B02-ENT-0007,V1-ENT-0078,retain_as_formal_candidate,B02 批次已通过实体层
