fact_candidate_id,subject_candidate_id,subject_label,fact_field,value_candidate,source_id,source_title,confidence,dispute_status,issue_notes,extracted_by
B01-FCT-0001,B01-ENT-0001,埃莱娜·加罗,birth_year,1916,B01-SRC-0001,Elena Garro - Detalle del autor,high,none,12 月 11 日生于普埃布拉,EXT-AI-02
B01-FCT-0002,B01-ENT-0001,埃莱娜·加罗,death_year,1998,B01-SRC-0001,Elena Garro - Detalle del autor,high,none,8 月 22 日卒于库埃纳瓦卡,EXT-AI-02
B01-FCT-0003,B01-ENT-0001,埃莱娜·加罗,country_or_region,墨西哥,B01-SRC-0001,Elena Garro - Detalle del autor,high,none,,EXT-AI-02
B01-FCT-0004,B01-ENT-0001,埃莱娜·加罗,language,es,B01-SRC-0001,Elena Garro - Detalle del autor,high,none,,EXT-AI-02
B01-FCT-0005,B01-ENT-0001,埃莱娜·加罗,entity_layer,author,B01-SRC-0001,Elena Garro - Detalle del autor,high,none,,EXT-AI-02
B01-FCT-0006,B01-ENT-0001,埃莱娜·加罗,one_sentence_summary,墨西哥剧作家与小说家，以《未来的回忆》知名；1937 年与奥克塔维奥·帕斯结婚，1968 年后长期流亡,B01-SRC-0001,Elena Garro - Detalle del autor,high,none,,EXT-AI-02
B01-FCT-0007,B01-ENT-0001,埃莱娜·加罗,research_note,婚姻（1937-1959）与 1968 年特拉特洛尔科事件后流亡美国/法国约 20 年，1994 年前后返墨（词条）,B01-SRC-0001,Elena Garro - Detalle del autor,medium,none,,EXT-AI-02
B01-FCT-0008,B01-ENT-0001,埃莱娜·加罗,bibliographic_note,奖项：Xavier Villaurrutia 1963、Grijalbo 小说奖 1981（词条）,B01-SRC-0001,Elena Garro - Detalle del autor,medium,none,,EXT-AI-02
B01-FCT-0009,B01-ENT-0002,罗萨里奥·卡斯特利亚诺斯,birth_year,1925,B01-SRC-0006,Rosario Castellanos - Detalle del autor,high,none,5 月 25 日生于墨西哥城,EXT-AI-02
B01-FCT-0010,B01-ENT-0002,罗萨里奥·卡斯特利亚诺斯,death_year,1974,B01-SRC-0006,Rosario Castellanos - Detalle del autor,high,none,8 月 7 日卒于以色列特拉维夫,EXT-AI-02
B01-FCT-0011,B01-ENT-0002,罗萨里奥·卡斯特利亚诺斯,country_or_region,墨西哥,B01-SRC-0006,Rosario Castellanos - Detalle del autor,high,none,,EXT-AI-02
B01-FCT-0012,B01-ENT-0002,罗萨里奥·卡斯特利亚诺斯,language,es,B01-SRC-0006,Rosario Castellanos - Detalle del autor,high,none,,EXT-AI-02
B01-FCT-0013,B01-ENT-0002,罗萨里奥·卡斯特利亚诺斯,entity_layer,author,B01-SRC-0006,Rosario Castellanos - Detalle del autor,high,none,,EXT-AI-02
B01-FCT-0014,B01-ENT-0002,罗萨里奥·卡斯特利亚诺斯,one_sentence_summary,墨西哥作家、外交官；幼年在恰帕斯科米坦度过；UNAM 攻读法律与哲学；曾任驻以色列大使,B01-SRC-0006,Rosario Castellanos - Detalle del autor,high,none,,EXT-AI-02
B01-FCT-0015,B01-ENT-0002,罗萨里奥·卡斯特利亚诺斯,research_note,曾任 INI 编辑、UNAM 出版社主任、文哲系教授（词条）,B01-SRC-0006,Rosario Castellanos - Detalle del autor,medium,none,,EXT-AI-02
B01-FCT-0016,B01-ENT-0002,罗萨里奥·卡斯特利亚诺斯,bibliographic_note,奖项：Premio Chiapas 1958、Villaurrutia 1960、Sor Juana Inés de la Cruz 1962 等（词条）,B01-SRC-0006,Rosario Castellanos - Detalle del autor,medium,none,,EXT-AI-02
B01-FCT-0017,B01-ENT-0003,胡安·鲁尔福,birth_year,1917,B01-SRC-0011,Juan Rulfo - Detalle del autor,high,none,5 月 16 日生于阿普尔科（登记于萨尤拉）,EXT-AI-02
B01-FCT-0018,B01-ENT-0003,胡安·鲁尔福,death_year,1986,B01-SRC-0011,Juan Rulfo - Detalle del autor,high,none,1 月 7 日卒于墨西哥城,EXT-AI-02
