relation_candidate_id,relation_group_id,subject_candidate_id,subject_label,relation_type,object_candidate_id,object_label,description_zh,source_id,source_title,optional_locator,optional_evidence_note,confidence,dispute_status,issue_notes,extracted_by
B03-REL-0001,RG-B03-0001,B03-ENT-0001,马里奥·巴尔加斯·略萨,CREATED,B03-ENT-0003,《城市与狗》,巴尔加斯·略萨创作《城市与狗》,B03-SRC-0001,"Lima: encierro y evasión en ""La ciudad y los perros"" de Mario Vargas Llosa",论文标题,Ángulo Recto 论文以该小说为对象,high,none,,EXT-AI-02
B03-REL-0002,RG-B03-0002,B03-ENT-0001,马里奥·巴尔加斯·略萨,CREATED,B03-ENT-0004,《酒吧长谈》,巴尔加斯·略萨创作《酒吧长谈》,B03-SRC-0002,"El Boom y el fracaso de los intelectuales. Sobre ""Conversación en la Catedral"" (1969) de Vargas Llosa y ""Cien años de soledad"" (1967) de García Márquez",论文标题,Catedral Tomada 论文标题（1969）,high,none,,EXT-AI-02
B03-REL-0003,RG-B03-0003,B03-ENT-0001,马里奥·巴尔加斯·略萨,CREATED,B03-ENT-0005,《世界末日之战》,巴尔加斯·略萨创作《世界末日之战》,B03-SRC-0003,"Canudos o la redención de los malditos: La guerra del fin del mundo, de Mario Vargas Llosa",论文摘要,Letral：1981 年出版的第六部小说,high,none,,EXT-AI-02
B03-REL-0004,RG-B03-0004,B03-ENT-0002,巴勃罗·聂鲁达,CREATED,B03-ENT-0006,《二十首情诗和一支绝望的歌》,聂鲁达创作《二十首情诗和一支绝望的歌》,B03-SRC-0012,CVC. Pablo Neruda.（数字展：主展页 + Biografía 页）,传记子页,CVC 传记明确出版序列（1924）,high,none,,EXT-AI-02
B03-REL-0005,RG-B03-0005,B03-ENT-0002,巴勃罗·聂鲁达,CREATED,B03-ENT-0007,《大地上的居所》,聂鲁达创作《大地上的居所》,B03-SRC-0007,"Interpretación de ""residencia en la tierra"" de Pablo Neruda",论文标题,Atenea 论文以该诗集为对象,high,none,,EXT-AI-02
B03-REL-0006,RG-B03-0006,B03-ENT-0002,巴勃罗·聂鲁达,CREATED,B03-ENT-0008,《漫歌》,聂鲁达创作《漫歌》,B03-SRC-0009,Un événement poétique : le Canto General de Pablo Neruda,论文正文,Persée：1950 年 Océano 出版,high,none,,EXT-AI-02
B03-REL-0007,RG-B03-0007,B03-ENT-0002,巴勃罗·聂鲁达,CREATED,B03-ENT-0009,《马丘比丘高地》,聂鲁达创作诗章《马丘比丘高地》,B03-SRC-0012,CVC. Pablo Neruda.（数字展：主展页 + Biografía 页）,传记子页,CVC 作品序列明确列出,medium,none,,EXT-AI-02
B03-REL-0008,RG-B03-0008,B03-ENT-0003,《城市与狗》,SET_IN,B03-ENT-0012,利马,《城市与狗》的故事以利马为背景,B03-SRC-0001,"Lima: encierro y evasión en ""La ciudad y los perros"" de Mario Vargas Llosa",论文摘要,Ángulo Recto：以小说元素作利马城市问题阐释,medium,none,,EXT-AI-02
B03-REL-0009,RG-B03-0009,B03-ENT-0001,马里奥·巴尔加斯·略萨,ASSOCIATED_WITH_PLACE,B03-ENT-0011,秘鲁,巴尔加斯·略萨与秘鲁关联,B03-SRC-0004,Mario Vargas Llosa – Facts,Facts 页,Nobel：Peruvian author；生于阿雷基帕,high,none,,EXT-AI-02
B03-REL-0010,RG-B03-0010,B03-ENT-0001,马里奥·巴尔加斯·略萨,ASSOCIATED_WITH_PLACE,B03-ENT-0012,利马,巴尔加斯·略萨与利马关联,B03-SRC-0004,Mario Vargas Llosa – Facts,Facts 页,Nobel：卒于利马,high,none,,EXT-AI-02
