entity_id,entity_type,name_zh,original_name,canonical_status,origin_count,origin_refs,normalization_basis,issue_codes
V1-ENT-0001,place,阿根廷,Argentina,merged_exact,2,STG-ENT-0001;B02-ENT-0025,N2 暂存已通过实体层（ENTITY_ID_MAP）;B02 批次已通过实体层;A02 exact merge approved for formal V1 candidate mapping,NONE
V1-ENT-0002,author,豪尔赫·路易斯·博尔赫斯,Jorge Luis Borges,retained,1,STG-ENT-0002,N2 暂存已通过实体层（ENTITY_ID_MAP）,NONE
V1-ENT-0003,work,《小径分岔的花园》,El jardín de senderos que se bifurcan,retained,1,STG-ENT-0003,N2 暂存已通过实体层（ENTITY_ID_MAP）,NONE
V1-ENT-0004,work,《阿莱夫》,El Aleph,retained,1,STG-ENT-0004,N2 暂存已通过实体层（ENTITY_ID_MAP）,NONE
V1-ENT-0005,author,阿图尔·叔本华,Arthur Schopenhauer,retained,1,STG-ENT-0005,N2 暂存已通过实体层（ENTITY_ID_MAP）,NONE
V1-ENT-0006,author,弗兰茨·卡夫卡,Franz Kafka,retained,1,STG-ENT-0006,N2 暂存已通过实体层（ENTITY_ID_MAP）,NONE
V1-ENT-0007,author,吉尔伯特·基思·切斯特顿,G. K. Chesterton,retained,1,STG-ENT-0007,N2 暂存已通过实体层（ENTITY_ID_MAP）,NONE
V1-ENT-0008,place,阿什格罗夫,Ashgrove,retained,1,STG-ENT-0008,N2 暂存已通过实体层（ENTITY_ID_MAP）,NONE
V1-ENT-0009,place,加雷街,calle Garay,retained,1,STG-ENT-0009,N2 暂存已通过实体层（ENTITY_ID_MAP）,NONE
V1-ENT-0010,movement,极端主义（超主义）,ultraísmo,retained,1,STG-ENT-0010,N2 暂存已通过实体层（ENTITY_ID_MAP）,NONE
V1-ENT-0011,collection,《虚构集》,Ficciones,retained,1,STG-ENT-0011,N2 暂存已通过实体层（ENTITY_ID_MAP）,NONE
V1-ENT-0012,collection,《阿莱夫》,El Aleph,retained,1,STG-ENT-0012,N2 暂存已通过实体层（ENTITY_ID_MAP）,NONE
V1-ENT-0013,theme,时间的分岔与无限（多重未来）,,retained,1,STG-ENT-0013,N2 暂存已通过实体层（ENTITY_ID_MAP）,NONE
V1-ENT-0014,theme,记忆与遗忘,memoria y olvido,merged_exact,2,STG-ENT-0014;B01-ENT-0039,N2 暂存已通过实体层（ENTITY_ID_MAP）;B01 批次已通过实体层;A02 exact merge approved for formal V1 candidate mapping,NONE
V1-ENT-0015,theme,无限与不可言说（阿莱夫）,,retained,1,STG-ENT-0015,N2 暂存已通过实体层（ENTITY_ID_MAP）,NONE
V1-ENT-0016,author,克拉丽丝·李斯佩克朵,Clarice Lispector,retained,1,STG-ENT-0016,N2 暂存已通过实体层（ENTITY_ID_MAP）,NONE
V1-ENT-0017,work,《活水》,Água viva,retained,1,STG-ENT-0017,N2 暂存已通过实体层（ENTITY_ID_MAP）,NONE
V1-ENT-0018,work,《星辰时刻》,A hora da estrela,retained,1,STG-ENT-0018,N2 暂存已通过实体层（ENTITY_ID_MAP）,NONE
V1-ENT-0019,collection,《家庭纽带》,Laços de família,retained,1,STG-ENT-0019,N2 暂存已通过实体层（ENTITY_ID_MAP）,NONE
V1-ENT-0020,work,《G.H. 受难》,A paixão segundo G.H.,retained,1,STG-ENT-0020,N2 暂存已通过实体层（ENTITY_ID_MAP）,NONE
V1-ENT-0021,adaptation,《星辰时刻》,A hora da estrela (filme),retained,1,STG-ENT-0021,N2 暂存已通过实体层（ENTITY_ID_MAP）,NONE
V1-ENT-0022,place,里约热内卢,Rio de Janeiro,retained,1,STG-ENT-0022,N2 暂存已通过实体层（ENTITY_ID_MAP）,NONE
V1-ENT-0023,theme,家庭关系与内心生活,,retained,1,STG-ENT-0023,N2 暂存已通过实体层（ENTITY_ID_MAP）,NONE
V1-ENT-0024,theme,时间、当下瞬间与沉默,,retained,1,STG-ENT-0024,N2 暂存已通过实体层（ENTITY_ID_MAP）,NONE
V1-ENT-0025,theme,社会不平等与书写,,retained,1,STG-ENT-0025,N2 暂存已通过实体层（ENTITY_ID_MAP）,NONE
V1-ENT-0026,work,《生命的气息》,Um sopro de vida,retained,1,STG-ENT-0026,N2 暂存已通过实体层（ENTITY_ID_MAP）,NONE
V1-ENT-0027,theme,升华、沉默与女性写作（精神分析视角）,sublimação e feminino,retained,1,STG-ENT-0027,N2 暂存已通过实体层（ENTITY_ID_MAP）,NONE
V1-ENT-0028,theme,女性人物与21世纪再读,,retained,1,STG-ENT-0028,N2 暂存已通过实体层（ENTITY_ID_MAP）,NONE
V1-ENT-0029,author,埃莱娜·加罗,Elena Garro,retained,1,B01-ENT-0001,B01 批次已通过实体层,NONE
V1-ENT-0030,author,罗萨里奥·卡斯特利亚诺斯,Rosario Castellanos,retained,1,B01-ENT-0002,B01 批次已通过实体层,NONE
V1-ENT-0031,author,胡安·鲁尔福,Juan Rulfo,retained,1,B01-ENT-0003,B01 批次已通过实体层,NONE
V1-ENT-0032,work,《未来的回忆》,Los recuerdos del porvenir,retained,1,B01-ENT-0004,B01 批次已通过实体层,NONE
V1-ENT-0033,collection,《彩色的一周》,La semana de colores,retained,1,B01-ENT-0005,B01 批次已通过实体层,NONE
V1-ENT-0034,work,《关于玛丽安娜的证词》,Testimonios sobre Mariana,retained,1,B01-ENT-0006,B01 批次已通过实体层,NONE
V1-ENT-0035,work,《巴伦坎南》,Balún Canán,retained,1,B01-ENT-0007,B01 批次已通过实体层,NONE
V1-ENT-0036,work,《黑暗的职守》,Oficio de tinieblas,retained,1,B01-ENT-0008,B01 批次已通过实体层,NONE
V1-ENT-0037,collection,《诗歌不是你》,Poesía no eres tú,retained,1,B01-ENT-0009,B01 批次已通过实体层,NONE
V1-ENT-0038,work,《佩德罗·巴拉莫》,Pedro Páramo,retained,1,B01-ENT-0010,B01 批次已通过实体层,NONE
V1-ENT-0039,collection,《燃烧的原野》,El Llano en llamas,retained,1,B01-ENT-0011,B01 批次已通过实体层,NONE
V1-ENT-0040,work,《金鸡》,El gallo de oro,retained,1,B01-ENT-0012,B01 批次已通过实体层,NONE
V1-ENT-0041,work,《La culpa es de los tlaxcaltecas》,La culpa es de los tlaxcaltecas,retained,1,B01-ENT-0013,B01 批次已通过实体层,NONE
V1-ENT-0042,adaptation,《未来的回忆》（1968 年电影）,Los recuerdos del porvenir (filme),retained,1,B01-ENT-0014,A02-TC-0018 裁决：1968 年电影按 adaptation 分层,TC-RESOLVED
V1-ENT-0043,edition,Balún-Canán（FCE 2007 版）,Balún-Canán (FCE 2007),retained,1,B01-ENT-0015,B01 批次已通过实体层,NONE
V1-ENT-0044,work,《永恒的女性》,El eterno femenino,retained,1,B01-ENT-0016,B01 批次已通过实体层,NONE
V1-ENT-0045,work,《费利佩·安赫莱斯》,Felipe Ángeles,retained,1,B01-ENT-0017,B01 批次已通过实体层,NONE
V1-ENT-0046,edition,Pedro Páramo（FCE 1964 版）,Pedro Páramo (FCE 1964),retained,1,B01-ENT-0018,B01 批次已通过实体层,NONE
V1-ENT-0047,character,弗朗西斯科·罗萨斯,Francisco Rosas,retained,1,B01-ENT-0019,B01 批次已通过实体层,NONE
V1-ENT-0048,character,胡利娅·安德拉德,Julia Andrade,retained,1,B01-ENT-0020,B01 批次已通过实体层,NONE
V1-ENT-0049,character,胡安·普雷西亚多,Juan Preciado,retained,1,B01-ENT-0021,B01 批次已通过实体层,NONE
V1-ENT-0050,character,佩德罗·巴拉莫（人物）,Pedro Páramo,retained,1,B01-ENT-0022,B01 批次已通过实体层,NONE
V1-ENT-0051,place,墨西哥,México,retained,1,B01-ENT-0023,B01 批次已通过实体层,NONE
V1-ENT-0052,place,恰帕斯,Chiapas,retained,1,B01-ENT-0024,B01 批次已通过实体层,NONE
V1-ENT-0053,place,科米坦,Comitán,retained,1,B01-ENT-0025,B01 批次已通过实体层,NONE
V1-ENT-0054,place,伊斯特佩克,Ixtepec,retained,1,B01-ENT-0026,B01 批次已通过实体层,NONE
V1-ENT-0055,place,科马拉,Comala,retained,1,B01-ENT-0027,B01 批次已通过实体层,NONE
V1-ENT-0056,place,墨西哥城,Ciudad de México,retained,1,B01-ENT-0028,B01 批次已通过实体层,NONE
V1-ENT-0057,place,圣加布里埃尔,San Gabriel,retained,1,B01-ENT-0029,B01 批次已通过实体层,NONE
V1-ENT-0058,person,阿图罗·里普斯坦,Arturo Ripstein,retained,1,B01-ENT-0030,B01 批次已通过实体层,NONE
V1-ENT-0059,author,奥克塔维奥·帕斯,Octavio Paz,retained,1,B01-ENT-0031,B01 批次已通过实体层,NONE
V1-ENT-0060,institution,经济文化基金出版社,Fondo de Cultura Económica,retained,1,B01-ENT-0032,B01 批次已通过实体层,NONE
V1-ENT-0061,institution,华金·莫蒂斯出版社,Joaquín Mortiz,retained,1,B01-ENT-0033,B01 批次已通过实体层,NONE
V1-ENT-0062,institution,墨西哥国立自治大学,Universidad Nacional Autónoma de México,retained,1,B01-ENT-0034,B01 批次已通过实体层,NONE
V1-ENT-0063,institution,墨西哥国立原住民研究所,Instituto Nacional Indigenista,retained,1,B01-ENT-0035,B01 批次已通过实体层,NONE
V1-ENT-0064,movement,墨西哥革命小说,novela de la Revolución Mexicana,retained,1,B01-ENT-0036,B01 批次已通过实体层,NONE
V1-ENT-0065,event,基督战争,Guerra Cristera,retained,1,B01-ENT-0037,B01 批次已通过实体层,NONE
V1-ENT-0066,event,1968 年特拉特洛尔科事件与加罗流亡,Movimiento de 1968 y exilio de Elena Garro,retained,1,B01-ENT-0038,B01 批次已通过实体层,NONE
V1-ENT-0067,theme,时间与历史,tiempo e historia,retained,1,B01-ENT-0040,B01 批次已通过实体层,NONE
V1-ENT-0068,theme,暴力与语言,violencia y lenguaje,retained,1,B01-ENT-0041,B01 批次已通过实体层,NONE
V1-ENT-0069,theme,沉默,el silencio,retained,1,B01-ENT-0042,B01 批次已通过实体层,NONE
V1-ENT-0070,theme,革命与基督战争,Revolución y Cristiada,retained,1,B01-ENT-0043,B01 批次已通过实体层,NONE
V1-ENT-0071,theme,乡村与革命后的土地,campo y posrevolución,retained,1,B01-ENT-0044,B01 批次已通过实体层,NONE
V1-ENT-0072,author,加西亚·马尔克斯,Gabriel García Márquez,retained,1,B02-ENT-0001,B02 批次已通过实体层,NONE
V1-ENT-0073,author,胡利奥·科塔萨尔,Julio Cortázar,retained,1,B02-ENT-0002,B02 批次已通过实体层,NONE
