candidate_id,normalized_original_title,author_id,exact_match_count,semantic_duplicate_result,collection_or_edition_result,chinese_title_collision,hierarchy_decision,do_not_add_boundary
WCD07B-W01,inundacion castalida,V1-ENT-0322,0,NONE,NONE,NONE,"新增collection；不推断《第一梦》成员关系","不新增子篇、edition或alias实体"
WCD07B-W02,cantos para soldados y sones para turistas,V1-ENT-0310,0,NONE,NONE,NONE,"新增独立collection","不把中文选诗中的单篇视为原集"
WCD07B-W03,todos los fuegos el fuego,V1-ENT-0073,0,NONE,"COLLECTION_OVERLAP: 已有V1-ENT-0084《另一个天空》","NONE","可新增原集collection；不重建子篇；暂不建CONTAINS_WORK","不新增V1-ENT-0084副本，不新增edition"
WCD07B-W04,los hijos del limo,V1-ENT-0059,0,NONE,NONE,NONE,"独立work；不是《弓与琴》edition","DEFER：来源不足"
WCD07B-W05,el otro el mismo,V1-ENT-0002,0,NONE,NONE,"NONE","独立诗集；El Aleph短篇V1-ENT-0004与collection V1-ENT-0012均为其他身份","DEFER：来源不足；不合并阿莱夫两层"
WCD07B-W06,la ciudad ausente,V1-ENT-0273,0,NONE,EDITION_CLUE_ONLY,NONE,"独立work","DEFER：原语权威书目不足"
WCD07B-W07,primavera con una esquina rota,V1-ENT-0238,0,NONE,NONE,NONE,"多声部形式仍为独立work","DEFER：来源不足"
WCD07B-W08,memoria del fuego ii caras y mascaras,V1-ENT-0272,0,NONE,"仅卷I V1-ENT-0276已存在","NONE","应与卷I平行建collection，不建series","DEFER：来源不足；不修改卷I"
WCD07B-W09,memoria del fuego iii el siglo del viento,V1-ENT-0272,0,NONE,"仅卷I V1-ENT-0276已存在","NONE","应与卷I/II平行建collection，不建series","DEFER：来源不足；不新建series"
WCD07B-W10,la tia julia y el escribidor,V1-ENT-0114,0,NONE,NONE,NONE,"独立work","DEFER：来源不足"
WCD07B-W11,odas elementales,V1-ENT-0115,0,NONE,NONE,NONE,"独立collection；V1-ENT-0122《马丘比丘高地》仍为work且V1-ENT-0121《漫歌》为collection","DEFER：来源不足；不调整现有层级"
WCD07B-W12,nocturno de chile,V1-ENT-0262,0,NONE,"中文选编或身后汇编不等同该西语原作",NONE,"独立work","DEFER：来源不足；不新建中文选编"
WCD07B-W13,perto do coracao selvagem,V1-ENT-0016,0,NONE,"中文出版系列不是collection实体","中文alias候选",独立work,"DEFER：来源不足；不新增alias实体"
WCD07B-W14,del amor y otros demonios,V1-ENT-0072,0,NONE,"台湾题名是edition-specific title","地区译名候选",独立work,"DEFER：来源不足；不把地区版本建work"
WCD07B-W15,la hojarasca,V1-ENT-0072,0,NONE,"与马孔多作品互文不构成层级重叠",NONE,独立work,"DEFER：来源不足"
WCD07B-W16,vivir para contarla,V1-ENT-0072,0,NONE,"中文出版月份只影响edition",NONE,"独立work；不建series","DEFER：来源不足"
WCD07B-W17,historia personal del boom,V1-ENT-0185,0,NONE,"1993/2021中文本为同原作不同edition",NONE,"独立work；不与movement实体合并","DEFER：来源不足"
