curation_id,target_type,target_id,field_key,content_zh,status,draft_origin,research_refs,source_refs,basis_note,display_scope,sort_order,created_at,reviewed_at,reviewer,review_note,schema_version
V2-CUR-ENT-001,author,V1-ENT-0016,page_lede,巴西作家：《G.H. 受难》(1964) 与《星辰时刻》(1977) 的作者，以《家庭纽带》(1960) 等奠定短篇声誉。,auto_approved,codex,V1-CARD-0002,SRC-0009;SRC-0013;SRC-0016,直接复述 V1 作者卡的一句话简介；不增加文学评价,home;detail,10,2026-08-11,2026-08-11,CODEX,来源已核验；可进入公共阅读层,v2-curation-0.1
V2-CUR-ENT-002,author,V1-ENT-0031,page_lede,墨西哥小说家与摄影师，以《佩德罗·巴拉莫》与《燃烧的原野》著称。,auto_approved,codex,V1-CARD-0017,SRC-0027,直接复述 V1 作者卡的一句话简介；不把童年经历扩写为未经审核的文学判断,home;detail,20,2026-08-11,2026-08-11,CODEX,来源已核验；可进入公共阅读层,v2-curation-0.1
V2-CUR-ENT-003,author,V1-ENT-0030,page_lede,墨西哥作家、外交官；幼年在恰帕斯科米坦度过；曾任驻以色列大使。,auto_approved,codex,V1-CARD-0013,SRC-0022,直接复述 V1 作者卡的一句话简介；地区关系另由 V1 正式关系承载,home;detail,30,2026-08-11,2026-08-11,CODEX,来源已核验；可进入公共阅读层,v2-curation-0.1
V2-CUR-ENT-004,author,V1-ENT-0072,page_lede,哥伦比亚小说家，1982 年诺贝尔文学奖得主，生于加勒比哥伦比亚阿卡塔卡。,auto_approved,codex,V1-CARD-0021,SRC-0035;SRC-0036;SRC-0056,直接复述 V1 作者卡的一句话简介；马孔多作为文学空间另行展示,home;detail,40,2026-08-11,2026-08-11,CODEX,来源已核验；可进入公共阅读层,v2-curation-0.1
V2-CUR-ENT-005,work,V1-ENT-0017,one_line_summary,混合体裁作品（1973）：据 1971 年手稿改写，主题为时间与“当下瞬间”、沉默与创作。,auto_approved,codex,V1-CARD-0006,SRC-0009;SRC-0011,直接复述 V1 作品卡的一句话简介；不把主题表述扩展为新的研究结论,home;detail,10,2026-08-11,2026-08-11,CODEX,来源已核验；可进入公共阅读层,v2-curation-0.1
V2-CUR-ENT-006,work,V1-ENT-0018,one_line_summary,中篇小说（1977）：东北部贫苦移民少女玛卡贝娅的故事，叙述者罗德里戈·S.M. 反思书写她的行为。,auto_approved,codex,V1-CARD-0007,SRC-0009;SRC-0012,直接复述 V1 作品卡的一句话简介；里约热内卢关系由 V1 正式关系承载,home;detail,20,2026-08-11,2026-08-11,CODEX,来源已核验；可进入公共阅读层,v2-curation-0.1
V2-CUR-ENT-007,work,V1-ENT-0038,one_line_summary,长篇小说（1955）：Juan Preciado 赴科马拉寻父与考迪罗 Pedro Páramo 命运的双主线。,auto_approved,codex,V1-CARD-0018,SRC-0028;SRC-0029,直接复述 V1 作品卡的一句话简介；科马拉的现实/虚构边界由地点策展记录说明,home;detail,30,2026-08-11,2026-08-11,CODEX,来源已核验；可进入公共阅读层,v2-curation-0.1
V2-CUR-ENT-008,work,V1-ENT-0035,one_line_summary,长篇小说（1957）：恰帕斯村镇中白人世界与 chontal 印第安世界的张力。,auto_approved,codex,V1-CARD-0014,SRC-0023;SRC-0024,直接复述 V1 作品卡的一句话简介；不把单来源解释性关系写成确定事实,home;detail,40,2026-08-11,2026-08-11,CODEX,来源已核验；可进入公共阅读层,v2-curation-0.1
V2-CUR-ENT-009,work,V1-ENT-0075,one_line_summary,一部以马孔多为故事空间的长篇小说；1967 年首次出版。,auto_approved,codex,V1-CARD-0022;V1-REL-0075,SRC-0032;SRC-0056;SRC-0057,仅组合正式作品体裁、发表年份与 SET_IN 关系；论文解释留在研究层,home;detail,50,2026-08-11,2026-08-13,CODEX,独立终审返修：低剧透导入只保留正式事实与关系,v2-curation-0.1
V2-CUR-ENT-010,work,V1-ENT-0077,one_line_summary,小说（1981）：以圣地亚哥·纳萨尔之死为中心的重构叙事。,auto_approved,codex,V1-CARD-0024,SRC-0034,直接复述 V1 作品卡的一句话简介；不把论文解释扩写为确定性文学评价,home;detail,60,2026-08-11,2026-08-11,CODEX,来源已核验；可进入公共阅读层,v2-curation-0.1
V2-CUR-ENT-011,place,V1-ENT-0022,literary_place_note,《星辰时刻》的故事背景包含里约热内卢。,auto_approved,codex,V1-REL-0013,SRC-0009,直接复述 V1 作品—地点关系说明；坐标仅表示城市概览,map;detail,10,2026-08-11,2026-08-11,CODEX,关系与来源已核验；可进入公共阅读层,v2-curation-0.1
V2-CUR-ENT-012,place,V1-ENT-0052,literary_place_note,《巴伦坎南》故事发生于恰帕斯村镇。,auto_approved,codex,V1-REL-0033,SRC-0023,直接复述 V1 作品—地点关系说明；不补写未审核的历史解释,map;detail,20,2026-08-11,2026-08-11,CODEX,关系与来源已核验；可进入公共阅读层,v2-curation-0.1
V2-CUR-ENT-013,place,V1-ENT-0053,literary_place_note,卡斯特利亚诺斯与科米坦存在 V1 已审核的作者地理关联。,auto_approved,codex,V1-REL-0037,SRC-0022,采用关系类型与来源归属式表达；不把关联扩大为出生地或长期居所,map;detail,30,2026-08-11,2026-08-11,CODEX,关系与来源已核验；可进入公共阅读层,v2-curation-0.1
V2-CUR-ENT-014,place,V1-ENT-0098,literary_place_note,阿卡塔卡是马尔克斯作者地理关系中的现实城镇节点。,auto_approved,codex,V1-REL-0056,SRC-0035,保留作者—地点关系语义；现实城镇点位不等于马孔多,map;detail,40,2026-08-11,2026-08-11,CODEX,关系与来源已核验；可进入公共阅读层,v2-curation-0.1
V2-CUR-ENT-015,fictional_space,V1-ENT-0055,fictional_space_note,科马拉在《佩德罗·巴拉莫》中作为文学故事空间出现；V2 不使用现实科马拉镇坐标替代它。,auto_approved,codex,V1-REL-0034,V1-REL-0034;SRC-0029;https://lugares.inah.gob.mx/en/node/4838,关系与文学空间分类来源已核验；明确区分现实同名城镇与小说空间,map;detail,50,2026-08-11,2026-08-11,CODEX,虚构空间不落现实坐标；可进入公共阅读层,v2-curation-0.1
V2-CUR-ENT-016,fictional_space,V1-ENT-0097,fictional_space_note,马孔多在《百年孤独》中作为虚构城市出现；V2 不使用阿卡塔卡或哥伦比亚坐标替代它。,auto_approved,codex,V1-REL-0057;V1-REL-0075,SRC-0035;SRC-0057,直接复述 V1 地点关系与作品卡信息；现实阿卡塔卡与文学马孔多分层,map;detail,60,2026-08-11,2026-08-11,CODEX,虚构空间不落现实坐标；可进入公共阅读层,v2-curation-0.1
V2-CUR-FULL-017,author,V1-ENT-0002,page_lede,阿根廷作家：诗人、短篇作家、批评家、散文家、教授，被誉为“作家的作家”。,auto_approved,codex,V1-CARD-0001,SRC-0002,由 V1 内容卡的一句话简介机械转换；不新增研究事实。,detail;search,,2026-08-11,2026-08-11,CODEX,批量来源核验通过；可进入公共阅读层,v2-curation-0.1
V2-CUR-FULL-018,work,V1-ENT-0003,one_line_summary,短篇小说：间谍余准的供述，以杀死汉学家艾伯特把英军炮兵阵地城名传回柏林。,auto_approved,codex,V1-CARD-0003,SRC-0002;SRC-0014,由 V1 内容卡的一句话简介机械转换；不新增研究事实。,detail;search,,2026-08-11,2026-08-11,CODEX,批量来源核验通过；可进入公共阅读层,v2-curation-0.1
V2-CUR-FULL-019,work,V1-ENT-0004,one_line_summary,短篇小说：叙述者博尔赫斯在亡友贝亚特丽斯表兄达内里宅邸地窖得见“包罗一切空间点的”阿莱夫。,auto_approved,codex,V1-CARD-0004,SRC-0002;SRC-0008;SRC-0015,由 V1 内容卡的一句话简介机械转换；不新增研究事实。,detail;search,,2026-08-11,2026-08-11,CODEX,批量来源核验通过；可进入公共阅读层,v2-curation-0.1
V2-CUR-FULL-020,author,V1-ENT-0029,page_lede,墨西哥剧作家与小说家，以《未来的回忆》知名；1937 年与奥克塔维奥·帕斯结婚。,auto_approved,codex,V1-CARD-0009,SRC-0017,由 V1 内容卡的一句话简介机械转换；不新增研究事实。,detail;search,,2026-08-11,2026-08-11,CODEX,批量来源核验通过；可进入公共阅读层,v2-curation-0.1
V2-CUR-FULL-021,work,V1-ENT-0032,one_line_summary,长篇小说（1963）：以村镇伊斯特佩克为全知叙述者，讲述革命后秩序幻灭与基督战争之灾。,auto_approved,codex,V1-CARD-0010,SRC-0019;SRC-0020;SRC-0071,由 V1 内容卡的一句话简介机械转换；不新增研究事实。,detail;search,,2026-08-11,2026-08-11,CODEX,批量来源核验通过；可进入公共阅读层,v2-curation-0.1
V2-CUR-FULL-022,work,V1-ENT-0034,one_line_summary,当前页面保留研究状态：V1 内容卡标记为 research_gap。暂不生成确定性策展导语。,hold,codex,V1-CARD-0012,SRC-0017,依据不足，批量草稿保持 hold，不用写作替代研究补证。,detail;search,,2026-08-11,2026-08-11,CODEX,保持 hold；不进入公共阅读层,v2-curation-0.1
V2-CUR-FULL-023,work,V1-ENT-0036,one_line_summary,当前页面保留研究状态：V1 内容卡标记为 research_gap。暂不生成确定性策展导语。,hold,codex,V1-CARD-0015,SRC-0026,依据不足，批量草稿保持 hold，不用写作替代研究补证。,detail;search,,2026-08-11,2026-08-11,CODEX,保持 hold；不进入公共阅读层,v2-curation-0.1
V2-CUR-FULL-024,work,V1-ENT-0040,one_line_summary,当前页面保留研究状态：V1 内容卡标记为 research_gap。暂不生成确定性策展导语。,hold,codex,V1-CARD-0020,SRC-0031;SRC-0074,依据不足，批量草稿保持 hold，不用写作替代研究补证。,detail;search,,2026-08-11,2026-08-11,CODEX,保持 hold；不进入公共阅读层,v2-curation-0.1
V2-CUR-FULL-025,work,V1-ENT-0076,one_line_summary,中篇小说：上校等待来信的漫长岁月与拒绝卖鸡的被动抵抗（1958 年杂志刊载、1961 年书版）。,auto_approved,codex,V1-CARD-0023,SRC-0033;SRC-0064,由 V1 内容卡的一句话简介机械转换；不新增研究事实。,detail;search,,2026-08-11,2026-08-11,CODEX,批量来源核验通过；可进入公共阅读层,v2-curation-0.1
