fact_id,fact_candidate_id,subject_entity_id,fact_field,value,confidence,review_status,issue_notes
STG-FCT-0001,CAND-S2-FCT-0001,STG-ENT-0002,birth_year,1899,high,accepted_for_n2,
STG-FCT-0002,CAND-S2-FCT-0002,STG-ENT-0002,death_year,1986,high,accepted_for_n2,
STG-FCT-0003,CAND-S2-FCT-0003,STG-ENT-0002,country_or_region,阿根廷,high,accepted_for_n2,
STG-FCT-0004,CAND-S2-FCT-0004,STG-ENT-0002,language,es,high,accepted_for_n2,
STG-FCT-0005,CAND-S2-FCT-0005,STG-ENT-0002,entity_layer,author,high,accepted_for_n2,
STG-FCT-0006,CAND-S2-FCT-0006,STG-ENT-0002,one_sentence_summary,诗人、短篇作家、批评家、散文家、教授，被誉为“作家的作家”,high,accepted_for_n2,
STG-FCT-0007,CAND-S2-FCT-0007,STG-ENT-0002,research_note,1914 年一战爆发后举家迁居瑞士，1919 年赴西班牙居留三年，1921 年回国传播极端主义，30 年代放弃其要旨,medium,accepted_for_n2,
STG-FCT-0008,CAND-S2-FCT-0008,STG-ENT-0016,birth_year,1920,medium,accepted_for_n2,页面未直接显示；依据 2020 年百年诞辰专刊与 Codex 核定（REVIEW 3.4）
STG-FCT-0009,CAND-S2-FCT-0009,STG-ENT-0016,country_or_region,巴西,high,accepted_for_n2,
STG-FCT-0010,CAND-S2-FCT-0010,STG-ENT-0016,language,pt,high,accepted_for_n2,
STG-FCT-0011,CAND-S2-FCT-0011,STG-ENT-0016,entity_layer,author,high,accepted_for_n2,
STG-FCT-0012,CAND-S2-FCT-0012,STG-ENT-0016,one_sentence_summary,《G.H. 受难》(1964) 与《星辰时刻》(1977) 的作者，以《家庭纽带》(1960)、《外国军团》(1964) 奠定短篇声誉,high,accepted_for_n2,
STG-FCT-0013,CAND-S2-FCT-0013,STG-ENT-0003,entity_layer,work,high,accepted_for_n2,
STG-FCT-0014,CAND-S2-FCT-0014,STG-ENT-0003,genre_or_form,短篇小说（UNIDAD 8 选文）,high,accepted_for_n2,
STG-FCT-0015,CAND-S2-FCT-0015,STG-ENT-0003,one_sentence_summary,间谍余准的供述：借杀死汉学家艾伯特将英军炮兵阵地所在城名传回柏林；艾伯特解出崔朋“小说即迷宫”的时间分岔,high,accepted_for_n2,
