relation_group_id,subject_label,relation_type,object_label,description_zh,evidence_count,source_ids,review_status,confidence,issue_notes
RG-B03-0001,马里奥·巴尔加斯·略萨,CREATED,《城市与狗》,巴尔加斯·略萨创作《城市与狗》,1,B03-SRC-0001,eligible_for_staging_review,high,
RG-B03-0002,马里奥·巴尔加斯·略萨,CREATED,《酒吧长谈》,巴尔加斯·略萨创作《酒吧长谈》,1,B03-SRC-0002,eligible_for_staging_review,high,
RG-B03-0003,马里奥·巴尔加斯·略萨,CREATED,《世界末日之战》,巴尔加斯·略萨创作《世界末日之战》,1,B03-SRC-0003,eligible_for_staging_review,high,
RG-B03-0004,巴勃罗·聂鲁达,CREATED,《二十首情诗和一支绝望的歌》,聂鲁达创作《二十首情诗和一支绝望的歌》,1,B03-SRC-0012,eligible_for_staging_review,high,
RG-B03-0005,巴勃罗·聂鲁达,CREATED,《大地上的居所》,聂鲁达创作《大地上的居所》,1,B03-SRC-0007,eligible_for_staging_review,high,
RG-B03-0006,巴勃罗·聂鲁达,CREATED,《漫歌》,聂鲁达创作《漫歌》,1,B03-SRC-0009,eligible_for_staging_review,high,
RG-B03-0007,巴勃罗·聂鲁达,CREATED,《马丘比丘高地》,聂鲁达创作诗章《马丘比丘高地》,1,B03-SRC-0012,eligible_for_staging_review,medium,
RG-B03-0008,《城市与狗》,SET_IN,利马,《城市与狗》的故事以利马为背景,1,B03-SRC-0001,eligible_for_staging_review,medium,
RG-B03-0009,马里奥·巴尔加斯·略萨,ASSOCIATED_WITH_PLACE,秘鲁,巴尔加斯·略萨与秘鲁关联,1,B03-SRC-0004,eligible_for_staging_review,high,
RG-B03-0010,马里奥·巴尔加斯·略萨,ASSOCIATED_WITH_PLACE,利马,巴尔加斯·略萨与利马关联,1,B03-SRC-0004,eligible_for_staging_review,high,
RG-B03-0011,马里奥·巴尔加斯·略萨,ASSOCIATED_WITH_PLACE,阿雷基帕,巴尔加斯·略萨与阿雷基帕关联,1,B03-SRC-0004,eligible_for_staging_review,high,
RG-B03-0012,马里奥·巴尔加斯·略萨,ASSOCIATED_WITH_PLACE,马德里,巴尔加斯·略萨与马德里关联,1,B03-SRC-0004,eligible_for_staging_review,high,
RG-B03-0013,巴勃罗·聂鲁达,ASSOCIATED_WITH_PLACE,智利,聂鲁达与智利关联,1,B03-SRC-0011,eligible_for_staging_review,high,
RG-B03-0014,巴勃罗·聂鲁达,ASSOCIATED_WITH_PLACE,帕拉尔,聂鲁达与帕拉尔关联,1,B03-SRC-0011,eligible_for_staging_review,high,
RG-B03-0015,巴勃罗·聂鲁达,ASSOCIATED_WITH_PLACE,圣地亚哥,聂鲁达与圣地亚哥关联,1,B03-SRC-0011,eligible_for_staging_review,high,
RG-B03-0016,《酒吧长谈》,ASSOCIATED_WITH_MOVEMENT,文学爆炸,《酒吧长谈》与拉丁美洲文学爆炸关联,1,B03-SRC-0002,hold_needs_second_source,medium,
RG-B03-0017,巴勃罗·聂鲁达,ASSOCIATED_WITH_MOVEMENT,现代主义,聂鲁达早期诗集与现代主义关联,1,B03-SRC-0012,hold_needs_second_source,medium,
RG-B03-0018,巴勃罗·聂鲁达,ASSOCIATED_WITH_MOVEMENT,先锋派,聂鲁达与先锋派革新关联,1,B03-SRC-0012,hold_needs_second_source,medium,
RG-B03-0019,《城市与狗》,EXPLORES_THEME,利马的困闭与逃避,《城市与狗》体现利马的困闭与逃避,1,B03-SRC-0001,hold_needs_second_source,high,
RG-B03-0020,《酒吧长谈》,EXPLORES_THEME,知识分子的失败与公众角色,《酒吧长谈》涉及知识分子的失败与公众角色,1,B03-SRC-0002,hold_needs_second_source,high,
RG-B03-0021,《世界末日之战》,EXPLORES_THEME,殖民视角与去殖民思想,《世界末日之战》体现殖民视角与去殖民思想,1,B03-SRC-0003,hold_needs_second_source,high,
RG-B03-0022,《二十首情诗和一支绝望的歌》,EXPLORES_THEME,爱情体验,《二十首情诗和一支绝望的歌》涉及爱情体验,1,B03-SRC-0006,hold_needs_second_source,high,
RG-B03-0023,《漫歌》,EXPLORES_THEME,大陆命运与美洲史诗,《漫歌》体现大陆命运与美洲史诗,2,B03-SRC-0011;B03-SRC-0012,eligible_for_staging_review,medium,
