fact_candidate_id,subject_candidate_id,subject_label,fact_field,value_candidate,source_id,source_title,confidence,dispute_status,issue_notes,extracted_by
B03-FCT-0001,B03-ENT-0001,马里奥·巴尔加斯·略萨,birth_year,1936,B03-SRC-0004,Mario Vargas Llosa – Facts,high,none,Nobel：Born 28 March 1936,EXT-AI-02
B03-FCT-0002,B03-ENT-0001,马里奥·巴尔加斯·略萨,death_year,2025,B03-SRC-0004,Mario Vargas Llosa – Facts,high,none,"Nobel：Died 13 April 2025, Lima, Peru（权威直接核验）",EXT-AI-02
B03-FCT-0003,B03-ENT-0001,马里奥·巴尔加斯·略萨,country_or_region,秘鲁,B03-SRC-0004,Mario Vargas Llosa – Facts,high,none,Nobel：Peruvian author,EXT-AI-02
B03-FCT-0004,B03-ENT-0001,马里奥·巴尔加斯·略萨,entity_layer,author,B03-SRC-0004,Mario Vargas Llosa – Facts,high,none,,EXT-AI-02
B03-FCT-0005,B03-ENT-0001,马里奥·巴尔加斯·略萨,one_sentence_summary,秘鲁小说家，2010 年诺贝尔文学奖得主，曾为 1990 年秘鲁总统选举候选人，生前大部分时间居于马德里,B03-SRC-0004,Mario Vargas Llosa – Facts,high,none,Nobel facts 综合,EXT-AI-02
B03-FCT-0006,B03-ENT-0001,马里奥·巴尔加斯·略萨,award,诺贝尔文学奖（2010）,B03-SRC-0005,The Nobel Prize in Literature 2010,high,none,NobelPrize.org,EXT-AI-02
B03-FCT-0007,B03-ENT-0001,马里奥·巴尔加斯·略萨,research_note,获奖理由：对权力结构的绘图与个体抵抗、反叛和失败的尖锐形象,B03-SRC-0005,The Nobel Prize in Literature 2010,high,none,NobelPrize.org 原文,EXT-AI-02
B03-FCT-0008,B03-ENT-0001,马里奥·巴尔加斯·略萨,personal_note,Nobel facts 页称其“已婚并有三个孩子”（页面为旧版表述，未反映后续婚姻变化，照录）,B03-SRC-0004,Mario Vargas Llosa – Facts,medium,none,Nobel：is married with three children,EXT-AI-02
B03-FCT-0009,B03-ENT-0002,巴勃罗·聂鲁达,birth_year,1904,B03-SRC-0011,Pablo Neruda – Facts,high,none,Nobel：Born 12 July 1904；CVC 同,EXT-AI-02
B03-FCT-0010,B03-ENT-0002,巴勃罗·聂鲁达,death_year,1973,B03-SRC-0011,Pablo Neruda – Facts,high,none,Nobel：Died 23 September 1973；CVC 同,EXT-AI-02
B03-FCT-0011,B03-ENT-0002,巴勃罗·聂鲁达,country_or_region,智利,B03-SRC-0011,Pablo Neruda – Facts,high,none,Nobel：Born/Died/Residence 智利,EXT-AI-02
B03-FCT-0012,B03-ENT-0002,巴勃罗·聂鲁达,original_name,Neftalí Ricardo Reyes Basoalto,B03-SRC-0012,CVC. Pablo Neruda.（数字展：主展页 + Biografía 页）,high,none,CVC：原名，1920 年首用笔名 Pablo Neruda、1946 年正式采用,EXT-AI-02
B03-FCT-0013,B03-ENT-0002,巴勃罗·聂鲁达,entity_layer,author,B03-SRC-0011,Pablo Neruda – Facts,high,none,,EXT-AI-02
B03-FCT-0014,B03-ENT-0002,巴勃罗·聂鲁达,one_sentence_summary,智利诗人，1971 年诺贝尔文学奖得主，曾任外交官与智利共产党参议员,B03-SRC-0011,Pablo Neruda – Facts,high,none,Nobel facts 综合,EXT-AI-02
B03-FCT-0015,B03-ENT-0002,巴勃罗·聂鲁达,award,诺贝尔文学奖（1971）,B03-SRC-0011,Pablo Neruda – Facts,high,none,NobelPrize.org,EXT-AI-02
B03-FCT-0016,B03-ENT-0002,巴勃罗·聂鲁达,research_note,获奖理由：以元素性力量的诗使一个大陆的命运与梦想复活,B03-SRC-0011,Pablo Neruda – Facts,high,none,NobelPrize.org 原文,EXT-AI-02
B03-FCT-0017,B03-ENT-0002,巴勃罗·聂鲁达,career_note,1927 年起任外交官（缅甸、新加坡、爪哇、中国、阿根廷、西班牙等地）；1934-1936 居西班牙,B03-SRC-0012,CVC. Pablo Neruda.（数字展：主展页 + Biografía 页）,high,none,CVC 传记,EXT-AI-02
B03-FCT-0018,B03-ENT-0002,巴勃罗·聂鲁达,political_note,1945 年当选智利共产党参议员并获国家文学奖,B03-SRC-0012,CVC. Pablo Neruda.（数字展：主展页 + Biografía 页）,high,none,CVC 传记；Nobel facts 亦载共产党参议员,EXT-AI-02
B03-FCT-0019,B03-ENT-0003,《城市与狗》,entity_layer,work,B03-SRC-0001,"Lima: encierro y evasión en ""La ciudad y los perros"" de Mario Vargas Llosa",high,none,,EXT-AI-02
B03-FCT-0020,B03-ENT-0003,《城市与狗》,genre_or_form,长篇小说,B03-SRC-0001,"Lima: encierro y evasión en ""La ciudad y los perros"" de Mario Vargas Llosa",high,none,Ángulo Recto：“la novela”,EXT-AI-02
