target_id,target_type,name_zh,classification,primary_field,primary_status,public_visible,template_like,bibliographic_copy,research_insufficient,duplicate,auto_approved_fields,user_review_fields,hold_fields,missing_required_fields,baseline_commit
V1-ENT-0002,author,豪尔赫·路易斯·博尔赫斯,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,7,4,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0016,author,克拉丽丝·李斯佩克朵,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,7,4,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0029,author,埃莱娜·加罗,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,7,4,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0030,author,罗萨里奥·卡斯特利亚诺斯,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,7,4,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0031,author,胡安·鲁尔福,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,7,4,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0072,author,加西亚·马尔克斯,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,7,4,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0073,author,胡利奥·科塔萨尔,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,7,4,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0074,author,阿莱霍·卡彭铁尔,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,7,4,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0114,author,马里奥·巴尔加斯·略萨,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,7,4,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0115,author,巴勃罗·聂鲁达,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,7,4,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0145,author,卡洛斯·富恩特斯,PUBLIC_BASIC,reader_lede,auto_approved,yes,no,no,no,no,2,9,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0148,author,加夫列拉·米斯特拉尔,PUBLIC_BASIC,reader_lede,auto_approved,yes,no,no,no,no,2,9,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0059,author,奥克塔维奥·帕斯,PUBLIC_BASIC,reader_lede,auto_approved,yes,no,no,no,no,2,9,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0170,author,米格尔·安赫尔·阿斯图里亚斯,PUBLIC_BIBLIOGRAPHIC_COPY,reader_lede,auto_approved,yes,yes,yes,no,no,2,9,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0171,author,伊莎贝尔·阿连德,PUBLIC_BIBLIOGRAPHIC_COPY,reader_lede,auto_approved,yes,yes,yes,no,no,2,9,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0172,author,若热·亚马多,PUBLIC_BASIC,reader_lede,auto_approved,yes,no,no,no,no,2,9,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
