candidate_id,author_id,author_name,original_title,name_zh_candidate,recommended_entity_type,first_publication_year,language,country_or_region,duplicate_rebase,hierarchy_decision,chinese_title_status,source_gate,proposed_disposition
WCD07B-W01,V1-ENT-0322,索尔·胡安娜·伊内斯·德·拉·克鲁斯,Inundación castálida,《卡斯塔利达的洪流》,collection,1689,es,墨西哥,STILL_MISSING,"1689原始诗文集；不推断《第一梦》为已存在子项","canonical display；《卡斯塔利亚的泛滥》仅alias候选",MEETS,PROPOSED_PASS
WCD07B-W02,V1-ENT-0310,尼古拉斯·纪廉,Cantos para soldados y sones para turistas,《给士兵的歌·给游客的颂调》,collection,1937,es,古巴,STILL_MISSING,"独立原语诗集；中文选诗收录不构成原集edition","provisional display；未主张正式全本中译",MEETS,PROPOSED_PASS
WCD07B-W03,V1-ENT-0073,胡利奥·科塔萨尔,Todos los fuegos el fuego,《万火归一》,collection,1966,es,阿根廷,COLLECTION_OVERLAP,"原集可建collection；V1-ENT-0084《另一个天空》不重建；无直接目录证据前不建CONTAINS_WORK","canonical display；2009全译仅作显示支持",MEETS,PROPOSED_PASS
WCD07B-W04,V1-ENT-0059,奥克塔维奥·帕斯,Los hijos del limo,《泥淖之子：现代诗歌从浪漫主义到先锋派》,work,1974,es,墨西哥,STILL_MISSING,"讲座结集作为独立work；不是《弓与琴》edition","转译说与正式中文书目待核",DOES_NOT_MEET,DEFER
WCD07B-W05,V1-ENT-0002,豪尔赫·路易斯·博尔赫斯,"El otro, el mismo","《另一个，同一个》",collection,1964,es,阿根廷,STILL_MISSING,"独立诗集；不与El Aleph短篇或collection混同","中文显示待正式书目核证",DOES_NOT_MEET,DEFER
WCD07B-W06,V1-ENT-0273,里卡多·皮格利亚,La ciudad ausente,《缺席的城市》,work,1992,es,阿根廷,STILL_MISSING,"单一小说；2022中译本属于edition","中文显示有版本线索但未正式准入",DOES_NOT_MEET,DEFER
WCD07B-W07,V1-ENT-0238,马里奥·贝内德蒂,Primavera con una esquina rota,《破角的春天》,work,1982,es,乌拉圭,STILL_MISSING,"书信体或多声部结构仍为单一work","中文显示待正式书目核证",DOES_NOT_MEET,DEFER
WCD07B-W08,V1-ENT-0272,爱德华多·加莱亚诺,Memoria del fuego II: Caras y máscaras,《火的记忆Ⅱ：面孔与面具》,collection,1984,es,乌拉圭,STILL_MISSING,"与卷I和卷III并列的独立卷；不新建series实体","《面具与面孔》仅alias候选",DOES_NOT_MEET,DEFER
WCD07B-W09,V1-ENT-0272,爱德华多·加莱亚诺,Memoria del fuego III: El siglo del viento,《火的记忆Ⅲ：风的世纪》,collection,1986,es,乌拉圭,STILL_MISSING,"与卷I和卷II并列的独立卷；不新建series实体","中文显示与edition信息待核",DOES_NOT_MEET,DEFER
WCD07B-W10,V1-ENT-0114,马里奥·巴尔加斯·略萨,La tía Julia y el escribidor,《胡利娅姨妈和作家》,work,1977,es,秘鲁,STILL_MISSING,"单一小说","字译变体仅作alias候选",DOES_NOT_MEET,DEFER
WCD07B-W11,V1-ENT-0115,巴勃罗·聂鲁达,Odas elementales,《元素颂》,collection,1954,es,智利,STILL_MISSING,"独立诗集；不与《漫歌》或《马丘比丘高地》混同","中文版本待出版社或馆藏核证",DOES_NOT_MEET,DEFER
WCD07B-W12,V1-ENT-0262,罗贝托·波拉尼奥,Nocturno de Chile,《智利之夜》,work,2000,es,智利,STILL_MISSING,"独立西语中篇；不是中文选编或身后汇编","译者与出版信息目前主要C级",DOES_NOT_MEET,DEFER
WCD07B-W13,V1-ENT-0016,克拉丽丝·李斯佩克朵,Perto do coração selvagem,《濒临狂野的心》,work,1944,pt,巴西,STILL_MISSING,"独立长篇；中文出版系列不建collection实体","《濒于狂野的心》仅alias候选",DOES_NOT_MEET,DEFER
WCD07B-W14,V1-ENT-0072,加西亚·马尔克斯,Del amor y otros demonios,《爱情和其他魔鬼》,work,1994,es,哥伦比亚,STILL_MISSING,"独立小说；台湾题名属于地区edition-specific title","中文书目当前主要C级",DOES_NOT_MEET,DEFER
WCD07B-W15,V1-ENT-0072,加西亚·马尔克斯,La hojarasca,《枯枝败叶》,work,1955,es,哥伦比亚,STILL_MISSING,"独立作品；与其他马孔多作品互文不构成edition或collection","中文版本保持edition层",DOES_NOT_MEET,DEFER
WCD07B-W16,V1-ENT-0072,加西亚·马尔克斯,Vivir para contarla,《活着为了讲述》,work,2002,es,哥伦比亚,STILL_MISSING,"唯一完成回忆录卷仍为独立work；不建series","中译出版月争议只影响edition",DOES_NOT_MEET,DEFER
WCD07B-W17,V1-ENT-0185,何塞·多诺索,Historia personal del boom,"《文学“爆炸”亲历记》",work,1972,es,智利,STILL_MISSING,"独立随笔回忆录；不与文学爆炸运动实体合并","1993与2021中文本作为不同edition线索",DOES_NOT_MEET,DEFER
