target_id,target_type,field,current_status,classification,research_refs,source_refs,evidence_sufficiency,judgment_level,reason,recommended_next_action,wcd04_classification,rebase_status,rebase_reason
V1-ENT-0018,work,next_read,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-CARD-0007;V1-CARD-0018;V1-REL-0013;V1-REL-0034,SRC-0009;SRC-0029,yes,high,by field default:策展判断(V2-CUR-REC-001),USER_REVIEW_BATCH,PUBLIC_BASIC,STILL_VALID,candidate remains useful after current-main rebase
PATH-001,reading_path,reading_path,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-CARD-0003;V1-CARD-0018;V1-CARD-0022,,partial,high,含价值表述:最能(pres:PATH-001);intro与description同文,USER_REVIEW_BATCH,,STILL_VALID,candidate remains useful after current-main rebase
PATH-002,reading_path,reading_path,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-CARD-0001;V1-CARD-0003;V1-CARD-0004;V1-ENT-0013;V1-ENT-0015,,partial,high,by field default:阅读路径排序(pres:PATH-002);intro与description同文,USER_REVIEW_BATCH,,STILL_VALID,candidate remains useful after current-main rebase
PATH-003,reading_path,reading_path,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-CARD-0002;V1-CARD-0007;V1-CARD-0025;V1-CARD-0031,,partial,high,by field default:阅读路径排序(pres:PATH-003);intro与description同文,USER_REVIEW_BATCH,,STILL_VALID,candidate remains useful after current-main rebase
PATH-004,reading_path,reading_path,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-CARD-0002;V1-CARD-0012;V1-CARD-0013,,partial,high,by field default:阅读路径排序(pres:PATH-004);intro与description同文,USER_REVIEW_BATCH,,STILL_VALID,candidate remains useful after current-main rebase
PATH-005,reading_path,reading_path,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-ENT-0013;V1-ENT-0067;V1-CARD-0015;V1-CARD-0018,,partial,high,by field default:阅读路径排序(pres:PATH-005);intro与description同文,USER_REVIEW_BATCH,,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0003,work,next_reads,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-CARD-0003;V1-CARD-0004,,partial,high,by field default:延伸阅读推荐(pres:NEXT-001),USER_REVIEW_BATCH,PUBLIC_BASIC,CHANGED,current status differs from external snapshot
V1-ENT-0004,work,next_reads,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-CARD-0004;V1-CARD-0025,,partial,high,by field default:延伸阅读推荐(pres:NEXT-002),USER_REVIEW_BATCH,PUBLIC_BASIC,CHANGED,current status differs from external snapshot
V1-ENT-0017,work,next_reads,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-CARD-0006;V1-CARD-0007,,partial,high,by field default:延伸阅读推荐(pres:NEXT-003),USER_REVIEW_BATCH,PUBLIC_BASIC,CHANGED,current status differs from external snapshot
V1-ENT-0018,work,next_reads,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-CARD-0007;V1-CARD-0014,,partial,high,by field default:延伸阅读推荐(pres:NEXT-004),USER_REVIEW_BATCH,PUBLIC_BASIC,CHANGED,current status differs from external snapshot
V1-ENT-0032,work,next_reads,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-CARD-0015;V1-CARD-0018,,partial,high,by field default:延伸阅读推荐(pres:NEXT-005),USER_REVIEW_BATCH,PUBLIC_BASIC,CHANGED,current status differs from external snapshot
V1-ENT-0035,work,next_reads,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-CARD-0014;V1-CARD-0015,,partial,high,by field default:延伸阅读推荐(pres:NEXT-006),USER_REVIEW_BATCH,PUBLIC_BASIC,CHANGED,current status differs from external snapshot
V1-ENT-0035,work,why_read,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-CARD-0014,SRC-0023;SRC-0024,yes,high,by field default:阅读价值判断(pres:WHY-009),USER_REVIEW_BATCH,PUBLIC_BASIC,CHANGED,current status differs from external snapshot
V1-ENT-0038,work,next_reads,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-REL-0034;V1-REL-0075,,partial,high,by field default:延伸阅读推荐(pres:NEXT-007),USER_REVIEW_BATCH,PUBLIC_BASIC,CHANGED,current status differs from external snapshot
V1-ENT-0075,work,next_reads,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-CARD-0022;V1-CARD-0023,,partial,high,by field default:延伸阅读推荐(pres:NEXT-008),USER_REVIEW_BATCH,PUBLIC_BASIC,CHANGED,current status differs from external snapshot
V1-ENT-0076,work,next_reads,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-CARD-0023;V1-CARD-0024,,partial,high,by field default:延伸阅读推荐(pres:NEXT-009),USER_REVIEW_BATCH,PUBLIC_BASIC,CHANGED,current status differs from external snapshot
V1-ENT-0116,work,next_reads,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-CARD-0031;V1-CARD-0032,,partial,high,by field default:延伸阅读推荐(pres:NEXT-010),USER_REVIEW_BATCH,PUBLIC_BASIC,CHANGED,current status differs from external snapshot
V1-ENT-0002,author,literary_connections,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0006;V1-FCT-0007;V1-REL-0001;V1-REL-0002,SRC-0002;SRC-0008,yes,high,by field default:跨作品连接;内容为ID列表,USER_REVIEW_BATCH,USER_REVIEW_HIGH_JUDGMENT,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0002,author,literary_features,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0006;V1-FCT-0007;V1-REL-0001;V1-REL-0002,SRC-0002;SRC-0008,yes,high,by field default:策展判断,USER_REVIEW_BATCH,USER_REVIEW_HIGH_JUDGMENT,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0002,author,literary_profile,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0006;V1-FCT-0007;V1-REL-0001;V1-REL-0002,SRC-0002;SRC-0008,yes,high,含价值表述:最好,USER_REVIEW_BATCH,USER_REVIEW_HIGH_JUDGMENT,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0002,author,reader_lede,user_review,DUPLICATE_OR_REDUNDANT,V1-FCT-0006;V1-FCT-0007;V1-REL-0001;V1-REL-0002,SRC-0002;SRC-0008,yes,high,与literary_profile同文,DEDUP_MERGE,USER_REVIEW_HIGH_JUDGMENT,DUPLICATE,external duplicate classification retained
V1-ENT-0016,author,literary_connections,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0012;V1-REL-0005;V1-REL-0006;V1-REL-0008,SRC-0009;SRC-0010;SRC-0011;SRC-0012,yes,high,by field default:跨作品连接;内容为ID列表,USER_REVIEW_BATCH,USER_REVIEW_HIGH_JUDGMENT,STILL_VALID,candidate remains useful after current-main rebase
