target_id,target_type,name_zh,page_type,page_status,card_id,card_status,issue_code,map_status,relation_count,coordinate_status,page_action,notes
V1-ENT-0001,place,阿根廷,country,full,,,,featured,12,country_polygon_required,生成国家页,国家层由 parent_place_id 和作者/作品地点关系驱动
V1-ENT-0002,author,豪尔赫·路易斯·博尔赫斯,author,full,V1-CARD-0001,meets,NONE,,6,,生成完整作者页,V1 作者卡可直接支撑页面骨架
V1-ENT-0003,work,《小径分岔的花园》,work,full,V1-CARD-0003,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0004,work,《阿莱夫》,work,full,V1-CARD-0004,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0005,author,阿图尔·叔本华,author,related_only,,,,,0,,保留关联节点,无 V1 作者卡；不得用策展文案补足完整页
V1-ENT-0006,author,弗兰茨·卡夫卡,author,related_only,,,,,0,,保留关联节点,无 V1 作者卡；不得用策展文案补足完整页
V1-ENT-0007,author,吉尔伯特·基思·切斯特顿,author,related_only,,,,,0,,保留关联节点,无 V1 作者卡；不得用策展文案补足完整页
V1-ENT-0008,place,阿什格罗夫,unresolved_place,research_only,,,,hidden,1,none,保留待确认地点页，不进入默认地图,现实/虚构分类未确认；页面不得改写为现实地点或虚构空间
V1-ENT-0009,place,加雷街,real_place,full_without_point,,,,hidden,1,street_unresolved,生成地点页,坐标精度与来源在页面显示
V1-ENT-0010,movement,极端主义（超主义）,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0011,collection,《虚构集》,collection_module,module_only,V1-CARD-0005,research_gap,NONE,,0,,进入作者/作品页关联模块,V2-N2 不单独建设集合页
V1-ENT-0012,collection,《阿莱夫》,collection_module,module_only,,,,,0,,进入作者/作品页关联模块,V2-N2 不单独建设集合页
V1-ENT-0013,theme,时间的分岔与无限（多重未来）,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0014,theme,记忆与遗忘,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0015,theme,无限与不可言说（阿莱夫）,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0016,author,克拉丽丝·李斯佩克朵,author,full,V1-CARD-0002,meets,NONE,,6,,生成完整作者页,V1 作者卡可直接支撑页面骨架
V1-ENT-0017,work,《活水》,work,full,V1-CARD-0006,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0018,work,《星辰时刻》,work,full,V1-CARD-0007,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0019,collection,《家庭纽带》,collection_module,module_only,V1-CARD-0008,meets,NONE,,0,,进入作者/作品页关联模块,V2-N2 不单独建设集合页
V1-ENT-0020,work,《G.H. 受难》,work,related_only,,,,,0,,保留关联节点,无 V1 作品卡；不得用策展文案补足完整页
V1-ENT-0021,adaptation,《星辰时刻》,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0022,place,里约热内卢,real_place,full_with_point,,,,featured,2,city_centroid,生成地点页,坐标精度与来源在页面显示
V1-ENT-0023,theme,家庭关系与内心生活,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0024,theme,时间、当下瞬间与沉默,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0025,theme,社会不平等与书写,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0026,work,《生命的气息》,work,related_only,,,,,0,,保留关联节点,无 V1 作品卡；不得用策展文案补足完整页
V1-ENT-0027,theme,升华、沉默与女性写作（精神分析视角）,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0028,theme,女性人物与21世纪再读,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0029,author,埃莱娜·加罗,author,full,V1-CARD-0009,meets,NONE,,4,,生成完整作者页,V1 作者卡可直接支撑页面骨架
V1-ENT-0030,author,罗萨里奥·卡斯特利亚诺斯,author,full,V1-CARD-0013,meets,NONE,,4,,生成完整作者页,V1 作者卡可直接支撑页面骨架
V1-ENT-0031,author,胡安·鲁尔福,author,full,V1-CARD-0017,meets,NONE,,3,,生成完整作者页,V1 作者卡可直接支撑页面骨架
V1-ENT-0032,work,《未来的回忆》,work,full,V1-CARD-0010,meets,CONTEXT-EVENT,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0033,collection,《彩色的一周》,collection_module,module_only,V1-CARD-0011,research_gap,RESEARCH-GAP,,0,,进入作者/作品页关联模块,V2-N2 不单独建设集合页
V1-ENT-0034,work,《关于玛丽安娜的证词》,work,research_gap,V1-CARD-0012,research_gap,RESEARCH-GAP,,0,,生成研究缺口页,页面保留研究缺口，不自动生成确定性导语
V1-ENT-0035,work,《巴伦坎南》,work,full,V1-CARD-0014,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0036,work,《黑暗的职守》,work,research_gap,V1-CARD-0015,research_gap,RESEARCH-GAP,,0,,生成研究缺口页,页面保留研究缺口，不自动生成确定性导语
V1-ENT-0037,collection,《诗歌不是你》,collection_module,module_only,V1-CARD-0016,research_gap,RESEARCH-GAP,,0,,进入作者/作品页关联模块,V2-N2 不单独建设集合页
V1-ENT-0038,work,《佩德罗·巴拉莫》,work,full,V1-CARD-0018,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0039,collection,《燃烧的原野》,collection_module,module_only,V1-CARD-0019,research_gap,RESEARCH-GAP,,0,,进入作者/作品页关联模块,V2-N2 不单独建设集合页
V1-ENT-0040,work,《金鸡》,work,research_gap,V1-CARD-0020,research_gap,RESEARCH-GAP,,0,,生成研究缺口页,页面保留研究缺口，不自动生成确定性导语
V1-ENT-0041,work,《La culpa es de los tlaxcaltecas》,work,related_only,,,,,0,,保留关联节点,无 V1 作品卡；不得用策展文案补足完整页
V1-ENT-0042,adaptation,《未来的回忆》（1968 年电影）,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0043,edition,Balún-Canán（FCE 2007 版）,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0044,work,《永恒的女性》,work,related_only,,,,,0,,保留关联节点,无 V1 作品卡；不得用策展文案补足完整页
V1-ENT-0045,work,《费利佩·安赫莱斯》,work,related_only,,,,,0,,保留关联节点,无 V1 作品卡；不得用策展文案补足完整页
V1-ENT-0046,edition,Pedro Páramo（FCE 1964 版）,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0047,character,弗朗西斯科·罗萨斯,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0048,character,胡利娅·安德拉德,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0049,character,胡安·普雷西亚多,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0050,character,佩德罗·巴拉莫（人物）,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0051,place,墨西哥,country,full,,,,featured,9,country_polygon_required,生成国家页,国家层由 parent_place_id 和作者/作品地点关系驱动
V1-ENT-0052,place,恰帕斯,real_place,full_with_point,,,,eligible,2,region_centroid,生成地点页,坐标精度与来源在页面显示
V1-ENT-0053,place,科米坦,real_place,full_with_point,,,,eligible,1,city_centroid,生成地点页,坐标精度与来源在页面显示
V1-ENT-0054,place,伊斯特佩克,real_place,full_with_point,,,,eligible,1,city_centroid,生成地点页,坐标精度与来源在页面显示
V1-ENT-0055,place,科马拉,fictional_space,full_without_point,,,,featured,1,none,生成文学空间页,文学空间不使用现实坐标
V1-ENT-0056,place,墨西哥城,real_place,full_with_point,,,,eligible,4,city_centroid,生成地点页,坐标精度与来源在页面显示
V1-ENT-0057,place,圣加布里埃尔,real_place,full_with_point,,,,eligible,1,city_centroid,生成地点页,坐标精度与来源在页面显示
