card_id,origin_card_id,subject_id,card_type,title_zh,author_label,original_title,country_or_region,language,period_bucket,genre_or_form,input_layer,source_minimum_status,issue_code,content_markdown
V1-CARD-0001,A04-CARD-01,V1-ENT-0002,author,豪尔赫·路易斯·博尔赫斯,豪尔赫·路易斯·博尔赫斯,Jorge Luis Borges,阿根廷,es,1899-1986,—,N2,meets,NONE,"### 01. 豪尔赫·路易斯·博尔赫斯
- 对象类型：`author`｜原文名：Jorge Luis Borges｜国家/地区：阿根廷｜语言：es｜时期：1899-1986｜体裁：—
- 一句话简介：阿根廷作家：诗人、短篇作家、批评家、散文家、教授，被誉为“作家的作家”。
- 已准入事实素材（3—7 条）：
  1. **birth_year**：1899（accepted_for_n2｜SRC-0002）
  2. **death_year**：1986（accepted_for_n2｜SRC-0002）
  3. **country_or_region**：阿根廷（accepted_for_n2｜SRC-0002）
  4. **language**：es（accepted_for_n2｜SRC-0002）
  5. **one_sentence_summary**：诗人、短篇作家、批评家、散文家、教授，被誉为“作家的作家”（accepted_for_n2｜SRC-0002）
  6. **research_note**：1914 年一战爆发后举家迁居瑞士，1919 年赴西班牙居留三年，1921 年回国传播极端主义，30 年代放弃其要旨（accepted_for_n2｜SRC-0002）
  7. **entity_layer**：author（accepted_for_n2｜SRC-0002）
- 可靠来源（正式 SRC）：SRC-0002
- 研究说明 / hold / gap：无
"
V1-CARD-0002,A04-CARD-02,V1-ENT-0016,author,克拉丽丝·李斯佩克朵,克拉丽丝·李斯佩克朵,Clarice Lispector,巴西,pt,1920-1977,—,N2,meets,NONE,"### 02. 克拉丽丝·李斯佩克朵
- 对象类型：`author`｜原文名：Clarice Lispector｜国家/地区：巴西｜语言：pt｜时期：1920-1977｜体裁：—
- 一句话简介：巴西作家：《G.H. 受难》(1964) 与《星辰时刻》(1977) 的作者，以《家庭纽带》(1960) 等奠定短篇声誉。
- 已准入事实素材（3—7 条）：
  1. **birth_year**：1920（accepted_for_n2｜SRC-0013｜页面未直接显示；依据 2020 年百年诞辰专刊与 Codex 核定（REVIEW 3.4））
  2. **death_year**：1977（accepted_for_n2｜SRC-0016｜Codex 权威来源补充）
  3. **country_or_region**：巴西（accepted_for_n2｜SRC-0009）
  4. **language**：pt（accepted_for_n2｜SRC-0009）
  5. **one_sentence_summary**：《G.H. 受难》(1964) 与《星辰时刻》(1977) 的作者，以《家庭纽带》(1960)、《外国军团》(1964) 奠定短篇声誉（accepted_for_n2｜SRC-0009）
  6. **entity_layer**：author（accepted_for_n2｜SRC-0009）
- 可靠来源（正式 SRC）：SRC-0009、SRC-0013、SRC-0016
- 研究说明 / hold / gap：无
"
V1-CARD-0003,A04-CARD-03,V1-ENT-0003,work,《小径分岔的花园》,豪尔赫·路易斯·博尔赫斯,El jardín de senderos que se bifurcan,阿根廷,es,1941,短篇小说,N2,meets,NONE,"### 03. 《小径分岔的花园》
- 对象类型：`work`｜原文名：El jardín de senderos que se bifurcan｜国家/地区：阿根廷｜语言：es｜时期：1941｜体裁：短篇小说
- 一句话简介：短篇小说：间谍余准的供述，以杀死汉学家艾伯特把英军炮兵阵地城名传回柏林。
- 已准入事实素材（3—7 条）：
  1. **first_publication_year**：1941（accepted_for_n2｜SRC-0014｜Codex 权威来源补充）
  2. **one_sentence_summary**：间谍余准的供述：借杀死汉学家艾伯特将英军炮兵阵地所在城名传回柏林；艾伯特解出崔朋“小说即迷宫”的时间分岔（accepted_for_n2｜SRC-0002）
  3. **genre_or_form**：短篇小说（UNIDAD 8 选文）（accepted_for_n2｜SRC-0002）
  4. **key_character**：余准、斯蒂芬·艾伯特、理查德·马登、维克托·鲁内贝格、崔朋（accepted_for_n2｜SRC-0002）
  5. **key_place**：阿什格罗夫、阿尔贝、青岛（accepted_for_n2｜SRC-0002）
  6. **entity_layer**：work（accepted_for_n2｜SRC-0002）
- 可靠来源（正式 SRC）：SRC-0002、SRC-0014
- 研究说明 / hold / gap：无
"
V1-CARD-0004,A04-CARD-04,V1-ENT-0004,work,《阿莱夫》（1945 年短篇）,豪尔赫·路易斯·博尔赫斯,El Aleph,阿根廷,es,1945,短篇小说,N2,meets,NONE,"### 04. 《阿莱夫》（1945 年短篇）
- 对象类型：`work`｜原文名：El Aleph｜国家/地区：阿根廷｜语言：es｜时期：1945｜体裁：短篇小说
- 一句话简介：短篇小说：叙述者博尔赫斯在亡友贝亚特丽斯表兄达内里宅邸地窖得见“包罗一切空间点的”阿莱夫。
- 已准入事实素材（3—7 条）：
  1. **first_publication_year**：1945（accepted_for_n2｜SRC-0015｜Codex 权威来源补充；替代候选实体中的 1949 误值）
  2. **one_sentence_summary**：叙述者博尔赫斯在亡友贝亚特丽斯表兄达内里宅邸地窖得见“包罗一切空间点的”阿莱夫（accepted_for_n2｜SRC-0002）
  3. **genre_or_form**：短篇小说（UNIDAD 8 选文）（accepted_for_n2｜SRC-0002）
  4. **key_character**：贝亚特丽斯·维特博、卡洛斯·阿亨蒂诺·达内里、博尔赫斯（叙述者）（accepted_for_n2｜SRC-0002）
  5. **key_place**：加雷街（accepted_for_n2｜SRC-0002）
  6. **bibliographic_note**：卷首题词引《哈姆雷特》II.2 与《利维坦》IV.46；文末献词致 Estela Canto（accepted_for_n2｜SRC-0002）
  7. **research_note**：Rosman 专论《Politics of the Name: On Borges's “El Aleph”》围绕命名、共同语言、翻译、文学共同体与国家身份解读（Codex 已独立复核，REVIEW 3.1）（accepted_for_n2｜SRC-0008）
- 可靠来源（正式 SRC）：SRC-0002、SRC-0008、SRC-0015
- 研究说明 / hold / gap（与事实分栏）：
  - 分层说明：与 1949 年作品集《阿莱夫》（collection，STG-ENT-0012）保持分层；作品集作为结构说明保存，不计入核心 30。
"
V1-CARD-0005,A04-CARD-05,V1-ENT-0011,collection,《虚构集》,豪尔赫·路易斯·博尔赫斯,Ficciones,阿根廷,es,1944,短篇作品集,N2,research_gap,NONE,"### 05. 《虚构集》
- 对象类型：`collection`｜原文名：Ficciones｜国家/地区：阿根廷｜语言：es｜时期：1944｜体裁：短篇作品集
- 一句话简介：短篇作品集（1944），博尔赫斯世界声誉的奠基作品集之一。
- 已准入事实素材（3—7 条）：
  1. **first_publication_year**：1944（accepted_for_n2｜SRC-0002）
  2. **genre_or_form**：短篇作品集（accepted_for_n2｜SRC-0002）
  3. **bibliographic_note**：SRC-0007 页面记录：1944 初版、1956 修订（accepted_for_n2｜SRC-0007）
  4. **entity_layer**：collection（accepted_for_n2｜SRC-0002）
- 可靠来源（正式 SRC）：SRC-0002、SRC-0007
- 研究说明 / hold / gap（与事实分栏）：
  - 研究缺口：素材池无研究类事实行（书目支持 1944/1956 修订来自 SRC-0002/SRC-0007）；小传级判断未入事实，research_gap。
"
V1-CARD-0006,A04-CARD-06,V1-ENT-0017,work,《活水》,克拉丽丝·李斯佩克朵,Água viva,巴西,pt,1973,混合体裁长篇小说,N2,meets,NONE,"### 06. 《活水》
- 对象类型：`work`｜原文名：Água viva｜国家/地区：巴西｜语言：pt｜时期：1973｜体裁：混合体裁长篇小说
- 一句话简介：混合体裁作品（1973）：据 1971 年手稿改写，主题为时间与“当下瞬间”、沉默与创作。
- 已准入事实素材（3—7 条）：
  1. **first_publication_year**：1973（accepted_for_n2｜SRC-0009）
  2. **one_sentence_summary**：据 1971 年手稿《Objeto gritante》改写；主题为时间与“当下瞬间”、沉默、创作与女性声音（accepted_for_n2｜SRC-0009）
  3. **genre_or_form**：官网列“Romance”；混合体裁、无常规情节（兼有小说/诗/日记/随笔碎片）（accepted_for_n2｜SRC-0009）
  4. **bibliographic_note**：源自更早专栏文字与《外国军团》中的文本（accepted_for_n2｜SRC-0009）
  5. **research_note**：晚年写作《活水》期间开始绘画，与超越言语达至沉默的努力并提（accepted_for_n2｜SRC-0011）
  6. **entity_layer**：work（accepted_for_n2｜SRC-0009）
- 可靠来源（正式 SRC）：SRC-0009、SRC-0011
- 研究说明 / hold / gap：无
"
V1-CARD-0007,A04-CARD-07,V1-ENT-0018,work,《星辰时刻》,克拉丽丝·李斯佩克朵,A hora da estrela,巴西,pt,1977,中篇小说,N2,meets,NONE,"### 07. 《星辰时刻》
- 对象类型：`work`｜原文名：A hora da estrela｜国家/地区：巴西｜语言：pt｜时期：1977｜体裁：中篇小说
- 一句话简介：中篇小说（1977）：东北部贫苦移民少女玛卡贝娅的故事，叙述者罗德里戈·S.M. 反思书写她的行为。
- 已准入事实素材（3—7 条）：
  1. **first_publication_year**：1977（accepted_for_n2｜SRC-0009）
  2. **one_sentence_summary**：东北部贫苦移民少女玛卡贝娅在里约被男友抛弃、遭友人背叛，叙述者罗德里戈·S.M. 反思书写她的故事（accepted_for_n2｜SRC-0009）
  3. **genre_or_form**：官网列“Novela”（中篇小说）（accepted_for_n2｜SRC-0009）
  4. **key_character**：玛卡贝娅、奥林皮科、格洛里娅、罗德里戈·S.M.（accepted_for_n2｜SRC-0009）
  5. **key_place**：里约热内卢（accepted_for_n2｜SRC-0009）
  6. **research_note**：社会参与文学的悖论化为“虚构面具”；叙述者之声与作家之声时分时合，贫穷人物始终沉默（accepted_for_n2｜SRC-0012）
  7. **entity_layer**：work（accepted_for_n2｜SRC-0009｜与 1985 年电影 adaptation 分层（REVIEW 3.3））
- 可靠来源（正式 SRC）：SRC-0009、SRC-0012
- 研究说明 / hold / gap：无
"
V1-CARD-0008,A04-CARD-08,V1-ENT-0019,collection,《家庭纽带》,克拉丽丝·李斯佩克朵,Laços de família,巴西,pt,1960,短篇集（13 篇）,N2,meets,NONE,"### 08. 《家庭纽带》
- 对象类型：`collection`｜原文名：Laços de família｜国家/地区：巴西｜语言：pt｜时期：1960｜体裁：短篇集（13 篇）
- 一句话简介：短篇集（1960，13 篇）：从城市与家庭场景切入内心生活、家庭关系与沉默。
- 已准入事实素材（3—7 条）：
  1. **first_publication_year**：1960（accepted_for_n2｜SRC-0009）
  2. **one_sentence_summary**：从城市与家庭场景切入内心生活、家庭关系、沉默、姿态与揭示时刻（accepted_for_n2｜SRC-0009）
  3. **genre_or_form**：短篇集（13 篇）（accepted_for_n2｜SRC-0009）
  4. **bibliographic_note**：1961 年获 Jabuti 文学奖（accepted_for_n2｜SRC-0009）
  5. **research_note**：女性人物在 21 世纪仍具共鸣；网络语录多被去语境化，文章主张回到文本（fólio 百年诞辰专刊）（accepted_for_n2｜SRC-0013）
  6. **entity_layer**：collection（accepted_for_n2｜SRC-0009｜13 篇短篇集；按试行 Schema §5 种子，最终命名待 N2）
- 可靠来源（正式 SRC）：SRC-0009、SRC-0013
- 研究说明 / hold / gap：无
"
V1-CARD-0009,A04-CARD-09,V1-ENT-0029,author,埃莱娜·加罗,埃莱娜·加罗,Elena Garro,墨西哥,es,1916-1998,—,B01,meets,NONE,"### 09. 埃莱娜·加罗
- 对象类型：`author`｜原文名：Elena Garro｜国家/地区：墨西哥｜语言：es｜时期：1916-1998｜体裁：—
- 一句话简介：墨西哥剧作家与小说家，以《未来的回忆》知名；1937 年与奥克塔维奥·帕斯结婚。
- 已准入事实素材（3—7 条）：
  1. **birth_year**：1916（batch_retained_candidate｜SRC-0017｜12 月 11 日生于普埃布拉）
  2. **death_year**：1998（batch_retained_candidate｜SRC-0017｜8 月 22 日卒于库埃纳瓦卡）
  3. **country_or_region**：墨西哥（batch_retained_candidate｜SRC-0017）
  4. **language**：es（batch_retained_candidate｜SRC-0017）
  5. **one_sentence_summary**：墨西哥剧作家与小说家，以《未来的回忆》知名；1937 年与奥克塔维奥·帕斯结婚，1968 年后长期流亡（batch_retained_candidate｜SRC-0017）
  6. **bibliographic_note**：奖项：Xavier Villaurrutia 1963、Grijalbo 小说奖 1981（词条）（batch_retained_candidate｜SRC-0017）
  7. **research_note**：婚姻（1937-1959）与 1968 年特拉特洛尔科事件后流亡美国/法国约 20 年，1994 年前后返墨（词条）（batch_retained_candidate｜SRC-0017）
- 可靠来源（正式 SRC）：SRC-0017
- 研究说明 / hold / gap：无
"
V1-CARD-0010,A04-CARD-10,V1-ENT-0032,work,《未来的回忆》,埃莱娜·加罗,Los recuerdos del porvenir,墨西哥,es,1963,长篇小说,B01,meets,CONTEXT-EVENT,"### 10. 《未来的回忆》
- 对象类型：`work`｜原文名：Los recuerdos del porvenir｜国家/地区：墨西哥｜语言：es｜时期：1963｜体裁：长篇小说
- 一句话简介：长篇小说（1963）：以村镇伊斯特佩克为全知叙述者，讲述革命后秩序幻灭与基督战争之灾。
- 已准入事实素材（3—7 条）：
  1. **first_publication_year**：1963（batch_retained_candidate｜SRC-0020｜Joaquín Mortiz（Novelistas Contemporáneos））
  2. **one_sentence_summary**：以村镇伊斯特佩克为全知叙述者，讲述革命后秩序幻灭与基督战争之灾；同年获 Xavier Villaurrutia 奖（batch_retained_candidate｜SRC-0020）
  3. **genre_or_form**：长篇小说（batch_retained_candidate｜SRC-0020）
  4. **key_character**：弗朗西斯科·罗萨斯、胡利娅·安德拉德（batch_retained_candidate｜SRC-0020）
  5. **key_place**：伊斯特佩克（batch_retained_candidate｜SRC-0020）
  6. **research_note**：RCL 论文以记忆/anámnesis 与历史真相解读；1968 年 Ripstein 电影改编（B01-SRC-0003/0004）（batch_retained_candidate｜SRC-0019）
  7. **event_year_range**：1926-1929（candidate_for_staging_review｜SRC-0071｜BnF 主题标目直接载年份范围）
- 可靠来源（正式 SRC）：SRC-0019、SRC-0020、SRC-0071
- 研究说明 / hold / gap（与事实分栏）：
  - 关联事件事实：基督战争 1926-1929（A03-FCT-0022，SRC-0071）为背景事件候选，与《未来的回忆》的关系仅作上下文，不建正式事件关系。
  - 单来源解释关系 hold（A03 复核维持）：RG-B01-0026《未来的回忆》↔记忆与遗忘、RG-B01-0027《未来的回忆》↔时间与历史。
"
V1-CARD-0011,A04-CARD-11,V1-ENT-0033,collection,《彩色的一周》,埃莱娜·加罗,La semana de colores,墨西哥,es,1964,短篇集,B01,research_gap,RESEARCH-GAP,"### 11. 《彩色的一周》
- 对象类型：`collection`｜原文名：La semana de colores｜国家/地区：墨西哥｜语言：es｜时期：1964｜体裁：短篇集
- 一句话简介：短篇集（1964），含《La culpa es de los tlaxcaltecas》。
- 已准入事实素材（3—7 条）：
  1. **first_publication_year**：1964（batch_retained_candidate｜SRC-0021｜Universidad Veracruzana（Ficción 58））
  2. **one_sentence_summary**：1964 年出版的短篇集，含《La culpa es de los tlaxcaltecas》（batch_retained_candidate｜SRC-0021）
  3. **genre_or_form**：短篇集（batch_retained_candidate｜SRC-0021）
  4. **entity_layer**：collection（batch_retained_candidate｜SRC-0021）
- 可靠来源（正式 SRC）：SRC-0021
- 研究说明 / hold / gap（与事实分栏）：
  - 研究缺口：仅 B 级书目来源（ELEM 作品页），无 A 级研究依据；research_gap。
"
V1-CARD-0012,A04-CARD-12,V1-ENT-0034,work,《关于玛丽安娜的证词》,埃莱娜·加罗,Testimonios sobre Mariana,墨西哥,es,1981,长篇小说,B01,research_gap,RESEARCH-GAP,"### 12. 《关于玛丽安娜的证词》
- 对象类型：`work`｜原文名：Testimonios sobre Mariana｜国家/地区：墨西哥｜语言：es｜时期：1981｜体裁：长篇小说
- 一句话简介：长篇小说（1981），获 Grijalbo 小说奖。
- 已准入事实素材（3—7 条）：
  1. **first_publication_year**：1981（batch_retained_candidate｜SRC-0017｜获 Grijalbo 小说奖；出版信息待核）
  2. **genre_or_form**：长篇小说（batch_retained_candidate｜SRC-0017｜体裁表述待核）
  3. **entity_layer**：work（batch_retained_candidate｜SRC-0017）
- 可靠来源（正式 SRC）：SRC-0017
- 研究说明 / hold / gap（与事实分栏）：
  - 研究缺口：仅 B 级作者词条（ELEM），出版信息待核；research_gap。
"
V1-CARD-0013,A04-CARD-13,V1-ENT-0030,author,罗萨里奥·卡斯特利亚诺斯,罗萨里奥·卡斯特利亚诺斯,Rosario Castellanos,墨西哥,es,1925-1974,—,B01,meets,NONE,"### 13. 罗萨里奥·卡斯特利亚诺斯
- 对象类型：`author`｜原文名：Rosario Castellanos｜国家/地区：墨西哥｜语言：es｜时期：1925-1974｜体裁：—
- 一句话简介：墨西哥作家、外交官；幼年在恰帕斯科米坦度过；曾任驻以色列大使。
- 已准入事实素材（3—7 条）：
  1. **birth_year**：1925（batch_retained_candidate｜SRC-0022｜5 月 25 日生于墨西哥城）
  2. **death_year**：1974（batch_retained_candidate｜SRC-0022｜8 月 7 日卒于以色列特拉维夫）
  3. **country_or_region**：墨西哥（batch_retained_candidate｜SRC-0022）
  4. **language**：es（batch_retained_candidate｜SRC-0022）
  5. **one_sentence_summary**：墨西哥作家、外交官；幼年在恰帕斯科米坦度过；UNAM 攻读法律与哲学；曾任驻以色列大使（batch_retained_candidate｜SRC-0022）
  6. **bibliographic_note**：奖项：Premio Chiapas 1958、Villaurrutia 1960、Sor Juana Inés de la Cruz 1962 等（词条）（batch_retained_candidate｜SRC-0022）
  7. **research_note**：曾任 INI 编辑、UNAM 出版社主任、文哲系教授（词条）（batch_retained_candidate｜SRC-0022）
- 可靠来源（正式 SRC）：SRC-0022
- 研究说明 / hold / gap：无
"
V1-CARD-0014,A04-CARD-14,V1-ENT-0035,work,《巴伦坎南》,罗萨里奥·卡斯特利亚诺斯,Balún-Canán,墨西哥,es,1957,长篇小说,B01,meets,NONE,"### 14. 《巴伦坎南》
- 对象类型：`work`｜原文名：Balún-Canán｜国家/地区：墨西哥｜语言：es｜时期：1957｜体裁：长篇小说
- 一句话简介：长篇小说（1957）：恰帕斯村镇中白人世界与 chontal 印第安世界的张力。
- 已准入事实素材（3—7 条）：
  1. **first_publication_year**：1957（batch_retained_candidate｜SRC-0023｜FCE（Letras Mexicanas 36））
  2. **one_sentence_summary**：恰帕斯村镇中白人世界与 chontal 印第安世界的张力；1958 年获 Premio Chiapas（词条）（batch_retained_candidate｜SRC-0023）
  3. **genre_or_form**：长篇小说（batch_retained_candidate｜SRC-0023）
  4. **key_place**：恰帕斯（batch_retained_candidate｜SRC-0023）
  5. **research_note**：LM 论文：暴力与语言的交织、书面语/口语错位、沉默作为暴力形式（B01-SRC-0008）（batch_retained_candidate｜SRC-0024）
  6. **entity_layer**：work（batch_retained_candidate｜SRC-0023）
- 可靠来源（正式 SRC）：SRC-0023、SRC-0024
- 研究说明 / hold / gap（与事实分栏）：
  - 单来源解释关系 hold（A03 复核维持）：RG-B01-0028《巴伦坎南》↔暴力与语言、RG-B01-0029《巴伦坎南》↔沉默。
"
V1-CARD-0015,A04-CARD-15,V1-ENT-0036,work,《黑暗的职守》,罗萨里奥·卡斯特利亚诺斯,Oficio de tinieblas,墨西哥,es,1962,长篇小说,B01,research_gap,RESEARCH-GAP,"### 15. 《黑暗的职守》
- 对象类型：`work`｜原文名：Oficio de tinieblas｜国家/地区：墨西哥｜语言：es｜时期：1962｜体裁：长篇小说
- 一句话简介：长篇小说（1962），Joaquín Mortiz 出版。
- 已准入事实素材（3—7 条）：
  1. **first_publication_year**：1962（batch_retained_candidate｜SRC-0026｜Joaquín Mortiz）
  2. **genre_or_form**：长篇小说（batch_retained_candidate｜SRC-0026｜体裁表述以作品页书目为据）
  3. **entity_layer**：work（batch_retained_candidate｜SRC-0026）
- 可靠来源（正式 SRC）：SRC-0026
- 研究说明 / hold / gap（与事实分栏）：
  - 研究缺口：仅 B 级书目来源（ELEM 作品页）；research_gap。
"
V1-CARD-0016,A04-CARD-16,V1-ENT-0037,collection,《诗歌不是你》,罗萨里奥·卡斯特利亚诺斯,Poesía no eres tú: obra poética 1948-1971,墨西哥,es,1972,诗集,B01,research_gap,RESEARCH-GAP,"### 16. 《诗歌不是你》
- 对象类型：`collection`｜原文名：Poesía no eres tú: obra poética 1948-1971｜国家/地区：墨西哥｜语言：es｜时期：1972｜体裁：诗集
- 一句话简介：诗集（1972，FCE）：收录 1948-1971 年诗作。
- 已准入事实素材（3—7 条）：
  1. **first_publication_year**：1972（batch_retained_candidate｜SRC-0025｜FCE（Letras Mexicanas））
  2. **genre_or_form**：诗集（batch_retained_candidate｜SRC-0025）
  3. **bibliographic_note**：副题 obra poética 1948-1971：收录 1948-1971 年诗作（作品页标题）（batch_retained_candidate｜SRC-0025）
  4. **entity_layer**：collection（batch_retained_candidate｜SRC-0025）
- 可靠来源（正式 SRC）：SRC-0025
- 研究说明 / hold / gap（与事实分栏）：
  - 研究缺口：仅 B 级书目来源（ELEM 作品页）；research_gap。
"
V1-CARD-0017,A04-CARD-17,V1-ENT-0031,author,胡安·鲁尔福,胡安·鲁尔福,Juan Rulfo,墨西哥,es,1917-1986,—,B01,meets,NONE,"### 17. 胡安·鲁尔福
- 对象类型：`author`｜原文名：Juan Rulfo｜国家/地区：墨西哥｜语言：es｜时期：1917-1986｜体裁：—
- 一句话简介：墨西哥小说家与摄影师，以《佩德罗·巴拉莫》与《燃烧的原野》著称。
- 已准入事实素材（3—7 条）：
  1. **birth_year**：1917（batch_retained_candidate｜SRC-0027｜5 月 16 日生于阿普尔科（登记于萨尤拉））
  2. **death_year**：1986（batch_retained_candidate｜SRC-0027｜1 月 7 日卒于墨西哥城）
  3. **country_or_region**：墨西哥（batch_retained_candidate｜SRC-0027）
  4. **language**：es（batch_retained_candidate｜SRC-0027）
  5. **one_sentence_summary**：墨西哥小说家与摄影师，以《佩德罗·巴拉莫》与《燃烧的原野》著称；童年历经革命与基督战争暴力（batch_retained_candidate｜SRC-0027）
  6. **bibliographic_note**：奖项：Xavier Villaurrutia 1955、国家文学奖 1970、阿斯图里亚斯亲王奖 1983（词条）（batch_retained_candidate｜SRC-0027）
  7. **research_note**：1952-1953 年墨西哥作家中心（Centro Mexicano de Escritores）奖学金期间完成两部代表作；曾任 INI 编辑（词条）（batch_retained_candidate｜SRC-0027）
- 可靠来源（正式 SRC）：SRC-0027
- 研究说明 / hold / gap：无
"
