sample_id,candidate_id,sample_code,sample_name,lon_deg,lat_deg,window,ew_ns_scale_ratio,principal_axis_ratio,area_factor,area_factor_relative_to_center,method
PROJ-CURRENT-S01,PROJ-CURRENT,S01,Mexico City,-99.13,19.43,lon=-118..-32;lat=-56..33,1.724456,1.724456,1.724456,1.039103,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-CURRENT-S02,PROJ-CURRENT,S02,Havana,-82.38,23.13,lon=-118..-32;lat=-56..33,1.768397,1.768397,1.768397,1.065580,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-CURRENT-S03,PROJ-CURRENT,S03,center (center of viewport),-75.00,-11.50,lon=-118..-32;lat=-56..33,1.659562,1.659562,1.659562,1.000000,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-CURRENT-S04,PROJ-CURRENT,S04,Buenos Aires,-58.38,-34.60,lon=-118..-32;lat=-56..33,1.975670,1.975670,1.975670,1.190477,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-CURRENT-S05,PROJ-CURRENT,S05,Santiago,-70.65,-33.46,lon=-118..-32;lat=-56..33,1.949302,1.949302,1.949302,1.174588,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-CURRENT-S06,PROJ-CURRENT,S06,Tierra del Fuego,-68.00,-54.00,lon=-118..-32;lat=-56..33,2.766735,2.766735,2.766735,1.667147,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-CURRENT-S07,PROJ-CURRENT,S07,Tijuana corner,-117.00,32.50,lon=-118..-32;lat=-56..33,1.928222,1.928222,1.928222,1.161886,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-EQ-fix-S01,PROJ-EQ-fix,S01,Mexico City,-99.13,19.43,lon=-118..-32;lat=-56..33,1.039103,1.039103,1.039103,1.039103,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-EQ-fix-S02,PROJ-EQ-fix,S02,Havana,-82.38,23.13,lon=-118..-32;lat=-56..33,1.065580,1.065580,1.065580,1.065580,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-EQ-fix-S03,PROJ-EQ-fix,S03,center (center of viewport),-75.00,-11.50,lon=-118..-32;lat=-56..33,1.000000,1.000000,1.000000,1.000000,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-EQ-fix-S04,PROJ-EQ-fix,S04,Buenos Aires,-58.38,-34.60,lon=-118..-32;lat=-56..33,1.190477,1.190477,1.190477,1.190477,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-EQ-fix-S05,PROJ-EQ-fix,S05,Santiago,-70.65,-33.46,lon=-118..-32;lat=-56..33,1.174588,1.174588,1.174588,1.174588,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-EQ-fix-S06,PROJ-EQ-fix,S06,Tierra del Fuego,-68.00,-54.00,lon=-118..-32;lat=-56..33,1.667147,1.667147,1.667147,1.667147,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-EQ-fix-S07,PROJ-EQ-fix,S07,Tijuana corner,-117.00,32.50,lon=-118..-32;lat=-56..33,1.161886,1.161886,1.161886,1.161886,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-LAEA-S01,PROJ-LAEA,S01,Mexico City,-99.13,19.43,lon=-118..-32;lat=-56..33,1.022596,1.125463,0.999998,1.000000,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-LAEA-S02,PROJ-LAEA,S02,Havana,-82.38,23.13,lon=-118..-32;lat=-56..33,1.091605,1.101701,0.999998,1.000000,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-LAEA-S03,PROJ-LAEA,S03,center (center of viewport),-75.00,-11.50,lon=-118..-32;lat=-56..33,1.000000,1.000000,0.999998,1.000000,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-LAEA-S04,PROJ-LAEA,S04,Buenos Aires,-58.38,-34.60,lon=-118..-32;lat=-56..33,1.015848,1.060376,0.999998,1.000000,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-LAEA-S05,PROJ-LAEA,S05,Santiago,-70.65,-33.46,lon=-118..-32;lat=-56..33,1.035875,1.038912,0.999998,1.000000,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-LAEA-S06,PROJ-LAEA,S06,Tierra del Fuego,-68.00,-54.00,lon=-118..-32;lat=-56..33,1.143802,1.154078,0.999998,0.999999,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-LAEA-S07,PROJ-LAEA,S07,Tijuana corner,-117.00,32.50,lon=-118..-32;lat=-56..33,0.957492,1.327088,0.999998,0.999999,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-AEQD-S01,PROJ-AEQD,S01,Mexico City,-99.13,19.43,lon=-118..-32;lat=-56..33,1.014986,1.081649,1.081648,1.081649,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-AEQD-S02,PROJ-AEQD,S02,Havana,-82.38,23.13,lon=-118..-32;lat=-56..33,1.059994,1.066479,1.066479,1.066479,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-AEQD-S03,PROJ-AEQD,S03,center (center of viewport),-75.00,-11.50,lon=-118..-32;lat=-56..33,1.000000,1.000000,1.000000,1.000000,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-AEQD-S04,PROJ-AEQD,S04,Buenos Aires,-58.38,-34.60,lon=-118..-32;lat=-56..33,1.010523,1.039777,1.039776,1.039776,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-AEQD-S05,PROJ-AEQD,S05,Santiago,-70.65,-33.46,lon=-118..-32;lat=-56..33,1.023746,1.025743,1.025742,1.025743,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-AEQD-S06,PROJ-AEQD,S06,Tierra del Fuego,-68.00,-54.00,lon=-118..-32;lat=-56..33,1.093284,1.099745,1.099745,1.099745,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-AEQD-S07,PROJ-AEQD,S07,Tijuana corner,-117.00,32.50,lon=-118..-32;lat=-56..33,0.971319,1.205492,1.205491,1.205491,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-EQEARTH-S01,PROJ-EQEARTH,S01,Mexico City,-99.13,19.43,lon=-118..-32;lat=-56..33,0.772435,1.397556,0.999998,1.000000,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-EQEARTH-S02,PROJ-EQEARTH,S02,Havana,-82.38,23.13,lon=-118..-32;lat=-56..33,0.793594,1.368557,0.999998,1.000000,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-EQEARTH-S03,PROJ-EQEARTH,S03,center (center of viewport),-75.00,-11.50,lon=-118..-32;lat=-56..33,0.754899,1.345479,0.999998,1.000000,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-EQEARTH-S04,PROJ-EQEARTH,S04,Buenos Aires,-58.38,-34.60,lon=-118..-32;lat=-56..33,0.891942,1.295523,0.999998,0.999999,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-EQEARTH-S05,PROJ-EQEARTH,S05,Santiago,-70.65,-33.46,lon=-118..-32;lat=-56..33,0.870687,1.354388,0.999998,0.999999,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-EQEARTH-S06,PROJ-EQEARTH,S06,Tierra del Fuego,-68.00,-54.00,lon=-118..-32;lat=-56..33,1.228403,1.672698,0.999995,0.999997,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-EQEARTH-S07,PROJ-EQEARTH,S07,Tijuana corner,-117.00,32.50,lon=-118..-32;lat=-56..33,0.817196,1.602656,0.999998,0.999999,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-NATEARTH-S01,PROJ-NATEARTH,S01,Mexico City,-99.13,19.43,lon=-118..-32;lat=-56..33,0.885433,1.219211,0.917879,1.030095,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-NATEARTH-S02,PROJ-NATEARTH,S02,Havana,-82.38,23.13,lon=-118..-32;lat=-56..33,0.899863,1.207207,0.935417,1.049777,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
