entity_id,entity_type,canonical_name,display_name_zh,original_name,language,country_or_region,date_info,staging_status,issue_notes
STG-ENT-0001,place,阿根廷,阿根廷,Argentina,es,阿根廷,,n2_review,西语目录 OCR 经校正，置信度降为 medium，建议复核后恢复
STG-ENT-0002,author,豪尔赫·路易斯·博尔赫斯,豪尔赫·路易斯·博尔赫斯,Jorge Luis Borges,es,阿根廷,1899-1986,n2_review,既有候选 CAND-AUTHOR-0024/0058/0307（同名）需 Codex 合并
STG-ENT-0003,work,《小径分岔的花园》,《小径分岔的花园》,El jardín de senderos que se bifurcan,es,阿根廷,1941,n2_review,既有候选 CAND-WORK-0066（SRC-0002）需 Codex 合并；与同名1941年短篇集及《虚构集》(1944) 的收录关系待 Codex
STG-ENT-0004,work,《阿莱夫》,《阿莱夫》（1945 年短篇）,El Aleph,es,阿根廷,1945,n2_review,既有候选 CAND-WORK-0067（SRC-0002）需 Codex 合并；与同名1949年选集的关系待 Codex; 首发年由 SRC-0015 核定为 1945
STG-ENT-0005,author,阿图尔·叔本华,阿图尔·叔本华,Arthur Schopenhauer,de,德国,,n2_review,
STG-ENT-0006,author,弗兰茨·卡夫卡,弗兰茨·卡夫卡,Franz Kafka,de,奥地利,,n2_review,
STG-ENT-0007,author,吉尔伯特·基思·切斯特顿,吉尔伯特·基思·切斯特顿,G. K. Chesterton,en,英国,,n2_review,
STG-ENT-0008,place,阿什格罗夫,阿什格罗夫,Ashgrove,en,英国,,n2_review,
STG-ENT-0009,place,加雷街,加雷街,calle Garay,es,阿根廷,,n2_review,
STG-ENT-0010,movement,极端主义（超主义）,极端主义（超主义）,ultraísmo,es,西班牙/阿根廷,1920s,n2_review,
STG-ENT-0011,collection,《虚构集》,《虚构集》,Ficciones,es,阿根廷,1944,n2_review,与 SRC-0007 交叉行同实体；作品集与篇目（《小径分岔的花园》）层级关系待 Codex Schema 判定
STG-ENT-0012,collection,《阿莱夫》,《阿莱夫》（1949 年作品集）,El Aleph,es,阿根廷,1949,n2_review,与 CAND-WORK-0067 及《阿莱夫》短篇候选的层级关系待 Codex
STG-ENT-0013,theme,时间的分岔与无限（多重未来）,时间的分岔与无限（多重未来）,,es/zh,,,n2_review,属来源直接表述的主题，非已确认文学史结论
STG-ENT-0014,theme,记忆与遗忘,记忆与遗忘,,es/zh,,,n2_review,
STG-ENT-0015,theme,无限与不可言说（阿莱夫）,无限与不可言说（阿莱夫）,,es/zh,,,n2_review,
STG-ENT-0016,author,克拉丽丝·李斯佩克朵,克拉丽丝·李斯佩克朵,Clarice Lispector,pt,巴西,1920-1977,n2_review,生卒年（1920-1977）为通行常识且与该站2020年百年诞辰专刊一致，页面未直接显示，待 Codex 核验
STG-ENT-0017,work,《活水》,《活水》,Água viva,pt,巴西,1973,n2_review,
STG-ENT-0018,work,《星辰时刻》,《星辰时刻》（1977 年小说）,A hora da estrela,pt,巴西,1977,n2_review,
STG-ENT-0019,collection,《家庭纽带》,《家庭纽带》,Laços de família,pt,巴西,1960,n2_review,
STG-ENT-0020,work,《G.H. 受难》,《G.H. 受难》,A paixão segundo G.H.,pt,巴西,1964,n2_review,
STG-ENT-0021,adaptation,《星辰时刻》,《星辰时刻》（1985 年电影）,A hora da estrela (filme),pt,巴西,1985,n2_review,影视改编，实体类型待 Codex Schema 确认
STG-ENT-0022,place,里约热内卢,里约热内卢,Rio de Janeiro,pt,巴西,,n2_review,
STG-ENT-0023,theme,家庭关系与内心生活,家庭关系与内心生活,,pt/zh,巴西,,n2_review,
STG-ENT-0024,theme,时间、当下瞬间与沉默,时间、当下瞬间与沉默,,pt/zh,,,n2_review,
STG-ENT-0025,theme,社会不平等与书写,社会不平等与书写,,pt/zh,,,n2_review,
STG-ENT-0026,work,《生命的气息》,《生命的气息》,Um sopro de vida,pt,巴西,1978,n2_review,
STG-ENT-0027,theme,升华、沉默与女性写作（精神分析视角）,升华、沉默与女性写作（精神分析视角）,sublimação e feminino,pt/zh,,,n2_review,
STG-ENT-0028,theme,女性人物与21世纪再读,女性人物与21世纪再读,,pt/zh,,,n2_review,
