temporary_id,title,original_title,author_or_editor,translator,publisher,publication_year,isbn,format,page_count,language,source_level,processing_status,source_task,public_content_scope,local_asset_status,persistent_id,canonical_url,access_status,access_date,used_for
CAND-B-SRC-001,"Gabriela Mistral – Facts（诺贝尔奖官网英文页）",Gabriela Mistral - Facts,Nobel Prize Outreach,,NobelPrize.org,持续更新（2026-08-18 访问）,,web_page,,en,B,processed,WEB-CE-B01-R-B,全文公开（生平/作品/获奖理由/获奖信息）,not_downloaded,,https://www.nobelprize.org/prizes/literature/1945/mistral/facts/,access_pass,2026-08-18,"作者身份与生平（本名/出生/逝世/教育/领事）、award、作品年份与内容简介、出生地比库尼亚、运动归属来源1、南美洲首位获奖者表述"
CAND-B-SRC-002,"Gabriela Mistral – Facts（诺贝尔奖官网中文页）",Gabriela Mistral - Facts,Nobel Prize Outreach,,NobelPrize.org,持续更新（2026-08-18 访问）,,web_page,,zh,B,processed,WEB-CE-B01-R-B,全文公开,not_downloaded,,https://www.nobelprize.org/prizes/literature/1945/mistral/facts/?lang=zh,access_pass,2026-08-18,"获奖理由中文引文、南美洲首位获奖者表述（与 SRC-001 同源，作中文佐证，不单独计数独立来源）"
CAND-B-SRC-003,"Gabriela Mistral – Bibliography（诺贝尔奖官网书目页）",Gabriela Mistral - Bibliography,Nobel Prize Outreach,,NobelPrize.org,持续更新（2026-08-18 访问）,,web_page,,en,B,processed,WEB-CE-B01-R-B,全文公开,not_downloaded,,https://www.nobelprize.org/prizes/literature/1945/mistral/bibliography/,access_pass,2026-08-18,"三部诗集首版书目：Desolación（New York: Instituto de las Españas, 1922）、Ternura（Madrid: Saturnino Calleja, 1924）、Tala（Buenos Aires: Sur, 1938）"
CAND-B-SRC-004,"Britannica: Gabriela Mistral（传记条目）",Gabriela Mistral,Encyclopaedia Britannica,,Encyclopaedia Britannica,持续修订,,web_page,,en,B,blocked,WEB-CE-B01-R-B,,not_downloaded,,https://www.britannica.com/biography/Gabriela-Mistral,access_blocked,2026-08-18,"计划作运动归属第二来源及《绝望集》释义来源；Cloudflare 人机验证拦截，未获内容"
CAND-B-SRC-005,"Memoria Chilena：Gabriela Mistral（智利国家图书馆）",Gabriela Mistral 1889-1957,,,Biblioteca Nacional de Chile,,,web_page,,es,B,blocked,WEB-CE-B01-R-B,,not_downloaded,,https://www.memoriachilena.gob.cl/602/w3-article-3308.html,access_blocked,2026-08-18,"计划作智利官方第二来源；URL 命中后重定向至无关条目（Arturo Prat），未获米斯特拉尔内容"
CAND-B-SRC-006,"UGR 学位论文：Literatura Hispanoamericana Contemporánea（格拉纳达大学库）","Literatura Hispanoamericana Contemporánea",Universidad de Granada,,Universidad de Granada (digibug),,,pdf,,es,A,blocked,WEB-CE-B01-R-B,,not_downloaded,,https://digibug.ugr.es/bitstream/handle/10481/103955/Literatura%20Hispanoamericana%20Contempor%C3%A1nea.pdf?sequence=1,access_blocked,2026-08-18,"运动归属第二来源线索（搜索片段称 Mistral 为 posmodernista）；下载两次均超时，未打开核验"
CAND-B-SRC-007,"CORE 学术文档：Desolación 现代主义渊源（意大利文）",,,,CORE (core.ac.uk),,,pdf,,it,A,blocked,WEB-CE-B01-R-B,,not_downloaded,,https://core.ac.uk/download/pdf/147334260.pdf,access_blocked,2026-08-18,"运动归属第二来源线索（搜索片段：Desolación 早期诗作具 modernista 渊源）；下载 0 字节，未打开核验"
CAND-B-SRC-008,"豆瓣《柔情》书目条目",柔情,,,Douban（社区书目）,（待核验）,,web_page,,zh,D,pending,WEB-CE-B01-R-B,页面未打开（禁新抓取）,,,https://book.douban.com/subject/33437469/,access_blocked,2026-08-18,"中译核验线索：漓江版《柔情》（出版社/译者/ISBN 待核验）"
CAND-B-SRC-009,"河北省图书馆 ILAS《柔情》书目记录",柔情,"(智)加布列拉·米斯特拉尔",赵振江,（待核验——线索为河北图书馆馆藏）,（待核验）,,web_page,,zh,C,pending,WEB-CE-B01-R-B,页面未打开（禁新抓取）,,,http://ilas.helib.net/NTRdrBookRetrInfo.aspx?BookRecno=809375697,access_blocked,2026-08-18,"中译核验线索：作者著者名与译者赵振江（搜索条目页标题）；出版社/ISBN/收录范围待核验"
CAND-B-SRC-010,"广州图书馆《柔情》书目记录",柔情,,,广州图书馆,,,web_page,,zh,C,pending,WEB-CE-B01-R-B,页面未打开（禁新抓取）,,,https://weixin1.gzlib.org.cn/opac/book/3003817832,access_blocked,2026-08-18,"中译核验线索：《柔情》馆藏记录，详情待核验"
CAND-B-SRC-011,"无锡市图书馆书目记录 413084（书名未核验）",,,,无锡市图书馆,,,web_page,,zh,C,pending,WEB-CE-B01-R-B,页面未打开（禁新抓取）,,,http://www.wxqtsg.com:8085/opac/book/413084,access_blocked,2026-08-18,"中译核验线索：是否与米斯特拉尔相关未定，待核验"
