gap_id,origin_gap_id,gap_type,gap_key,current_status,evidence_basis,attempts_or_count,owner_decision,downstream_effect,issue_code
V1-GAP-0001,PRE-GAP-0001,relationship_scale,charter_150_vs_current_75,resolved_at_n3_threshold_75,N2 accepted×15 + B01 eligible×24 + B02 eligible×19 + B03 eligible×16 + A03 恢复×1 = 75；主 hold 40；legacy 117 另列,76/75,USER@N3,V1 门槛已满足；150 转为 V1.1 扩展目标,RESOLVED-N3
V1-GAP-0002,PRE-GAP-0002,research_gap,GAP-01,not_found,A05 R1 最终状态；每部恰 2 次尝试，预算不重置,2 attempts,CODEX,随 N3 缺口说明呈现；不新增检索,RESEARCH-GAP
V1-GAP-0003,PRE-GAP-0003,research_gap,GAP-02,partial_support,A05 R1 最终状态；每部恰 2 次尝试，预算不重置,2 attempts,CODEX,随 N3 缺口说明呈现；不新增检索,RESEARCH-GAP
V1-GAP-0004,PRE-GAP-0004,research_gap,GAP-03,not_found,A05 R1 最终状态；每部恰 2 次尝试，预算不重置,2 attempts,CODEX,随 N3 缺口说明呈现；不新增检索,RESEARCH-GAP
V1-GAP-0005,PRE-GAP-0005,research_gap,GAP-04,not_found,A05 R1 最终状态；每部恰 2 次尝试，预算不重置,2 attempts,CODEX,随 N3 缺口说明呈现；不新增检索,RESEARCH-GAP
V1-GAP-0006,PRE-GAP-0006,research_gap,GAP-05,not_found,A05 R1 最终状态；每部恰 2 次尝试，预算不重置,2 attempts,CODEX,随 N3 缺口说明呈现；不新增检索,RESEARCH-GAP
V1-GAP-0007,PRE-GAP-0007,research_gap,GAP-06,not_found,A05 R1 最终状态；每部恰 2 次尝试，预算不重置,2 attempts,CODEX,随 N3 缺口说明呈现；不新增检索,RESEARCH-GAP
V1-GAP-0008,PRE-GAP-0008,research_gap,GAP-07,verified,A05 R1 最终状态；每部恰 2 次尝试，预算不重置,2 attempts,CODEX,随 N3 缺口说明呈现；不新增检索,NONE
V1-GAP-0009,PRE-GAP-0009,bibliographic_hold,los_pasos_perdidos_1953,hold,两次权威目录尝试均 not_verified（BnF 检索页无记录文本、CU Boulder 403）；聚合搜索不构成交叉,2 attempts,CODEX,继续 hold，仅出现在缺口说明；权威书目交叉前不准入,HOLD-YEAR
V1-GAP-0010,PRE-GAP-0010,political_poetry,political_poetry_3_1_1,resolved_keep_3_1_1_layering,A03 POLITICAL_POETRY_DECISIONS：漫歌/马丘比丘高地×2 hold；聂鲁达作者级×1 不下推；大地上的居所 gap×1,3/1/1,USER@N3,维持 hold×3、作者级×1、gap×1 的展示边界,RESOLVED-N3
V1-GAP-0011,PRE-GAP-0011,event_compatibility,based_on_event_work_event,resolved_implemented_schema_0_3,V1-S4-A03-PROP-001：端点 work→event；直接证据 1（SRC-0046 ficcionaliza）+ 间接 2（SRC-0063），独立来源 2；加法兼容升级,1+2 evidence,USER@N3,生成 V1-REL-0076；端点严格为 work→event,RESOLVED-N3
V1-GAP-0012,PRE-GAP-0012,event_compatibility,author_event_x4,resolved_keep_explanatory_only,A05 审计 LROW-0067/0112/0113/0114：略萨诺贝尔2010、马尔克斯/帕斯/略萨与古巴革命；无冻结词可表达 author→event,4 rows,USER@N3,不新增 author→event 关系词，不进入正式关系表,RESOLVED-N3
V1-GAP-0013,PRE-GAP-0013,coverage,coverage_dimensions,partial,A04 COVERAGE_AUDIT：主题作品级可审核仅 2/10、时代单一（20 世纪）、体裁偏重长篇（18/30）,3 dimensions,CODEX,N3 策展说明如实呈现,PARTIAL
V1-GAP-0014,PRE-GAP-0014,bibliographic_dispute,V1-ENT-0201.first_publication_year,open_research,SRC-0153 explicitly states 1941; SRC-0154 canonical chronology lists 1940.,1,SOL_REVIEW,保留候选年份1940，但前端和公开文案不得称为无争议年份。,DISPUTED-YEAR
V1-GAP-0015,PRE-GAP-0015,bibliographic_dispute,V1-ENT-0226.first_publication_year,open_research,SRC-0178 labels the original edition 1918 and notes July 1919 printing; the source conflict is retained.,1,SOL_REVIEW,Keep 1918/1919 conflict visible in public copy; do not present one uncontested year.,DISPUTED-YEAR
V1-GAP-0016,PRE-GAP-0016,bibliographic_dispute,V1-ENT-0265.first_publication_year,open_research,SRC-0206 reports 1992 while SRC-0207 reports 1991 for Tinísima; retain conflict.,1,SOL_REVIEW,Keep 1991/1992 conflict visible; do not present one uncontested year.,DISPUTED-YEAR
V1-GAP-0017,B12-GAP-01-0300,research_gap,V1-ENT-0300.first_publication_year,open_research,SRC-0231 and SRC-0233 establish title and story-collection form but not original first publication year.,1,SOL_REVIEW,Do not display an uncontested first-publication year; retain work and form in review package.,RESEARCH-GAP
V1-GAP-0018,B12-GAP-01-0301,research_gap,V1-ENT-0301.first_publication_year,open_research,SRC-0231 and SRC-0232 establish title and story-collection form but not original first publication year.,1,SOL_REVIEW,Do not display an uncontested first-publication year; retain work and form in review package.,RESEARCH-GAP
V1-GAP-0019,B12-GAP-01-0304,research_gap,V1-ENT-0304.first_publication_year,open_research,SRC-0235 and SRC-0237 establish an earlier story collection and form but not original first publication year.,1,SOL_REVIEW,Do not display an uncontested first-publication year; retain work and form in review package.,RESEARCH-GAP
V1-GAP-0020,B12-GAP-02-0303,research_gap,V1-ENT-0303.first_publication_year,open_research,"SRC-0236 establishes novel form and the 2019 Herralde award, not first publication year.",1,SOL_REVIEW,Keep 2019 as award year only; do not display it as an uncontested first-publication year.,RESEARCH-GAP
V1-GAP-0021,B12-GAP-03-0299,bibliographic_hold,V1-ENT-0299.first_publication_year,open_research,SRC-0231 marks ©2014 and SRC-0234 identifies the first-novel form; neither source states first publication.,1,SOL_REVIEW,Keep copyright year separate and do not display an uncontested first-publication year.,HOLD-YEAR
V1-GAP-0022,B15-GAP-01-0340,bibliographic_dispute,V1-ENT-0340.first_publication_year,open_research,SRC-0256 and SRC-0257 use 1986 for Glosa; an unlocated teaching-material lead mentions 1985 but is not a citable source. Current 1986 fact is provisional pending edition-level reconciliation.,1,SOL_REVIEW,Keep 1986 medium and label 1985 only as an unverified discovery lead; do not claim an uncontested year in public prose.,DISPUTED-YEAR
V1-GAP-0023,B16-GAP-01-0347,bibliographic_dispute,V1-ENT-0347.first_publication_year,verified,SRC-0261/BNE and Memoria Chilena identify a Madrid Júcar 1989 edition; SRC-0262 identifies a later 1993 Tusquets edition. The records describe distinct editions and do not conflict.,2,CODEX-SOL-AUDIT,Use first_book_edition_year=1989; retain 1993 only as later-edition context.,NONE
V1-GAP-0024,B17-GAP-01-0358,disputed_fact,V1-ENT-0358.birth_year,verified,"SRC-0277 reports the São Paulo civil-registry birth record dated 19 April 1918; SRC-0272 Biblioteca Nacional independently records 1918–2022. SRC-0270 preserves the older 1923 ABL profile as historical discrepancy, not an equal unresolved candidate.",2,CODEX-SOL-AUDIT,Use birth_year=1918 at high confidence; remove public dispute markers while retaining the older ABL record in provenance.,NONE
