temporary_id,origin_material_id,subject_id,fact_field,value_text,material_class,origin_id,confidence,admission_status,usage_note
CAND-D-FCT-01,CAND-D-SRC-03,CAND-D-ENT-01,first_publication_year,1985,fact,,high,candidate_for_staging_review,BnF 目录 1985 西语版记录（El Amor en los tiempos del cólera，ISBN 8402106408）
CAND-D-FCT-02,CAND-D-SRC-03,CAND-D-ENT-01,genre_or_form,长篇小说,fact,,medium,candidate_for_staging_review,BnF 法译各版题名标 ': roman'（L'Amour aux temps du choléra : roman）
CAND-D-FCT-03,CAND-D-SRC-03,CAND-D-ENT-01,bibliographic_note,"BnF 目录收录 El Amor en los tiempos del cólera 1985 年西语版（ark:/12148/cb34923644w，ISBN 8402106408），作者归名 García Márquez, Gabriel (1927-2014)",bibliographic_note,,medium,candidate_for_staging_review,仅证目录存在与归名及出版年
CAND-D-FCT-04,,CAND-D-ENT-01,story_premise,待核（通行描述：弗洛伦蒂诺·阿里萨与费尔米娜·达萨横跨半个多世纪的爱情）,gap_note,,low,gap,通行说法本轮无已核验来源，不得直接采用；待原作或合格来源释义
CAND-D-FCT-05,,CAND-D-ENT-01,setting_place,待核（通行：加勒比海港口城市，常与卡塔赫纳关联）,gap_note,,low,gap,无直接场景证据；SET_IN 关系未提（见 RELATION 行 CAND-D-REL-13）
CAND-D-FCT-06,,CAND-D-ENT-01,key_character,待核（通行：弗洛伦蒂诺·阿里萨、费尔米娜·达萨、乌尔比诺医生）,gap_note,,low,gap,待核
CAND-D-FCT-07,CAND-D-SRC-04,CAND-D-ENT-02,first_publication_year,1975,fact,,high,candidate_for_staging_review,BnF 目录 1975 年西语版记录（El Otoño del patriarca，ISBN 8401301556）
CAND-D-FCT-08,CAND-D-SRC-04,CAND-D-ENT-02,genre_or_form,长篇小说,fact,,medium,candidate_for_staging_review,BnF 法译各版题名标 ': roman'（L'automne du patriarche : roman）
CAND-D-FCT-09,CAND-D-SRC-04,CAND-D-ENT-02,bibliographic_note,"BnF 目录收录 El Otoño del patriarca 1975 年西语版（ark:/12148/cb352227127，ISBN 8401301556），作者归名 García Márquez, Gabriel (1927-2014)",bibliographic_note,,medium,candidate_for_staging_review,仅证目录存在与归名及出版年
CAND-D-FCT-10,,CAND-D-ENT-02,story_premise,待核（通行描述：拉美独裁者「族长」之死与其漫长独裁统治的回溯）,gap_note,,low,gap,通行说法无已核验来源
CAND-D-FCT-11,,CAND-D-ENT-02,setting_place,待核（通行：加勒比某无名国家，非写实地点）,gap_note,,low,gap,无直接证据
CAND-D-FCT-12,,CAND-D-ENT-02,key_character,待核（通行：族长/独裁者，无名字的主人公）,gap_note,,low,gap,待核
CAND-D-FCT-13,CAND-D-SRC-06,CAND-D-ENT-03,first_publication_year,1966,fact,,medium,candidate_for_staging_review,BnF 西语版记录显示 4e éd. 1967、6a ed. 1968、15a ed. 1976，据此推断初版 1966（间接证据；待第二来源确认后定 high）
CAND-D-FCT-14,,CAND-D-ENT-03,genre_or_form,长篇小说,gap_note,,low,gap,BnF 记录未见形式标注；通行类型为长篇小说，本轮无直接来源
CAND-D-FCT-15,CAND-D-SRC-06,CAND-D-ENT-03,bibliographic_note,"BnF 目录收录 La casa verde 西语多版（4e éd.1967 / 6a ed.1968 / 15a ed.1976 / 2023；ISBN 8432218728），作者归名 Vargas Llosa, Mario",bibliographic_note,,medium,candidate_for_staging_review,仅证目录存在与归名及版本史
CAND-D-FCT-16,,CAND-D-ENT-03,story_premise,待核（通行描述：秘鲁皮乌拉与亚马逊丛林两地交错，以妓院「绿房子」为中心）,gap_note,,low,gap,通行说法无已核验来源
CAND-D-FCT-17,,CAND-D-ENT-03,setting_place,待核（通行：秘鲁皮乌拉及亚马逊丛林地区）,gap_note,,low,gap,无直接证据；SET_IN 关系未提（见 RELATION 行 CAND-D-REL-14）
CAND-D-FCT-18,,CAND-D-ENT-03,key_character,待核,gap_note,,low,gap,待核
CAND-D-FCT-19,CAND-D-SRC-07,CAND-D-ENT-04,first_publication_year,1973,fact,,high,candidate_for_staging_review,BnF 目录记录原文：'Publication : Barcelona : Seix Barral，1973'
