priority,category,sub_category,finding,current_evidence,literary_significance,user_impact,recommended_action,route,blocking,notes
P0,Reader Content,Review queue recovery,1723 user_review records remain non-public,Public pages remain sparse despite existing drafts,Highest direct user impact,high,Execute staged review queue recovery,WCD-06A,WCD-05 first,Do not bulk approve mechanically
P0,Reader Content,Bibliographic-copy rewrite,9 authors + 36 works confirmed in old semantic set; current text unchanged,Public text can misrepresent bibliography as introduction,High trust and readability impact,high,Semantic rewrite with provenance,WCD-06B,WCD-05 first,Per-row routing in description CSV
P0,Relationship,Character schema/network,10 character entities; 10 zero-degree,Character entities are unusable in reader exploration,Core network type absent,high,Schema proposal then evidence-backed relations,WCD-05,yes,No schema extension in WCD-04
P0,Major Works,Canonical omissions,6 P0 candidates; exact-title DB matches 0,Core author pages remain visibly incomplete,High literary significance,high,Full Research-Review-Migration workflow,WCD-07A,WCD-06,Research candidates only
P1,Relationship,Movement/theme/hold remediation,0 movement relations; 2 theme relations; 51 holds,Network semantics remain structurally narrow,High explanatory value,high,Second-source review and necessity triage,WCD-05,no,No hold release in WCD-04
P1,Relationship,Zero and weak degree entity triage,61 zero-degree; 225 weak-degree,Many entities cannot support navigation,Value varies by entity type,high,Accept / legitimate-isolated / defer matrix,WCD-05,no,Do not densify automatically
P1,Reader Content,Core zero-content works,26 missing and 23 research-insufficient author/work/collection/place rows,Important Research pages can look empty,High for core works,high,Prioritize high-value rows; research handoff where needed,WCD-06C/06E,WCD-05,Detailed routing CSV controls
P1,Major Works,High-impact omissions,49 P1 candidates; exact-title DB matches 0,Important dimensions of core authors remain absent,High but below canonical omissions,high,Full Research workflow in bounded waves,WCD-07B,WCD-06,Research candidates only
P1,Data Governance,Collection/work hierarchy,"Aleph, Macchu Picchu, Ribeyro, Fire Trilogy, Bolaño boundaries",Duplicate display and modeling ambiguity,Prevents clean expansion,high,Resolve hierarchy before relevant WCD-07 migration,WCD-07_GOVERNANCE,yes,No migration in WCD-04
P2,Geography,Colombia/Central America/tradition gaps,Existing author set remains thin beyond a few anchors,Map can imply narrower literary history,Meaningful but not quota-driven,medium,Future author candidate research,FUTURE_AUTHOR_COVERAGE,WCD-07 not author expansion,No Batch 18
P2,Period,19th century and post-Boom generation continuity,1700-1870 work gap; 1950-60 birth cohorts thin,Long historical discontinuities,Literarily meaningful after targeted research,medium,Future coverage candidate,FUTURE_AUTHOR_COVERAGE,defer execution,Histogram is not an inclusion rule
P2,Genre,Drama and hybrid nonfiction,Drama nearly absent; testimonio/chronicle/essay thin,Current map overrepresents fiction,Drama strongest; others selective,medium,Future coverage candidate,FUTURE_AUTHOR_COVERAGE,defer execution,Do not optimize genre counts
P2,Gender/Tradition,Women poets and national traditions,Women 14/61; poetry traditions missing in several regions,Some major lineages remain invisible,"Literary tradition, not ratio",medium,Future coverage candidate,FUTURE_AUTHOR_COVERAGE,defer execution,No gender KPI
DEFER,Deployment,dist rebuild,Release bundle may trail current internal Web Data,No current development blocker,Only relevant after release gate reopens,low,Rebuild through full release chain,PUBLIC_RELEASE_GATE,USER reopens release,Public Release remains paused
RESOLVED,Place,WCD-02 cities and Hopscotch,"Buenos Aires, Montevideo, Havana, Paris and Hopscotch dual-city relations now accepted",Old top place gaps no longer current backlog,Resolved,low,No action,NO_ACTION,,Keep out of active matrix
RESOLVED,Name,WCD-03 display names,371-entity name matrix and accepted replacements completed,Old translation-name notes superseded,Resolved,low,Use WCD-03 matrix,NO_ACTION,,Do not reopen here
