candidate_source_key,title,author_or_editor,publisher,publication_year,format,language,source_level,canonical_url,persistent_id,duplicate_result,access_result,support_scope
WCD05-SRC-01,CVC. Borges 100 años. Obras. 1921,Centro Virtual Cervantes,Centro Virtual Cervantes,1999,institutional_exhibition_page,es,B,https://cvc.cervantes.es/actcult/borges/obras/1921b.htm,,NEW,verified_full_text,documented 1921 ultraismo participation
WCD05-SRC-02,De Borges a Schopenhauer,Iván Almeida,Variaciones Borges 17 / Borges Center University of Pittsburgh,2004,journal_article,es,A,https://www.borges.pitt.edu/sites/default/files/1706.pdf,,NEW,verified_pdf,systematic study of Borges and Schopenhauer
WCD05-SRC-03,Borges y Kafka,Carlos García,Fragmentos 28/29 / Universidade Federal de Santa Catarina,2005,journal_article,es,A,https://periodicos.ufsc.br/index.php/fragmentos/article/viewFile/8119/7489,,NEW,verified_pdf,seven-decade engagement with Kafka and its creative importance
WCD05-SRC-04,Jorge Luis Borges y G. K. Chesterton,Gillian Gayton,Actas del Sexto Congreso de la Asociación Internacional de Hispanistas,1980,conference_proceedings_article,es,A,https://www.cervantesvirtual.com/research/jorge-luis-borges-y-g-k-chesterton/6f7ff248-27c8-4f78-ba23-583d375a33a1.pdf,,NEW,verified_external_full_text,explicit and demonstrated Chesterton influence
WCD05-SRC-05,Alejo Carpentier: teoría y práctica de lo real maravilloso,Edmundo Paz Soldán,Anales de Literatura Hispanoamericana 37 / Universidad Complutense de Madrid,2008,journal_article,es,A,https://revistas.ucm.es/index.php/ALHI/es/article/view/ALHI0808110035A,,NEW,verified_abstract_and_record,Carpentier's formulation of lo real maravilloso
WCD05-SRC-06,La semana de Rayuela (Julio Cortázar),Antonio Chumbile,Casa de la Literatura Peruana,2020,institutional_critical_page,es,B,https://www.casadelaliteratura.gob.pe/libro-la-semana-rayuela-julio-cortazar/,,NEW,verified_full_text,active reader and combinable chapter structure
WCD05-SRC-07,Alejo Carpentier autor transcultural. El caso de El reino de este mundo,Isabel Araújo Branco,Revista de Filología Románica 30(1) / Universidad Complutense de Madrid,2013,journal_article,es,A,https://doi.org/10.5209/rev_RFRM.2013.v30.n1.42604,10.5209/rev_RFRM.2013.v30.n1.42604,DUPLICATE_SRC-0041,verified_full_text,do not formalize; existing source identity reused
WCD05-SRC-08,Introducción a la poesía de Pablo Neruda,Luis Monguió,Universidad de Chile,1963,university_critical_archive,es,B,https://www.neruda.uchile.cl/critica/monguio.html,,NEW,verified_full_text,early poetry's modernist inheritance
WCD05-SRC-09,Realismo decimonónico y novela sentimental como modos narrativos en El amor en los tiempos del cólera de Gabriel García Márquez,Nini Johana Rivera Pulido,Universidad Nacional de Colombia,2018,masters_thesis,es,A,https://bffrepositorio.unal.edu.co/server/api/core/bitstreams/69020378-2940-4ae3-affd-d13b58363ebf/content,,NEW,verified_pdf_http_200,"Setting: Chapter 2 §2 pp. 50–51; contrary movement analysis: Chapter 1 §3 p. 28, Chapter 2 pp. 41–42, Conclusions p. 91"
WCD05-SRC-09A,Octavio Paz – Biographical,Nobel Prize Outreach,NobelPrize.org,,institutional_biography,en,B,https://www.nobelprize.org/prizes/literature/1990/paz/biographical/,,NEW,verified_external_full_text,current biographical record documents activity with Breton and Peret
WCD05-SRC-09B,El amor en los tiempos del cólera,José María Viña Liste,Biblioteca Virtual Miguel de Cervantes,,critical_reference_entry,es,B,https://www.cervantesvirtual.com/research/el-amor-en-los-tiempos-del-colera/8bf98aa3-e41e-417e-a3a2-1d2124f7fea3.pdf,,NEW,verified_search_indexed_pdf,explicitly identifies an unnamed Caribbean city as the Colombian spatial setting
WCD05-SRC-10,La casa verde,Instituto Nacional para Ciegos de Colombia,INCI Biblioteca Virtual,2004,institutional_library_record,es,B,https://biblioteca.inci.gov.co/handle/inci/20947,,NEW,verified_full_record,directly states Piura and Santa Maria de Nieva Amazon settings
