hold_id,external_recommendation,current_main_status,wcd05_route,note
V1-HOLD-0001,READY_FOR_REVIEW,STILL_VALID,CS03_REVIEW,current hold unchanged; source identity verified
V1-HOLD-0002,KEEP_HOLD,STILL_VALID,KEEP_HOLD,no second independent work-specific source
V1-HOLD-0003,KEEP_HOLD,STILL_VALID,KEEP_HOLD,no second independent work-specific source
V1-HOLD-0004,KEEP_HOLD,STILL_VALID,KEEP_HOLD,no second independent work-specific source
V1-HOLD-0005,KEEP_HOLD,STILL_VALID,KEEP_HOLD,compound theme remains under-supported
V1-HOLD-0006,KEEP_HOLD,STILL_VALID,KEEP_HOLD,no second independent work-specific source
V1-HOLD-0007,KEEP_HOLD,STILL_VALID,KEEP_HOLD,reception claim remains single-source
V1-HOLD-0008,READY_FOR_REVIEW,STILL_VALID,CS02_REVIEW,current hold unchanged; specialist article verified
V1-HOLD-0009,READY_FOR_REVIEW,STILL_VALID,CS02_REVIEW,current hold unchanged; specialist article verified
V1-HOLD-0010,READY_FOR_REVIEW,STILL_VALID,CS02_REVIEW,current hold unchanged; specialist article verified
V1-HOLD-0011,KEEP_HOLD,STILL_VALID,KEEP_HOLD,compound interpretive theme remains under-supported
V1-HOLD-0012,KEEP_HOLD,STILL_VALID,KEEP_HOLD,event subject matter does not prove movement association
V1-HOLD-0013,KEEP_HOLD,STILL_VALID,KEEP_HOLD,no second independent source
V1-HOLD-0014,KEEP_HOLD,STILL_VALID,KEEP_HOLD,no second independent source
V1-HOLD-0015,KEEP_HOLD,STILL_VALID,KEEP_HOLD,compound theme remains under-supported
V1-HOLD-0016,KEEP_HOLD,STILL_VALID,KEEP_HOLD,no second independent source
V1-HOLD-0017,KEEP_HOLD,STILL_VALID,KEEP_HOLD,no second independent source
V1-HOLD-0018,KEEP_HOLD,STILL_VALID,KEEP_HOLD,no second independent source
V1-HOLD-0019,READY_FOR_REVIEW,STILL_VALID,CS03_REVIEW,new candidate is duplicate of SRC-0056 and will be reused
V1-HOLD-0020,READY_FOR_REVIEW,STILL_VALID,CS03_REVIEW,distinct independently authored journal articles
V1-HOLD-0021,KEEP_HOLD,STILL_VALID,KEEP_HOLD,source not verified and semantic scope unresolved
V1-HOLD-0022,KEEP_HOLD,STILL_VALID,KEEP_HOLD,no second independent source
V1-HOLD-0023,KEEP_HOLD,STILL_VALID,KEEP_HOLD,candidate access and semantic threshold unresolved
V1-HOLD-0024,KEEP_HOLD,STILL_VALID,KEEP_HOLD,no second independent source
V1-HOLD-0025,READY_FOR_REVIEW,STILL_VALID,CS03_REVIEW,institutional page directly discusses active reader and structure
V1-HOLD-0026,KEEP_HOLD,STILL_VALID,KEEP_HOLD,no second independent source
V1-HOLD-0027,KEEP_HOLD,STILL_VALID,KEEP_HOLD,no second independent source
V1-HOLD-0028,KEEP_HOLD,STILL_VALID,KEEP_HOLD,no second independent source
V1-HOLD-0029,READY_FOR_REVIEW,STILL_VALID,CS03_REVIEW,existing work-specific article plus an independent article on the work's American expression
V1-HOLD-0030,KEEP_HOLD,STILL_VALID,KEEP_HOLD,no second independent source
V1-HOLD-0031,KEEP_HOLD,STILL_VALID,KEEP_HOLD,no second independent source
V1-HOLD-0032,KEEP_HOLD,STILL_VALID,KEEP_HOLD,no second independent source
V1-HOLD-0033,KEEP_HOLD,STILL_VALID,KEEP_HOLD,no second independent source
V1-HOLD-0034,KEEP_HOLD,STILL_VALID,KEEP_HOLD,no second independent source
V1-HOLD-0035,READY_FOR_REVIEW,STILL_VALID,CS03_REVIEW,scope limited to Neruda's early poetry
V1-HOLD-0036,READY_FOR_REVIEW,NEEDS_REVIEW,KEEP_HOLD,source supports stylistic resemblance more clearly than stable movement association
V1-HOLD-0037,KEEP_HOLD,STILL_VALID,KEEP_HOLD,no second independent source
V1-HOLD-0038,KEEP_HOLD,STILL_VALID,KEEP_HOLD,no second independent source
V1-HOLD-0039,KEEP_HOLD,STILL_VALID,KEEP_HOLD,no second independent source
V1-HOLD-0040,KEEP_HOLD,STILL_VALID,KEEP_HOLD,external source duplicates SRC-0053 and no new independence gained
V1-HOLD-0041,READY_FOR_REVIEW,CONFLICT,KEEP_HOLD,new source positions Mistral between movements and notes rejection of isms
V1-HOLD-0042,READY_FOR_REVIEW,STILL_VALID,CS03_REVIEW,scope narrowed to documented surrealist avant-garde participation
V1-HOLD-0043,KEEP_HOLD,STILL_VALID,KEEP_HOLD,no second independent source
V1-HOLD-0044,READY_FOR_REVIEW,STILL_VALID,CS01_REVIEW,opened direct UNAL thesis evidence plus existing institutional support
V1-HOLD-0045,READY_FOR_REVIEW,STILL_VALID,CS01_REVIEW,unstable candidate replaced by directly accessible institutional catalogue
V1-HOLD-0046,REJECT_RELATIONSHIP,STILL_VALID,REJECT_REVIEW,opened contrary scholarship distinguishes the novel from magical-realism classification
V1-HOLD-0047,KEEP_HOLD,STILL_VALID,KEEP_HOLD,no second independent source
V1-HOLD-0048,NEEDS_SCHEMA_DECISION,NEEDS_REVIEW,KEEP_HOLD,author-level Boom evidence cannot make a work-level movement edge
V1-HOLD-0049,KEEP_HOLD,STILL_VALID,KEEP_HOLD,movement relation remains under-supported
V1-HOLD-0050,KEEP_HOLD,STILL_VALID,KEEP_HOLD,no second independent source
V1-HOLD-0051,KEEP_HOLD,STILL_VALID,KEEP_HOLD,second candidate access remains blocked; existing evidence retained
