relation_group_id,subject_label,relation_type,object_label,description_zh,evidence_count,source_ids,review_status,confidence,issue_notes
RG-B01-0001,埃莱娜·加罗,CREATED,《未来的回忆》,加罗创作《未来的回忆》,1,B01-SRC-0001,eligible_for_staging_review,high,
RG-B01-0002,埃莱娜·加罗,CREATED,《彩色的一周》,加罗创作短篇集《彩色的一周》,1,B01-SRC-0005,eligible_for_staging_review,high,
RG-B01-0003,埃莱娜·加罗,CREATED,《关于玛丽安娜的证词》,加罗创作《关于玛丽安娜的证词》,1,B01-SRC-0001,eligible_for_staging_review,medium,
RG-B01-0004,罗萨里奥·卡斯特利亚诺斯,CREATED,《巴伦坎南》,卡斯特利亚诺斯创作《巴伦坎南》,1,B01-SRC-0006,eligible_for_staging_review,high,
RG-B01-0005,罗萨里奥·卡斯特利亚诺斯,CREATED,《黑暗的职守》,卡斯特利亚诺斯创作《黑暗的职守》,1,B01-SRC-0006,eligible_for_staging_review,high,
RG-B01-0006,罗萨里奥·卡斯特利亚诺斯,CREATED,《诗歌不是你》,卡斯特利亚诺斯创作诗集《诗歌不是你》,1,B01-SRC-0006,eligible_for_staging_review,high,
RG-B01-0007,胡安·鲁尔福,CREATED,《佩德罗·巴拉莫》,鲁尔福创作《佩德罗·巴拉莫》,1,B01-SRC-0011,eligible_for_staging_review,high,
RG-B01-0008,胡安·鲁尔福,CREATED,《燃烧的原野》,鲁尔福创作短篇集《燃烧的原野》,1,B01-SRC-0011,eligible_for_staging_review,high,
RG-B01-0009,胡安·鲁尔福,CREATED,《金鸡》,鲁尔福创作《金鸡》,1,B01-SRC-0011,eligible_for_staging_review,high,
RG-B01-0010,罗萨里奥·卡斯特利亚诺斯,CREATED,《永恒的女性》,卡斯特利亚诺斯创作剧作《永恒的女性》,1,B01-SRC-0006,eligible_for_staging_review,medium,
RG-B01-0011,埃莱娜·加罗,CREATED,《费利佩·安赫莱斯》,加罗创作剧作《费利佩·安赫莱斯》,1,B01-SRC-0001,eligible_for_staging_review,medium,
