entity_id,old_name,new_name,historical_status,old_name_check,final_decision,notes
V1-ENT-0172,豪尔赫·亚马多,若热·亚马多,provisional_title,no direct formal publication-name evidence found,REPLACE,旧名来自无中文版本书目主张的工作展示名；新名有中国作家网直接用名
V1-ENT-0187,《短暂的生命》,《短暂的一生》,provisional_title,作家出版社 2024 正式版本题名,ALIAS,保留当前《短暂的生命》；《短暂的一生》为麦田出版社另一版本的未来 alias/edition-title candidate
V1-ENT-0190,《夜晚的淫鸟》,《污秽的夜鸟》,provisional_title,no direct formal Chinese edition record found,REPLACE,旧名为工作译名；新名有人民文学版本直接书目
V1-ENT-0195,《阿巴顿，毁灭者》,《毁灭者亚巴顿》,provisional_title,no direct formal Chinese edition record found,REPLACE,旧名为工作译名；新名有政府采购书目直接证据
V1-ENT-0296,萨曼塔·施韦布林,萨曼塔·施维伯林,provisional_title,no direct formal publication-name evidence found,REPLACE,旧名来自无中文版本书目主张的工作展示名；新名由两部正式中文书目一致支持
V1-ENT-0299,《救援距离》,《营救距离》,provisional_title,no direct formal Chinese edition record found,REPLACE,旧名为工作译名；新名有政府采购书目直接证据
V1-ENT-0300,《口中之鸟》,《吃鸟的女孩》,provisional_title,no direct formal Chinese edition record found,REPLACE,旧名为工作译名；新名有高校图书馆书目
V1-ENT-0302,《我们在火中失去的东西》,《火中遗物》,provisional_title,no direct formal Chinese edition record found,REPLACE,旧名为工作译名；新名有机构中文用名与高校图书馆书目
V1-ENT-0303,《我们的夜晚》,《属于我们的夜晚》,provisional_title,no direct formal Chinese edition record found,REPLACE,旧名为工作译名；新名有出版社目录
V1-ENT-0304,《床上吸烟的危险》,《床上抽烟危险》,provisional_title,no separate formal Chinese edition record found,REPLACE,零售页标题出现旧译但同一 ISBN 的正文及高校图书馆书目均指向正式题名《床上抽烟危险》；不构成另一版本
V1-ENT-0306,《树木的私生活》,《树的隐秘生活》,provisional_title,no direct formal Chinese edition record found,REPLACE,旧名为工作译名；新名有中国作家网直接出版用名
V1-ENT-0307,《回家的方式》,《回家的路》,provisional_title,no direct formal Chinese edition record found,REPLACE,旧名为工作译名；新名有中国作家网直接出版用名
