fact_candidate_id,subject_candidate_id,subject_label,fact_field,value_candidate,source_id,source_title,confidence,dispute_status,issue_notes,extracted_by
B02-FCT-0003,B02-ENT-0001,加西亚·马尔克斯,country_or_region,哥伦比亚,B02-SRC-0004,CVC. Actos culturales. Gabriel García Márquez,high,none,CVC：加勒比哥伦比亚村落 Aracataca 出生,EXT-AI-02
B02-FCT-0004,B02-ENT-0001,加西亚·马尔克斯,language,es,B02-SRC-0004,CVC. Actos culturales. Gabriel García Márquez,high,none,西语文学（CVC：“literatura en lengua española”）,EXT-AI-02
B02-FCT-0005,B02-ENT-0001,加西亚·马尔克斯,entity_layer,author,B02-SRC-0004,CVC. Actos culturales. Gabriel García Márquez,high,none,,EXT-AI-02
B02-FCT-0006,B02-ENT-0001,加西亚·马尔克斯,one_sentence_summary,哥伦比亚小说家，1982 年诺贝尔文学奖得主，生于加勒比哥伦比亚阿卡塔卡，其故乡在马孔多名下进入文学,B02-SRC-0004,CVC. Actos culturales. Gabriel García Márquez,high,none,CVC 数字展简介,EXT-AI-02
B02-FCT-0007,B02-ENT-0001,加西亚·马尔克斯,research_note,诺贝尔奖获奖理由：小说与短篇把奇幻与现实结合于丰富想象世界，映照一个大陆的生活与冲突,B02-SRC-0005,The Nobel Prize in Literature 1982,high,none,NobelPrize.org 原文获奖理由,EXT-AI-02
B02-FCT-0008,B02-ENT-0001,加西亚·马尔克斯,award,诺贝尔文学奖（1982）,B02-SRC-0005,The Nobel Prize in Literature 1982,high,none,NobelPrize.org 1982 年文学奖,EXT-AI-02
B02-FCT-0012,B02-ENT-0002,胡利奥·科塔萨尔,language,es,B02-SRC-0006,Esto no es un sueño: los personajes frente al concepto onírico en los primeros cuentos fantásticos de Julio Cortázar,high,none,西语文学,EXT-AI-02
B02-FCT-0013,B02-ENT-0002,胡利奥·科塔萨尔,entity_layer,author,B02-SRC-0006,Esto no es un sueño: los personajes frente al concepto onírico en los primeros cuentos fantásticos de Julio Cortázar,high,none,,EXT-AI-02
B02-FCT-0014,B02-ENT-0002,胡利奥·科塔萨尔,one_sentence_summary,科塔萨尔的叙事自早期小说起即对抗既定文学规范，《跳房子》揭示其对传统小说观念的突破，强调碎片叙事与读者的积极参与,B02-SRC-0007,Cortázar: los relatos fragmentados y la importancia de un lector activo,high,none,R1：仅保留 SRC-0007 明确支持部分；梦境/早期幻想拆至 FCT-0083,EXT-AI-02
B02-FCT-0017,B02-ENT-0003,阿莱霍·卡彭铁尔,country_or_region,古巴,B02-SRC-0011,"Alejo Carpentier, autor transcultural. El caso de ""El reino de este mundo""",high,none,RFRM 首句“El cubano Alejo Carpentier”,EXT-AI-02
B02-FCT-0018,B02-ENT-0003,阿莱霍·卡彭铁尔,language,es,B02-SRC-0011,"Alejo Carpentier, autor transcultural. El caso de ""El reino de este mundo""",high,none,西语文学,EXT-AI-02
B02-FCT-0019,B02-ENT-0003,阿莱霍·卡彭铁尔,entity_layer,author,B02-SRC-0011,"Alejo Carpentier, autor transcultural. El caso de ""El reino de este mundo""",high,none,,EXT-AI-02
B02-FCT-0020,B02-ENT-0003,阿莱霍·卡彭铁尔,one_sentence_summary,古巴跨文化作家，为呈现拉美本质发展出 lo real maravilloso 与 neobarroco 等文学工具,B02-SRC-0011,"Alejo Carpentier, autor transcultural. El caso de ""El reino de este mundo""",high,none,RFRM 论文判断,EXT-AI-02
B02-FCT-0021,B02-ENT-0003,阿莱霍·卡彭铁尔,research_note,RFRM 论文视卡彭铁尔为“处于文化之间”的跨文化作者，Mackandal 人物体现神奇现实,B02-SRC-0011,"Alejo Carpentier, autor transcultural. El caso de ""El reino de este mundo""",high,none,Araújo Branco 2013,EXT-AI-02
B02-FCT-0022,B02-ENT-0004,《百年孤独》,entity_layer,work,B02-SRC-0001,Gabriel García Márquez y la ética en Cien años de soledad – I,high,none,,EXT-AI-02
B02-FCT-0024,B02-ENT-0004,《百年孤独》,genre_or_form,长篇小说,B02-SRC-0001,Gabriel García Márquez y la ética en Cien años de soledad – I,high,none,Javeriana：“la novela Cien años de soledad”,EXT-AI-02
B02-FCT-0025,B02-ENT-0004,《百年孤独》,one_sentence_summary,Javeriana 论文认为作品伦理源自圣经神话并构成统一工具，借结构、人物与主题照见人性境况,B02-SRC-0001,Gabriel García Márquez y la ética en Cien años de soledad – I,high,none,R1：删除无来源支持的“马孔多兴衰/家族史诗”表述,EXT-AI-02
B02-FCT-0027,B02-ENT-0005,《没有人给他写信的上校》,entity_layer,work,B02-SRC-0002,Miseria y violencia en El Coronel no tiene quien le escriba,high,none,,EXT-AI-02
B02-FCT-0029,B02-ENT-0005,《没有人给他写信的上校》,genre_or_form,中篇小说,B02-SRC-0002,Miseria y violencia en El Coronel no tiene quien le escriba,high,none,Encuentro：“la célebre novela”,EXT-AI-02
B02-FCT-0030,B02-ENT-0005,《没有人给他写信的上校》,one_sentence_summary,上校等待来信的漫长岁月：儿子死于革命活动、家宅抵押、以斗鸡为生，最终拒绝卖鸡并等待斗鸡之日,B02-SRC-0002,Miseria y violencia en El Coronel no tiene quien le escriba,high,none,Encuentro 摘要,EXT-AI-02
B02-FCT-0031,B02-ENT-0005,《没有人给他写信的上校》,key_character,上校;奥古斯丁,B02-SRC-0002,Miseria y violencia en El Coronel no tiene quien le escriba,high,none,,EXT-AI-02
B02-FCT-0032,B02-ENT-0006,《一桩事先张扬的凶杀案》,entity_layer,work,B02-SRC-0003,Un relato sospechoso: Crónica de una muerte anunciada,high,none,,EXT-AI-02
B02-FCT-0033,B02-ENT-0006,《一桩事先张扬的凶杀案》,first_publication_year,1981,B02-SRC-0003,Un relato sospechoso: Crónica de una muerte anunciada,high,none,Atenea 论文首页标注 (1981),EXT-AI-02
