source_id,title,author_or_org,url,accessed_at,access_status,language,proposed_level,coverage_works,source_type,notes
B01-SRC-0001,Elena Garro - Detalle del autor,Enciclopedia de la Literatura en México (FLM),http://www.elem.mx/autor/datos/421,2026-08-10,ok,es,B,Los recuerdos del porvenir;La semana de colores;Testimonios sobre Mariana,institutional_web,作者词条：生平、作品与奖项；Testimonios sobre Mariana (1981) 与 Premio Grijalbo 的书目依据
B01-SRC-0002,Elena Garro: el discurso social en Los recuerdos del porvenir,Literatura Mexicana (UNAM-IIFL),https://revistas-filologicas.unam.mx/literatura-mexicana/index.php/lm/article/view/155,2026-08-10,ok,es,A,Los recuerdos del porvenir,journal_article,"1992, vol.3 n.2；DOI 10.19130/iifl.litmex.3.2.1992.155；专论小说社会话语"
B01-SRC-0003,El fondo de la memoria: Los recuerdos del porvenir de Elena Garro,Revista Chilena de Literatura (Universidad de Chile),https://revistaliteratura.uchile.cl/index.php/RCL/article/view/67134,2026-08-10,ok,es,A,Los recuerdos del porvenir,journal_article,"2022, n.105, pp.369-394；Junco & Calabrese；记忆/anámnesis 与历史真相"
B01-SRC-0004,Los recuerdos del porvenir - Detalle de la obra,Enciclopedia de la Literatura en México (FLM),http://www.elem.mx/obra/datos/3408,2026-08-10,ok,es,B,Los recuerdos del porvenir,institutional_web,作品页：Joaquín Mortiz 1963 等版本；1963 Villaurrutia 奖；1968 Ripstein 电影改编；Ixtepec 叙述者
B01-SRC-0005,La semana de colores: cuentos - Detalle de la obra,Enciclopedia de la Literatura en México (FLM),http://www.elem.mx/obra/datos/849,2026-08-10,ok,es,B,La semana de colores,institutional_web,作品页：Universidad Veracruzana 1964 等版本；收录 La culpa es de los tlaxcaltecas
B01-SRC-0006,Rosario Castellanos - Detalle del autor,Enciclopedia de la Literatura en México (FLM),http://www.elem.mx/autor/datos/211,2026-08-10,ok,es,B,Balún Canán;Oficio de tinieblas;Poesía no eres tú,institutional_web,作者词条：生平、作品与奖项
B01-SRC-0007,Balún-Canán (FCE 产品页),Fondo de Cultura Económica,https://www.fondodeculturaeconomica.com/Ficha/9789681683030/F,2026-08-10,ok,es,B,Balún Canán,publisher_page,Colección Popular；恰帕斯村镇、白人/印第安世界张力
B01-SRC-0008,La palabra sagrada. Violencia y lenguaje en Balún-Canán,Literatura Mexicana (UNAM-IIFL),https://revistas-filologicas.unam.mx/literatura-mexicana/index.php/lm/article/view/1158,2026-08-10,ok,es,A,Balún Canán,journal_article,"2019, vol.30 n.1；Mosqueda Rivera；暴力/语言/沉默"
B01-SRC-0009,Poesía no eres tú: obra poética 1948-1971 - Detalle de la obra,Enciclopedia de la Literatura en México (FLM),http://www.elem.mx/obra/datos/72967,2026-08-10,ok,es,B,Poesía no eres tú,institutional_web,作品页：FCE 1972 等版本；收录 1948-1971 诗作
B01-SRC-0010,Oficio de tinieblas - Detalle de la obra,Enciclopedia de la Literatura en México (FLM),http://www.elem.mx/obra/datos/2336,2026-08-10,ok,es,B,Oficio de tinieblas,institutional_web,作品页：Joaquín Mortiz 1962 等版本
B01-SRC-0011,Juan Rulfo - Detalle del autor,Enciclopedia de la Literatura en México (FLM),http://www.elem.mx/autor/datos/970,2026-08-10,ok,es,B,Pedro Páramo;El Llano en llamas;El gallo de oro,institutional_web,作者词条：生平、作品、奖项；El gallo de oro 写于1958、出版1980
B01-SRC-0012,Economía poética de Pedro Páramo: de la Revolución a la Cristiada,Literatura Mexicana (UNAM-IIFL),https://revistas-filologicas.unam.mx/literatura-mexicana/index.php/lm/article/view/658,2026-08-10,ok,es,A,Pedro Páramo,journal_article,"2010, vol.21 n.2；Pellicer（Universidad de Oslo）；70 片段结构与片段 67"
B01-SRC-0013,Pedro Páramo - Detalle de la obra,Enciclopedia de la Literatura en México (FLM),http://www.elem.mx/obra/datos/2838,2026-08-10,ok,es,B,Pedro Páramo,institutional_web,作品页：FCE 1955 等版本；Juan Preciado/Pedro Páramo 双主线；Comala 鬼村
B01-SRC-0014,El Llano en llamas - Detalle de la obra,Enciclopedia de la Literatura en México (FLM),http://www.elem.mx/obra/datos/1921,2026-08-10,ok,es,B,El Llano en llamas,institutional_web,作品页：FCE 1953 等版本
B01-SRC-0015,El gallo de oro - Detalle de la obra,Enciclopedia de la Literatura en México (FLM),http://www.elem.mx/obra/datos/203381,2026-08-10,ok,es,B,El gallo de oro,institutional_web,作品页：Era 1980 等版本
