fact_candidate_id,candidate_id,fact_field,value_text,source_candidate_ids,confidence,admission_proposal,usage_note
WCD07A-F001,WCD07A-W01,entity_layer,work,WCD07A-S01;WCD07A-S02,high,PASS,"single novel; sections are not entities"
WCD07A-F002,WCD07A-W01,first_publication_year,1975,WCD07A-S01;WCD07A-S02,high,PASS,"original publication only"
WCD07A-F003,WCD07A-W01,genre_or_form,长篇小说,WCD07A-S01,high,PASS,"direct institutional classification"
WCD07A-F004,WCD07A-W01,bibliographic_note,"1975年由Joaquín Mortiz与Seix Barral在墨西哥出版。",WCD07A-S01,high,PASS,"edition-specific later dates excluded"
WCD07A-F005,WCD07A-W01,story_premise,"小说以三部结构交织旧世界、新世界与另一个世界的历史文化经验。",WCD07A-S02,medium,PASS,"bounded institutional paraphrase; no theme edge"
WCD07A-F006,WCD07A-W02,entity_layer,work,WCD07A-S04;WCD07A-S05,high,PASS,"single hybrid book, not a container"
WCD07A-F007,WCD07A-W02,first_publication_year,1996,WCD07A-S04;WCD07A-S05,high,PASS,"Era Mexico publication"
WCD07A-F008,WCD07A-W02,genre_or_form,复合型散文,WCD07A-S05,medium,PASS,"review explicitly resists reducing the book to memoir"
WCD07A-F009,WCD07A-W02,bibliographic_note,"Instituto Cervantes书目记录该书由Era于1996年在墨西哥出版。",WCD07A-S04,high,PASS,"does not claim trilogy completion"
WCD07A-F010,WCD07A-W02,story_premise,"作品在文学评论、阅读记忆与自传叙述之间展开。",WCD07A-S05,medium,PASS,"review-supported low-judgment premise"
WCD07A-F011,WCD07A-W03,entity_layer,collection,WCD07A-S07;WCD07A-S08,high,PASS,"posthumous poetry collection"
WCD07A-F012,WCD07A-W03,first_publication_year,1913,WCD07A-S07;WCD07A-S08,high,PASS,"posthumous publication; not 1891"
WCD07A-F013,WCD07A-W03,genre_or_form,诗集,WCD07A-S07;WCD07A-S08,high,PASS,"collection of poems"
WCD07A-F014,WCD07A-W03,bibliographic_note,"诗作写于作者生前，几乎全部约作于1882年，并于1913年身后出版。",WCD07A-S07;WCD07A-S08,high,PASS,"S07 supports circa 1882; both sources support posthumous 1913"
WCD07A-F015,WCD07A-W03,story_premise,"诗集以无韵十一音节诗及强烈跨行、意象构成其形式特征。",WCD07A-S08,medium,PASS,"formal description, not movement edge"
WCD07A-F016,WCD07A-W04,entity_layer,work,WCD07A-S09;WCD07A-S10,high,PASS,"single novel"
WCD07A-F017,WCD07A-W04,first_publication_year,2000,WCD07A-S09;WCD07A-S10,high,PASS,"Madrid Alfaguara"
WCD07A-F018,WCD07A-W04,genre_or_form,长篇小说,WCD07A-S10,high,PASS,"publisher classification"
WCD07A-F019,WCD07A-W04,bibliographic_note,"诺贝尔奖官方书目记录该书2000年由马德里Alfaguara出版。",WCD07A-S09,high,PASS,"direct bibliography"
WCD07A-F020,WCD07A-W04,story_premise,"小说围绕多米尼加共和国特鲁希略独裁统治及其余波展开。",WCD07A-S10,high,PASS,"publisher premise; no event/place edge"
WCD07A-F021,WCD07A-W05,entity_layer,work,WCD07A-S12;WCD07A-S13,high,PASS,"single novel despite diary interleaving"
WCD07A-F022,WCD07A-W05,first_publication_year,1971,WCD07A-S12,high,PASS,"posthumous first edition"
WCD07A-F023,WCD07A-W05,genre_or_form,长篇小说,WCD07A-S12;WCD07A-S13,high,PASS,"national library and publisher"
WCD07A-F024,WCD07A-W05,bibliographic_note,"作品于1971年出版；Editorial Losada将其作为作者的文学遗嘱介绍。",WCD07A-S12;WCD07A-S13,high,PASS,"bounded posthumous identity; no unsupported diary-year claim"
WCD07A-F025,WCD07A-W05,story_premise,"小说叙事与作者的自我书写及钦博特经验相互交错。",WCD07A-S13,medium,DEFER,"current inspected source does not directly support the full structural wording"
WCD07A-F026,WCD07A-W06,entity_layer,work,WCD07A-S14;WCD07A-S15,high,PASS,"single novel"
WCD07A-F027,WCD07A-W06,first_publication_year,1943,WCD07A-S14;WCD07A-S15,high,PASS,"Brazilian National Library and SciELO converge; 1942 dissent audited"
WCD07A-F028,WCD07A-W06,genre_or_form,长篇小说,WCD07A-S14;WCD07A-S15,high,PASS,"direct novel classification"
WCD07A-F029,WCD07A-W06,bibliographic_note,"巴西国家图书馆与SciELO论文均记作品于1943年出版。",WCD07A-S14;WCD07A-S15,high,PASS,"1942 dissent remains changeset/audit context only, not a formal fact"
WCD07A-F030,WCD07A-W06,story_premise,"小说以巴伊亚可可产区的土地争夺与地方上校政治为叙事背景。",WCD07A-S14;WCD07A-S15,high,PASS,"bounded source synthesis; no place/theme edge"
