fact_id,origin_material_id,card_id,subject_id,fact_field,value_text,material_class,origin_id,confidence,admission_status,usage_note
V1-FCT-0001,A04-MAT-0001,V1-CARD-0001,V1-ENT-0002,birth_year,1899,fact,STG-FCT-0001,high,accepted_for_n2,
V1-FCT-0002,A04-MAT-0002,V1-CARD-0001,V1-ENT-0002,death_year,1986,fact,STG-FCT-0002,high,accepted_for_n2,
V1-FCT-0003,A04-MAT-0003,V1-CARD-0001,V1-ENT-0002,country_or_region,阿根廷,fact,STG-FCT-0003,high,accepted_for_n2,
V1-FCT-0004,A04-MAT-0004,V1-CARD-0001,V1-ENT-0002,language,es,fact,STG-FCT-0004,high,accepted_for_n2,
V1-FCT-0005,A04-MAT-0005,V1-CARD-0001,V1-ENT-0002,entity_layer,author,fact,STG-FCT-0005,high,accepted_for_n2,
V1-FCT-0006,A04-MAT-0006,V1-CARD-0001,V1-ENT-0002,one_sentence_summary,诗人、短篇作家、批评家、散文家、教授，被誉为“作家的作家”,fact,STG-FCT-0006,high,accepted_for_n2,
V1-FCT-0007,A04-MAT-0007,V1-CARD-0001,V1-ENT-0002,research_note,1914 年一战爆发后举家迁居瑞士，1919 年赴西班牙居留三年，1921 年回国传播极端主义，30 年代放弃其要旨,research_note,STG-FCT-0007,medium,accepted_for_n2,
V1-FCT-0008,A04-MAT-0008,V1-CARD-0002,V1-ENT-0016,birth_year,1920,fact,STG-FCT-0008,medium,accepted_for_n2,页面未直接显示；依据 2020 年百年诞辰专刊与 Codex 核定（REVIEW 3.4）
V1-FCT-0009,A04-MAT-0009,V1-CARD-0002,V1-ENT-0016,country_or_region,巴西,fact,STG-FCT-0009,high,accepted_for_n2,
V1-FCT-0010,A04-MAT-0010,V1-CARD-0002,V1-ENT-0016,language,pt,fact,STG-FCT-0010,high,accepted_for_n2,
V1-FCT-0011,A04-MAT-0011,V1-CARD-0002,V1-ENT-0016,entity_layer,author,fact,STG-FCT-0011,high,accepted_for_n2,
V1-FCT-0012,A04-MAT-0012,V1-CARD-0002,V1-ENT-0016,one_sentence_summary,《G.H. 受难》(1964) 与《星辰时刻》(1977) 的作者，以《家庭纽带》(1960)、《外国军团》(1964) 奠定短篇声誉,fact,STG-FCT-0012,high,accepted_for_n2,
V1-FCT-0013,A04-MAT-0013,V1-CARD-0003,V1-ENT-0003,entity_layer,work,fact,STG-FCT-0013,high,accepted_for_n2,
V1-FCT-0014,A04-MAT-0014,V1-CARD-0003,V1-ENT-0003,genre_or_form,短篇小说（UNIDAD 8 选文）,fact,STG-FCT-0014,high,accepted_for_n2,
V1-FCT-0015,A04-MAT-0015,V1-CARD-0003,V1-ENT-0003,one_sentence_summary,间谍余准的供述：借杀死汉学家艾伯特将英军炮兵阵地所在城名传回柏林；艾伯特解出崔朋“小说即迷宫”的时间分岔,fact,STG-FCT-0015,high,accepted_for_n2,
V1-FCT-0016,A04-MAT-0016,V1-CARD-0003,V1-ENT-0003,key_character,余准、斯蒂芬·艾伯特、理查德·马登、维克托·鲁内贝格、崔朋,fact,STG-FCT-0016,high,accepted_for_n2,
V1-FCT-0017,A04-MAT-0017,V1-CARD-0003,V1-ENT-0003,key_place,阿什格罗夫、阿尔贝、青岛,fact,STG-FCT-0017,medium,accepted_for_n2,
V1-FCT-0018,A04-MAT-0018,V1-CARD-0004,V1-ENT-0004,entity_layer,work,fact,STG-FCT-0018,high,accepted_for_n2,与 1949 年同名作品集分层（REVIEW 3.3）
V1-FCT-0019,A04-MAT-0019,V1-CARD-0004,V1-ENT-0004,genre_or_form,短篇小说（UNIDAD 8 选文）,fact,STG-FCT-0019,high,accepted_for_n2,
