gap_id,origin_gap_id,gap_type,gap_key,current_status,evidence_basis,attempts_or_count,owner_decision,downstream_effect,issue_code
V1-GAP-0001,PRE-GAP-0001,relationship_scale,charter_150_vs_current_75,resolved_at_n3_threshold_75,N2 accepted×15 + B01 eligible×24 + B02 eligible×19 + B03 eligible×16 + A03 恢复×1 = 75；主 hold 40；legacy 117 另列,76/75,USER@N3,V1 门槛已满足；150 转为 V1.1 扩展目标,RESOLVED-N3
V1-GAP-0002,PRE-GAP-0002,research_gap,GAP-01,not_found,A05 R1 最终状态；每部恰 2 次尝试，预算不重置,2 attempts,CODEX,随 N3 缺口说明呈现；不新增检索,RESEARCH-GAP
V1-GAP-0003,PRE-GAP-0003,research_gap,GAP-02,partial_support,A05 R1 最终状态；每部恰 2 次尝试，预算不重置,2 attempts,CODEX,随 N3 缺口说明呈现；不新增检索,RESEARCH-GAP
V1-GAP-0004,PRE-GAP-0004,research_gap,GAP-03,not_found,A05 R1 最终状态；每部恰 2 次尝试，预算不重置,2 attempts,CODEX,随 N3 缺口说明呈现；不新增检索,RESEARCH-GAP
V1-GAP-0005,PRE-GAP-0005,research_gap,GAP-04,not_found,A05 R1 最终状态；每部恰 2 次尝试，预算不重置,2 attempts,CODEX,随 N3 缺口说明呈现；不新增检索,RESEARCH-GAP
V1-GAP-0006,PRE-GAP-0006,research_gap,GAP-05,not_found,A05 R1 最终状态；每部恰 2 次尝试，预算不重置,2 attempts,CODEX,随 N3 缺口说明呈现；不新增检索,RESEARCH-GAP
V1-GAP-0007,PRE-GAP-0007,research_gap,GAP-06,not_found,A05 R1 最终状态；每部恰 2 次尝试，预算不重置,2 attempts,CODEX,随 N3 缺口说明呈现；不新增检索,RESEARCH-GAP
V1-GAP-0008,PRE-GAP-0008,research_gap,GAP-07,verified,A05 R1 最终状态；每部恰 2 次尝试，预算不重置,2 attempts,CODEX,随 N3 缺口说明呈现；不新增检索,NONE
V1-GAP-0009,PRE-GAP-0009,bibliographic_hold,los_pasos_perdidos_1953,hold,两次权威目录尝试均 not_verified（BnF 检索页无记录文本、CU Boulder 403）；聚合搜索不构成交叉,2 attempts,CODEX,继续 hold，仅出现在缺口说明；权威书目交叉前不准入,HOLD-YEAR
V1-GAP-0010,PRE-GAP-0010,political_poetry,political_poetry_3_1_1,resolved_keep_3_1_1_layering,A03 POLITICAL_POETRY_DECISIONS：漫歌/马丘比丘高地×2 hold；聂鲁达作者级×1 不下推；大地上的居所 gap×1,3/1/1,USER@N3,维持 hold×3、作者级×1、gap×1 的展示边界,RESOLVED-N3
V1-GAP-0011,PRE-GAP-0011,event_compatibility,based_on_event_work_event,resolved_implemented_schema_0_3,V1-S4-A03-PROP-001：端点 work→event；直接证据 1（SRC-0046 ficcionaliza）+ 间接 2（SRC-0063），独立来源 2；加法兼容升级,1+2 evidence,USER@N3,生成 V1-REL-0076；端点严格为 work→event,RESOLVED-N3
V1-GAP-0012,PRE-GAP-0012,event_compatibility,author_event_x4,resolved_keep_explanatory_only,A05 审计 LROW-0067/0112/0113/0114：略萨诺贝尔2010、马尔克斯/帕斯/略萨与古巴革命；无冻结词可表达 author→event,4 rows,USER@N3,不新增 author→event 关系词，不进入正式关系表,RESOLVED-N3
V1-GAP-0013,PRE-GAP-0013,coverage,coverage_dimensions,partial,A04 COVERAGE_AUDIT：主题作品级可审核仅 2/10、时代单一（20 世纪）、体裁偏重长篇（18/30）,3 dimensions,CODEX,N3 策展说明如实呈现,PARTIAL
