entity_id,entity_type,display_name,classification,primary_field,primary_status,auto_approved_fields,user_review_fields,hold_fields,missing_required_fields,facts,direct_sources,content_card,bibliographic_copy_rebase,priority,recommended_action,route,notes,wcd06_decision,replacement_field
V1-ENT-0170,author,米格尔·安赫尔·阿斯图里亚斯,PUBLIC_BIBLIOGRAPHIC_COPY,reader_lede,auto_approved,2,4,0,,4,1,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,REWRITE,reader_lede
V1-ENT-0171,author,伊莎贝尔·阿连德,PUBLIC_BIBLIOGRAPHIC_COPY,reader_lede,auto_approved,2,4,0,,3,2,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,REWRITE,reader_lede
V1-ENT-0173,work,《总统先生》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,1,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
V1-ENT-0174,work,《玉米人》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,1,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
V1-ENT-0175,collection,《危地马拉传说》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,1,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
V1-ENT-0176,work,《幽灵之家》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,2,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
V1-ENT-0177,work,《爱情与阴影》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,2,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
V1-ENT-0178,work,《伊娃·露娜》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,2,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
V1-ENT-0179,work,《弗洛尔和她的两个丈夫》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,1,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
V1-ENT-0180,work,《加布里埃拉》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,1,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
V1-ENT-0181,work,《沙滩船长》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,2,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
V1-ENT-0184,author,胡安·卡洛斯·奥内蒂,PUBLIC_BIBLIOGRAPHIC_COPY,reader_lede,auto_approved,2,4,0,,5,2,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,REWRITE,reader_lede
V1-ENT-0186,author,埃内斯托·萨瓦托,PUBLIC_BIBLIOGRAPHIC_COPY,reader_lede,auto_approved,2,4,0,,5,2,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,REWRITE,reader_lede
V1-ENT-0187,work,《短暂的生命》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,3,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
V1-ENT-0188,work,《造船厂》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,2,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
V1-ENT-0189,work,《告别》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,2,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
V1-ENT-0190,work,《污秽的夜鸟》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,3,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
V1-ENT-0191,work,《无尽的地方》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,2,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
V1-ENT-0192,work,《加冕》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,2,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
V1-ENT-0193,work,《隧道》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,2,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
V1-ENT-0194,work,《英雄与坟墓》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,2,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
V1-ENT-0195,work,《毁灭者亚巴顿》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,3,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
V1-ENT-0198,author,阿道夫·比奥伊·卡萨雷斯,PUBLIC_BIBLIOGRAPHIC_COPY,reader_lede,auto_approved,2,4,0,,5,2,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,REWRITE,reader_lede
V1-ENT-0199,author,奥古斯托·罗亚·巴斯托斯,PUBLIC_BIBLIOGRAPHIC_COPY,reader_lede,auto_approved,2,4,0,,5,2,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,REWRITE,reader_lede
V1-ENT-0200,author,奥拉西奥·基罗加,PUBLIC_BIBLIOGRAPHIC_COPY,reader_lede,auto_approved,2,4,0,,5,2,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,REWRITE,reader_lede
V1-ENT-0201,work,《莫雷尔的发明》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,3,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
V1-ENT-0202,work,《逃亡计划》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,3,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
V1-ENT-0203,work,《英雄的梦》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,2,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
V1-ENT-0204,work,《人子》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,2,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
V1-ENT-0205,work,《我，最高统帅》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,2,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
V1-ENT-0206,work,《检察官》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,2,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
V1-ENT-0207,collection,《爱情、疯狂和死亡的故事》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,1,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
V1-ENT-0208,collection,《丛林故事》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,2,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
