finding_id,category,old_finding,old_baseline,current_state,current_evidence,resolution_status,resolved_by,priority,route,notes
EXT-001,BASELINE,367 entities / 293 relationships / 278 sources,Data 1.2.0 candidate / Web 0.2.1 / 367 entities / 293 relationships,371 entities / 306 relationships / 288 sources,main@cbb0b571; master DB + current Curation/Web + WCD-02/WCD-03 audits,CHANGED,WCD-02/WCD-03,P0,WCD-04,external audit is candidate input only; current matrix controls
EXT-002,READER_CONTENT,61 authors: reader_lede 15 auto / 46 review,Data 1.2.0 candidate / Web 0.2.1 / 367 entities / 293 relationships,15 auto / 46 user_review; unchanged,main@cbb0b571; master DB + current Curation/Web + WCD-02/WCD-03 audits,STILL_VALID,,P1,WCD-06,external audit is candidate input only; current matrix controls
EXT-003,READER_CONTENT,168 works: story_intro 60 auto / 108 review,Data 1.2.0 candidate / Web 0.2.1 / 367 entities / 293 relationships,60 auto / 108 user_review; unchanged,main@cbb0b571; master DB + current Curation/Web + WCD-02/WCD-03 audits,STILL_VALID,,P1,WCD-06,external audit is candidate input only; current matrix controls
EXT-004,CURATION,1723 curation records in user_review,Data 1.2.0 candidate / Web 0.2.1 / 367 entities / 293 relationships,2276 total: 527 auto / 1723 review / 26 hold,main@cbb0b571; master DB + current Curation/Web + WCD-02/WCD-03 audits,STILL_VALID,,P0,WCD-06A,external audit is candidate input only; current matrix controls
EXT-005,DESCRIPTION,9 authors + 36 works are bibliographic-copy,Data 1.2.0 candidate / Web 0.2.1 / 367 entities / 293 relationships,semantic-reviewed set unchanged by WCD-02/03,main@cbb0b571; master DB + current Curation/Web + WCD-02/WCD-03 audits,STILL_VALID,,P0,WCD-06B,external audit is candidate input only; current matrix controls
EXT-006,DESCRIPTION,20 core-layer works lack PUBLIC_CONTENT objects,Data 1.2.0 candidate / Web 0.2.1 / 367 entities / 293 relationships,research objects remain; current per-entity routing recalculated,main@cbb0b571; master DB + current Curation/Web + WCD-02/WCD-03 audits,STILL_VALID,,P1,WCD-06C,external audit is candidate input only; current matrix controls
EXT-007,RELATIONSHIP,"character network: 10 characters, zero accepted relations",Data 1.2.0 candidate / Web 0.2.1 / 367 entities / 293 relationships,10/10 zero-degree; Schema 0.3 still lacks character-work predicate,main@cbb0b571; master DB + current Curation/Web + WCD-02/WCD-03 audits,STILL_VALID,,P0,WCD-05_SCHEMA_REVIEW,external audit is candidate input only; current matrix controls
EXT-008,RELATIONSHIP,8 movements have zero accepted relations,Data 1.2.0 candidate / Web 0.2.1 / 367 entities / 293 relationships,0 accepted; 14 ASSOCIATED_WITH_MOVEMENT holds remain,main@cbb0b571; master DB + current Curation/Web + WCD-02/WCD-03 audits,STILL_VALID,,P1,WCD-05,external audit is candidate input only; current matrix controls
EXT-009,RELATIONSHIP,29 themes have only 2 accepted relations,Data 1.2.0 candidate / Web 0.2.1 / 367 entities / 293 relationships,2 accepted EXPLORES_THEME; 31 holds remain,main@cbb0b571; master DB + current Curation/Web + WCD-02/WCD-03 audits,STILL_VALID,,P1,WCD-05,external audit is candidate input only; current matrix controls
EXT-010,RELATIONSHIP,51 relationship holds,Data 1.2.0 candidate / Web 0.2.1 / 367 entities / 293 relationships,51 holds unchanged,main@cbb0b571; master DB + current Curation/Web + WCD-02/WCD-03 audits,STILL_VALID,,P1,WCD-05,external audit is candidate input only; current matrix controls
EXT-011,RELATIONSHIP,relationship semantics concentrated in CREATED/place,Data 1.2.0 candidate / Web 0.2.1 / 367 entities / 293 relationships,CREATED 202; place semantics increased to 78 ASSOCIATED_WITH_PLACE + 13 SET_IN,main@cbb0b571; master DB + current Curation/Web + WCD-02/WCD-03 audits,CHANGED,WCD-02,P1,WCD-05,external audit is candidate input only; current matrix controls
EXT-012,PLACE,Buenos Aires missing,Data 1.2.0 candidate / Web 0.2.1 / 367 entities / 293 relationships,V1-ENT-0370; accepted relations and Geo node,main@cbb0b571; master DB + current Curation/Web + WCD-02/WCD-03 audits,RESOLVED,WCD-02,RESOLVED,NO_ACTION,external audit is candidate input only; current matrix controls
EXT-013,PLACE,Paris missing,Data 1.2.0 candidate / Web 0.2.1 / 367 entities / 293 relationships,V1-ENT-0373; accepted relations and Geo node,main@cbb0b571; master DB + current Curation/Web + WCD-02/WCD-03 audits,RESOLVED,WCD-02,RESOLVED,NO_ACTION,external audit is candidate input only; current matrix controls
EXT-014,PLACE,Havana missing,Data 1.2.0 candidate / Web 0.2.1 / 367 entities / 293 relationships,V1-ENT-0372; accepted relations and Geo node,main@cbb0b571; master DB + current Curation/Web + WCD-02/WCD-03 audits,RESOLVED,WCD-02,RESOLVED,NO_ACTION,external audit is candidate input only; current matrix controls
EXT-015,PLACE,Montevideo missing,Data 1.2.0 candidate / Web 0.2.1 / 367 entities / 293 relationships,V1-ENT-0371; accepted relations and Geo node,main@cbb0b571; master DB + current Curation/Web + WCD-02/WCD-03 audits,RESOLVED,WCD-02,RESOLVED,NO_ACTION,external audit is candidate input only; current matrix controls
EXT-016,PLACE,Hopscotch has no place relationship,Data 1.2.0 candidate / Web 0.2.1 / 367 entities / 293 relationships,SET_IN Buenos Aires + Paris accepted,main@cbb0b571; master DB + current Curation/Web + WCD-02/WCD-03 audits,RESOLVED,WCD-02,RESOLVED,NO_ACTION,external audit is candidate input only; current matrix controls
EXT-017,PLACE,city-level literary geography almost absent,Data 1.2.0 candidate / Web 0.2.1 / 367 entities / 293 relationships,35 Research places / 38 Geo nodes / 91 place relations; high-value gaps remain,main@cbb0b571; master DB + current Curation/Web + WCD-02/WCD-03 audits,PARTIALLY_RESOLVED,WCD-02,P1,WCD-05,external audit is candidate input only; current matrix controls
EXT-018,PLACE,fictional places must not receive real coordinates,Data 1.2.0 candidate / Web 0.2.1 / 367 entities / 293 relationships,all fictional Geo coordinates remain empty,main@cbb0b571; master DB + current Curation/Web + WCD-02/WCD-03 audits,STILL_VALID,,P0,ONGOING_GATE,external audit is candidate input only; current matrix controls
EXT-019,MAJOR_WORK,A20/B38/C3/D0 author coverage,Data 1.2.0 candidate / Web 0.2.1 / 367 entities / 293 relationships,no works added since old audit; ranking remains candidate judgment,main@cbb0b571; master DB + current Curation/Web + WCD-02/WCD-03 audits,STILL_VALID,,P1,WCD-07,external audit is candidate input only; current matrix controls
EXT-020,MAJOR_WORK,6 P0 missing major works,Data 1.2.0 candidate / Web 0.2.1 / 367 entities / 293 relationships,6/6 exact-title/current-author prechecks negative; research candidates only,main@cbb0b571; master DB + current Curation/Web + WCD-02/WCD-03 audits,STILL_VALID,,P0,WCD-07A,external audit is candidate input only; current matrix controls
EXT-021,MAJOR_WORK,49 P1 missing major works,Data 1.2.0 candidate / Web 0.2.1 / 367 entities / 293 relationships,49/49 exact-title/current-author prechecks negative; source verification still required,main@cbb0b571; master DB + current Curation/Web + WCD-02/WCD-03 audits,STILL_VALID,,P1,WCD-07B,external audit is candidate input only; current matrix controls
EXT-022,DATA_MODEL,Aleph short story / same-title collection ambiguity,Data 1.2.0 candidate / Web 0.2.1 / 367 entities / 293 relationships,collection/work hierarchy decision required; no migration in WCD-04,main@cbb0b571; master DB + current Curation/Web + WCD-02/WCD-03 audits,STILL_VALID,,P1,WCD-07_GOVERNANCE,external audit is candidate input only; current matrix controls
EXT-023,DATA_MODEL,Alturas de Macchu Picchu / Canto General overlap,Data 1.2.0 candidate / Web 0.2.1 / 367 entities / 293 relationships,chapter/collection hierarchy decision required,main@cbb0b571; master DB + current Curation/Web + WCD-02/WCD-03 audits,STILL_VALID,,P1,WCD-07_GOVERNANCE,external audit is candidate input only; current matrix controls
EXT-024,DATA_MODEL,Ribeyro total collection / individual story duplication,Data 1.2.0 candidate / Web 0.2.1 / 367 entities / 293 relationships,display/hierarchy decision required,main@cbb0b571; master DB + current Curation/Web + WCD-02/WCD-03 audits,STILL_VALID,,P2,WCD-07_GOVERNANCE,external audit is candidate input only; current matrix controls
EXT-025,DATA_MODEL,Memoria del fuego volume structure incomplete,Data 1.2.0 candidate / Web 0.2.1 / 367 entities / 293 relationships,volume-level modeling/duplicate check required,main@cbb0b571; master DB + current Curation/Web + WCD-02/WCD-03 audits,STILL_VALID,,P1,WCD-07B,external audit is candidate input only; current matrix controls
EXT-026,DATA_MODEL,Bolaño Chinese selection vs Spanish collections,Data 1.2.0 candidate / Web 0.2.1 / 367 entities / 293 relationships,edition/collection boundary required,main@cbb0b571; master DB + current Curation/Web + WCD-02/WCD-03 audits,STILL_VALID,,P2,WCD-07_GOVERNANCE,external audit is candidate input only; current matrix controls
EXT-027,NAME,Chinese display-name candidate corrections,Data 1.2.0 candidate / Web 0.2.1 / 367 entities / 293 relationships,WCD-03 full 371-entity matrix is authoritative,main@cbb0b571; master DB + current Curation/Web + WCD-02/WCD-03 audits,SUPERSEDED,WCD-03,RESOLVED,NO_ACTION,external audit is candidate input only; current matrix controls
EXT-028,GEOGRAPHY,Colombia beyond GGM and Central America are thin,Data 1.2.0 candidate / Web 0.2.1 / 367 entities / 293 relationships,"literary-history gap, not country quota",main@cbb0b571; master DB + current Curation/Web + WCD-02/WCD-03 audits,STILL_VALID,,P2,FUTURE_AUTHOR_CANDIDATE,external audit is candidate input only; current matrix controls
