author_id,author_name,candidate_work,original_title,old_priority,current_priority,already_in_db,possible_overlap,coverage_reason,source_status,route,notes
V1-ENT-0029,埃莱娜·加罗,《坚实的家》(Chinese display name requires verification),Un hogar sólido,P2,P2,no_exact_current_master_match,none,"加罗的戏剧处女作集，借""诗之声""剧团首演，被公认为革新了现代墨西哥戏剧的起点；她作为剧作家的地位由此确立，仅收《费利佩·安赫莱斯》不足以呈现。",SOURCE_REVERIFY_IN_WCD07,WCD-07C,"research candidate only; exact-title/current-author precheck matches=none; external source completeness not verified in WCD-04; semantic duplicate, edition overlap and collection containment not resolved in WCD-04; confidence=high"
V1-ENT-0029,埃莱娜·加罗,《出走的洛拉》(Chinese display name requires verification),Andamos huyendo Lola,P3,P3,no_exact_current_master_match,none,加罗第二部短篇集，女性主义叙事的延续，与《彩色的一周》构成其短篇小说全貌。,SOURCE_REVERIFY_IN_WCD07,WCD-07C,"research candidate only; exact-title/current-author precheck matches=none; external source completeness not verified in WCD-04; semantic duplicate, edition overlap and collection containment not resolved in WCD-04; confidence=medium"
V1-ENT-0030,罗萨里奥·卡斯特利亚诺斯,《皇家城》(Chinese display name requires verification),Ciudad Real,P1,P1,no_exact_current_master_match,none,"与《巴伦坎南》《黑暗的职守》并称""恰帕斯三部曲""的唯一短篇集，十个连续故事围绕圣克里斯托瓦尔（殖民名""皇家城""）的印第安人/拉迪诺人冲突，BBC称其""或许是她最知名的作品""；不收此书则三部曲断裂。",SOURCE_REVERIFY_IN_WCD07,WCD-07B,"research candidate only; exact-title/current-author precheck matches=none; external source completeness not verified in WCD-04; semantic duplicate, edition overlap and collection containment not resolved in WCD-04; confidence=high"
V1-ENT-0030,罗萨里奥·卡斯特利亚诺斯,《成人礼》(Chinese display name requires verification),Rito de iniciación,P2,P2,no_exact_current_master_match,none,她第三部小说（遗作），自传性青春叙事，补全其小说弧线。,SOURCE_REVERIFY_IN_WCD07,WCD-07C,"research candidate only; exact-title/current-author precheck matches=none; external source completeness not verified in WCD-04; semantic duplicate, edition overlap and collection containment not resolved in WCD-04; confidence=medium"
V1-ENT-0031,胡安·鲁尔福,Chinese display name requires verification,Aire de las colinas: cartas a Clara,DEFER,DEFER,no_exact_current_master_match,none,书信集，文献价值大于文学地图价值；对中文读者无作品对应。,SOURCE_REVERIFY_IN_WCD07,DEFER,"research candidate only; exact-title/current-author precheck matches=none; external source completeness not verified in WCD-04; semantic duplicate, edition overlap and collection containment not resolved in WCD-04; confidence=high"
V1-ENT-0059,奥克塔维奥·帕斯,《言词下的自由》(Chinese display name requires verification),Libertad bajo palabra,P1,P1,no_exact_current_master_match,none,"帕斯第一阶段诗歌的定本式选集，被西语评论界称为其诗歌的""里程碑""(hito)；作图只留《太阳石》无法呈现其诗歌谱系起点。",SOURCE_REVERIFY_IN_WCD07,WCD-07B,"research candidate only; exact-title/current-author precheck matches=none; external source completeness not verified in WCD-04; semantic duplicate, edition overlap and collection containment not resolved in WCD-04; confidence=high"
V1-ENT-0059,奥克塔维奥·帕斯,《泥淖之子：现代诗歌从浪漫主义到先锋派》,Los hijos del limo,P1,P1,no_exact_current_master_match,none,哈佛诺顿讲座结集，关于浪漫主义—先锋派诗歌现代性的核心论著，与其《弓与琴》构成诗学双璧；中译本（陈东飚译，广西人民出版社2018）豆瓣8.8，中文读者认知基础好。,SOURCE_REVERIFY_IN_WCD07,WCD-07B,"research candidate only; exact-title/current-author precheck matches=none; external source completeness not verified in WCD-04; semantic duplicate, edition overlap and collection containment not resolved in WCD-04; confidence=high"
V1-ENT-0059,奥克塔维奥·帕斯,《双重火焰》,La llama doble,P2,P2,no_exact_current_master_match,none,晚年论爱情与情欲的代表作；中译本早在1998年即由东方出版社出版（蒋显璟、真漫亚译，豆瓣9.1），对中文读者辨识度高。,SOURCE_REVERIFY_IN_WCD07,WCD-07C,"research candidate only; exact-title/current-author precheck matches=none; external source completeness not verified in WCD-04; semantic duplicate, edition overlap and collection containment not resolved in WCD-04; confidence=high"
V1-ENT-0059,奥克塔维奥·帕斯,《白》(Chinese display name requires verification),Blanco,P2,P2,no_exact_current_master_match,none,"诺贝尔自传称其""最复杂的作品""，三栏排印/视觉诗实验，与《太阳石》并为其长诗两极。",SOURCE_REVERIFY_IN_WCD07,WCD-07C,"research candidate only; exact-title/current-author precheck matches=none; external source completeness not verified in WCD-04; semantic duplicate, edition overlap and collection containment not resolved in WCD-04; confidence=high"
V1-ENT-0059,奥克塔维奥·帕斯,《索尔·胡安娜，或信仰的陷阱》(Chinese display name requires verification),Sor Juana Inés de la Cruz o las trampas de la fe,P2,P2,no_exact_current_master_match,none,帕斯为另一位图内作家索尔·胡安娜所作的权威研究，可建立跨作者关联（cross-link），亦是其文学批评代表作。,SOURCE_REVERIFY_IN_WCD07,WCD-07C,"research candidate only; exact-title/current-author precheck matches=none; external source completeness not verified in WCD-04; semantic duplicate, edition overlap and collection containment not resolved in WCD-04; confidence=high"
V1-ENT-0059,奥克塔维奥·帕斯,《语法猴子》(Chinese display name requires verification),El mono gramático,P3,P3,no_exact_current_master_match,none,散文体诗实验的高峰，学术史地位稳定，属扩展项。,SOURCE_REVERIFY_IN_WCD07,WCD-07C,"research candidate only; exact-title/current-author precheck matches=none; external source completeness not verified in WCD-04; semantic duplicate, edition overlap and collection containment not resolved in WCD-04; confidence=high"
V1-ENT-0145,卡洛斯·富恩特斯,《我们的土地》,Terra Nostra,P0,P0,no_exact_current_master_match,none,"富恩特斯公认的最高成就（1977年罗慕洛·加列戈斯奖+维利亚乌鲁蒂亚奖），被称为""拉丁美洲的《尤利西斯》""；2021年林一安全译本由作家出版社出版（豆瓣9.2），中文读者认知正在上升期，不收则作者页不完整。",SOURCE_REVERIFY_IN_WCD07,WCD-07A,"research candidate only; exact-title/current-author precheck matches=none; external source completeness not verified in WCD-04; semantic duplicate, edition overlap and collection containment not resolved in WCD-04; confidence=high"
V1-ENT-0145,卡洛斯·富恩特斯,《老美国佬》,Gringo viejo,P1,P1,no_exact_current_master_match,none,首部登上美国畅销书榜首的墨西哥小说（Ambrose Bierce 失踪之谜为底本），1989年好莱坞改编；上海译文已有中译《老美国佬》，国际影响力+中文可得性双高。,SOURCE_REVERIFY_IN_WCD07,WCD-07B,"research candidate only; exact-title/current-author precheck matches=none; external source completeness not verified in WCD-04; semantic duplicate, edition overlap and collection containment not resolved in WCD-04; confidence=high"
V1-ENT-0145,卡洛斯·富恩特斯,《换肤》(Chinese display name requires verification),Cambio de piel,P2,P2,no_exact_current_master_match,none,"获塞伊克斯·巴拉尔""文库短篇""奖(Biblioteca Breve 1967)，""文学爆炸""序列中的重要一环，衔接《阿尔特米奥·克罗斯之死》与《我们的土地》之间空档。",SOURCE_REVERIFY_IN_WCD07,WCD-07C,"research candidate only; exact-title/current-author precheck matches=none; external source completeness not verified in WCD-04; semantic duplicate, edition overlap and collection containment not resolved in WCD-04; confidence=high"
