source_id,title,original_title,source_level,format,language,persistent_id,canonical_url
SRC-0002,拉丁美洲文学教程（阅读篇）,Manual de la Literatura Hispanoamericana,A,pdf,zh+es,,
SRC-0007,大英百科全书博尔赫斯传记,Britannica: Jorge Luis Borges,B,html,en,,https://www.britannica.com/biography/Jorge-Luis-Borges
SRC-0008,博尔赫斯《阿莱夫》之名的政治,"Politics of the Name: On Borges's ""El Aleph""",A,pdf,en,Variaciones Borges 14 (2002) pp.7-21,https://borges.pitt.edu/bsol/documents/1401.pdf
SRC-0009,IMS 李斯佩克朵专题网站,Clarice Lispector (site oficial),B,html,pt,,https://site.claricelispector.ims.com.br/
SRC-0010,USP 博士论文（李斯佩克朵晚期小说研究）,No limiar do silêncio e da letra: traços da autoria em Clarice Lispector,A,html+pdf,pt,DOI 10.11606/T.8.2001.tde-17102011-104726,https://www.teses.usp.br/teses/disponiveis/8/8151/tde-17102011-104726/
SRC-0011,SciELO 期刊文章（升华与女性）,Do que se pode ler em Clarice Lispector: sublimação e feminino,A,html,pt,DOI 10.1590/S0104-80232007000100016,https://www.scielo.br/j/rdpsi/a/PyG66JcBMdCsLDwd7GVmT7v
SRC-0012,UNESP 期刊文章（虚构面具）,Jogos ficcionais como máscaras em obras de Clarice Lispector,A,html+pdf,pt,DOI 10.5016/pem.v10i1.3557,https://seer.assis.unesp.br/index.php/pem/article/view/3557
SRC-0013,UESB 期刊文章（21世纪读李斯佩克朵）,CLARICE LISPECTOR PARA MULHERES – E HOMENS – DO SÉCULO XXI,A,html+pdf,pt,DOI 10.22481/folio.v12i2.7437,https://periodicos2.uesb.br/folio/article/view/7437
SRC-0014,阿根廷国家图书馆《博尔赫斯问题》书目,La Biblioteca No. 13: Cuestión Borges,B,pdf,es,La Biblioteca Año 10 No.13,https://www.bn.gov.ar/micrositios/admin_assets/issues/files/6a0504ab40d7167a5b37b2467bf57845.pdf
SRC-0015,阿根廷国家图书馆《阿莱夫》80周年展览页,"Infinita veneración, infinita lástima: 80 años de El Aleph",B,html,es,BNMM El Aleph 80 años,https://www.bn.gov.ar/agenda-cultural/infinita-veneracion-infinita-lastima-80-anos-de-el-aleph
SRC-0016,IMS 李斯佩克朵生平简介,Sobre Clarice Lispector,B,html,pt,IMS 2017-06-01 Clarice,https://ims.com.br/2017/06/01/sobre-clarice-lispector/
