target_id,target_type,name_zh,field,gap_type,needed_evidence,handoff
V1-ENT-0173,work,《总统先生》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0174,work,《玉米人》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0175,collection,《危地马拉传说》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0176,work,《幽灵之家》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0177,work,《爱情与阴影》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0178,work,《伊娃·露娜》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0179,work,《弗洛尔和她的两个丈夫》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0180,work,《加布里埃拉》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0181,work,《沙滩船长》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0187,work,《短暂的生命》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0188,work,《造船厂》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0189,work,《告别》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0190,work,《污秽的夜鸟》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0191,work,《无尽的地方》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0192,work,《加冕》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0193,work,《隧道》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0194,work,《英雄与坟墓》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0195,work,《毁灭者亚巴顿》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0201,work,《莫雷尔的发明》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0202,work,《逃亡计划》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0203,work,《英雄的梦》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0204,work,《人子》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0205,work,《我，最高统帅》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0206,work,《检察官》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0207,collection,《爱情、疯狂和死亡的故事》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0208,collection,《丛林故事》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0209,collection,《流放者》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0214,work,《布拉斯·库巴斯死后的回忆》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0215,work,《金卡斯·博尔巴》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0216,work,《堂卡斯穆罗》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0217,work,《广阔腹地：条条小径》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0218,collection,《萨加拉纳》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0219,collection,《第一故事》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0220,work,《枯竭的生命》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0221,work,《圣贝尔纳多》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0222,work,《苦闷》,story_intro,OBJECT_LEVEL_DESCRIPTION,"story premise, narrative feature or theme from at least two suitable sources",WCD-07_RESEARCH_INPUT
V1-ENT-0011,collection,《虚构集》,story_intro,MISSING_MINIMUM_CONTENT,object-specific descriptive fact beyond bibliography,WCD-07_RESEARCH_INPUT
V1-ENT-0033,collection,《彩色的一周》,story_intro,MISSING_MINIMUM_CONTENT,object-specific descriptive fact beyond bibliography,WCD-07_RESEARCH_INPUT
V1-ENT-0034,work,《关于玛丽安娜的证词》,story_intro,MISSING_MINIMUM_CONTENT,object-specific descriptive fact beyond bibliography,WCD-07_RESEARCH_INPUT
V1-ENT-0036,work,《黑暗的职守》,story_intro,MISSING_MINIMUM_CONTENT,object-specific descriptive fact beyond bibliography,WCD-07_RESEARCH_INPUT
V1-ENT-0037,collection,《诗歌不是你》,story_intro,MISSING_MINIMUM_CONTENT,object-specific descriptive fact beyond bibliography,WCD-07_RESEARCH_INPUT
V1-ENT-0039,collection,《燃烧的原野》,story_intro,MISSING_MINIMUM_CONTENT,object-specific descriptive fact beyond bibliography,WCD-07_RESEARCH_INPUT
V1-ENT-0040,work,《金鸡》,story_intro,MISSING_MINIMUM_CONTENT,object-specific descriptive fact beyond bibliography,WCD-07_RESEARCH_INPUT
V1-ENT-0082,collection,《动物寓言集》,story_intro,MISSING_MINIMUM_CONTENT,object-specific descriptive fact beyond bibliography,WCD-07_RESEARCH_INPUT
V1-ENT-0083,collection,《游戏的终结》,story_intro,MISSING_MINIMUM_CONTENT,object-specific descriptive fact beyond bibliography,WCD-07_RESEARCH_INPUT
V1-ENT-0119,collection,《二十首情诗和一支绝望的歌》,story_intro,MISSING_MINIMUM_CONTENT,object-specific descriptive fact beyond bibliography,WCD-07_RESEARCH_INPUT
V1-ENT-0120,collection,《大地上的居所》,story_intro,MISSING_MINIMUM_CONTENT,object-specific descriptive fact beyond bibliography,WCD-07_RESEARCH_INPUT
V1-ENT-0121,collection,《漫歌》,story_intro,MISSING_MINIMUM_CONTENT,object-specific descriptive fact beyond bibliography,WCD-07_RESEARCH_INPUT
V1-ENT-0147,work,《阿尔特米奥·克罗斯之死》,story_intro,MISSING_MINIMUM_CONTENT,object-specific descriptive fact beyond bibliography,WCD-07_RESEARCH_INPUT
V1-ENT-0158,work,《霍乱时期的爱情》,story_intro,MISSING_MINIMUM_CONTENT,object-specific descriptive fact beyond bibliography,WCD-07_RESEARCH_INPUT
V1-ENT-0159,work,《族长的秋天》,story_intro,MISSING_MINIMUM_CONTENT,object-specific descriptive fact beyond bibliography,WCD-07_RESEARCH_INPUT
V1-ENT-0160,work,《绿房子》,story_intro,MISSING_MINIMUM_CONTENT,object-specific descriptive fact beyond bibliography,WCD-07_RESEARCH_INPUT
