hold_relation_id,relation_group_id,subject_entity_id,relation_type,object_entity_id,description_zh,confidence,review_status,issue_notes
HOLD-REL-0001,RG-S2-0017,STG-ENT-0002,ASSOCIATED_WITH_MOVEMENT,STG-ENT-0010,博尔赫斯曾投身极端主义（ultraísmo）,medium,hold_needs_second_source,解释性判断，单来源
HOLD-REL-0002,RG-S2-0018,STG-ENT-0003,EXPLORES_THEME,STG-ENT-0013,《小径分岔的花园》探讨时间的分岔与无限,medium,hold_needs_second_source,解释性判断，单来源
HOLD-REL-0003,RG-S2-0019,STG-ENT-0004,EXPLORES_THEME,STG-ENT-0015,《阿莱夫》探讨无限与不可言说,medium,hold_needs_second_source,解释性判断，单来源
HOLD-REL-0004,RG-S2-0020,STG-ENT-0004,EXPLORES_THEME,STG-ENT-0014,《阿莱夫》涉及记忆与遗忘,medium,hold_needs_second_source,解释性判断，单来源
HOLD-REL-0005,RG-S2-0021,STG-ENT-0017,EXPLORES_THEME,STG-ENT-0024,《活水》探讨时间、当下瞬间与沉默（复合主题）,medium,hold_needs_second_source,R1：不再与 SRC-0011 构成同主题双源组（REVIEW R1-03）；仅“沉默”与 0109 部分重叠，主题不同
HOLD-REL-0006,RG-S2-0023,STG-ENT-0019,EXPLORES_THEME,STG-ENT-0023,《家庭纽带》涉及家庭关系与内心生活,medium,hold_needs_second_source,解释性判断，单来源
HOLD-REL-0007,RG-S2-0024,STG-ENT-0019,EXPLORES_THEME,STG-ENT-0028,《家庭纽带》的女性人物在 21 世纪被再读,medium,hold_needs_second_source,解释性判断，单来源
HOLD-REL-0008,RG-S2-0025,STG-ENT-0002,INFLUENCED_BY,STG-ENT-0005,博尔赫斯受叔本华影响,medium,hold_needs_second_source,解释性判断，单来源
HOLD-REL-0009,RG-S2-0026,STG-ENT-0002,INFLUENCED_BY,STG-ENT-0006,博尔赫斯受卡夫卡影响,medium,hold_needs_second_source,解释性判断，单来源
HOLD-REL-0010,RG-S2-0027,STG-ENT-0002,INFLUENCED_BY,STG-ENT-0007,博尔赫斯受切斯特顿影响,medium,hold_needs_second_source,解释性判断，单来源
HOLD-REL-0011,RG-S2-0028,STG-ENT-0017,EXPLORES_THEME,STG-ENT-0027,《活水》涉及升华、沉默与女性写作（精神分析视角）,medium,hold_needs_second_source,R1：由原 RG-S2-0021 拆出改指 0109，新组 RG-S2-0028（REVIEW R1-03）
