source_candidate_id,for_candidate,title,author_or_institution,publisher,publication_year,format,language,source_level,canonical_url,access_status,support_scope,formalization_proposal
WCD07A-S01,WCD07A-W01,Terra Nostra — Detalle de la obra,Enciclopedia de la Literatura en México,Fundación para las Letras Mexicanas,,web_page,es,B,https://www.elem.mx/obra/datos/3344,verified_2026-09-02,"author; title; 1975; novel; first-edition publishers",NEW_SOURCE
WCD07A-S02,WCD07A-W01,La Cátedra Carlos Fuentes celebrará el 50 aniversario de Terra Nostra,Gaceta UNAM,UNAM,2025,web_page,es,C,https://www.gaceta.unam.mx/la-catedra-carlos-fuentes-celebrara-el-50-aniversario-de-terra-nostra-de-carlos-fuentes/,verified_2026-09-02,"author; 1975; structure; bounded premise; awards",NEW_SOURCE
WCD07A-S03,WCD07A-W01,《我们的土地》—书汇,中国作家网,作家出版社,2021,web_page,zh,C,https://www.chinawriter.com.cn/n1/2021/0825/c405084-32207463.html,verified_external_pack,"formal Chinese display; publisher; ISBN",NEW_SOURCE
WCD07A-S04,WCD07A-W02,CVC. Sergio Pitol. Bibliografía,Centro Virtual Cervantes,Instituto Cervantes,,web_page,es,B,https://cvc.cervantes.es/literatura/escritores/pitol/bibliografia.htm,verified_2026-09-02,"author; title; Era; Mexico; 1996",REUSE_SRC-0201
WCD07A-S05,WCD07A-W02,Sergio Pitol. El arte de la fuga,Revista Literatura Mexicana,UNAM,1998,journal_review,es,C,https://revistas-filologicas.unam.mx/literatura-mexicana/index.php/lm/article/view/324,verified_external_pack,"reviewed book identity and 1996 bibliography; heterogeneous essay form that is not accurately reduced to memoir",NEW_SOURCE
WCD07A-S06,WCD07A-W02,《作家的宿命就是逃亡》,中华读书报,光明日报,2006,newspaper_review,zh,C,https://www.gmw.cn/01ds/2006-07/05/content_445692.htm,verified_external_pack,"formal Chinese title; translator; Chinese publication",NEW_SOURCE
WCD07A-S07,WCD07A-W03,Tradición y modernidad en los Versos libres,Carlos Javier Morales / Biblioteca Virtual Miguel de Cervantes,BVMC,,scholarly_article,es,A,https://www.cervantesvirtual.com/descargaPdf/tradicion-y-modernidad-en-los-versos-libres/,verified_2026-09-02,"author; collection identity; posthumous 1913; composition around 1882; poetic form",NEW_SOURCE
WCD07A-S08,WCD07A-W03,Introducción a la literatura cubana,Roberto Fernández Retamar / América sin Nombre núm. 2,Biblioteca Virtual Miguel de Cervantes,2000,scholarly_article,es,A,https://www.cervantesvirtual.com/obra-visor/america-sin-nombre--11/html/0256666c-82b2-11df-acc7-002185ce6064_3.htm,verified_2026-09-02,"article directly states posthumous 1913; unrhymed hendecasyllabic poems; distinction from Versos sencillos",NEW_SOURCE
WCD07A-S09,WCD07A-W04,The Nobel Prize in Literature 2010 — Bio-bibliographical notes,Nobel Prize Outreach,Nobel Foundation,2010,institutional_bibliography,en,B,https://www.nobelprize.org/prizes/literature/2010/bio-bibliography/,verified_external_pack,"author; title; Madrid; Alfaguara; 2000",NEW_SOURCE
WCD07A-S10,WCD07A-W04,La fiesta del Chivo,Penguin Random House Grupo Editorial,Alfaguara,,publisher_catalog,es,B,https://www.penguinlibros.com/co/tematicas/15210-ebook-la-fiesta-del-chivo-9788420499437,verified_2026-09-02,"author; title; novel; 2000; bounded premise",NEW_SOURCE
WCD07A-S11,WCD07A-W04,《公羊的节日》—书汇,中国作家网,上海译文出版社,2016,web_page,zh,C,http://www.chinawriter.com.cn/n1/2016/0627/c405068-28500637.html,verified_external_pack,"formal Chinese display; translator; Chinese publication",NEW_SOURCE
WCD07A-S12,WCD07A-W05,El zorro de arriba y el zorro de abajo — BNP Digital,Biblioteca Nacional del Perú,BNP,1971,national_library_record,es,B,https://bibliotecadigital.bnp.gob.pe/items/72c6e3f4-b4a0-4e00-babd-9481cdb250fb,verified_2026-09-02,"author; title; 1971; novel identity",NEW_SOURCE
WCD07A-S13,WCD07A-W05,El zorro de arriba y el zorro de abajo,Editorial Losada,Editorial Losada,,publisher_catalog,es,B,https://editoriallosada.com/libro/el-zorro-de-arriba-y-el-zorro-de-abajo/,verified_2026-09-02,"author; title; novel identity; 1971; publisher frames it as the author's literary testament",NEW_SOURCE
WCD07A-S14,WCD07A-W06,Literatura — Jorge Amado: um sem-fim de romances,Biblioteca Nacional do Brasil,BNDigital,2021,national_library_article,pt,B,https://bndigital.bn.gov.br/artigos/literatura-jorge-amado-um-sem-fim-de-romances/,verified_2026-09-02,"author; title; 1943; cocoa-region setting",NEW_SOURCE
WCD07A-S15,WCD07A-W06,'Terras adubadas com sangue': o coronelismo em Terras do sem fim,João Paulo Mansur / Revista Brasileira de Ciências Sociais,SciELO Brasil,2021,scholarly_article,pt,A,https://www.scielo.br/j/rbcsoc/a/9qN3hjfWHPdxvpKbrhk8Gvv/?lang=pt,verified_2026-09-02,"author; title; novel; written 1941 and published 1943; bounded premise",NEW_SOURCE
WCD07A-S16,WCD07A-W06,若热·亚马多中文作家名资料,中国作家网,中国作家网,2016,web_page,zh,C,https://www.chinawriter.com.cn/comm/2016/2016-02-24/265978.html,verified_external_pack,"Chinese author-name support and reception context only; not canonical work bibliography",REUSE_SRC-0281
WCD07A-S17,WCD07A-W06,Jorge Amado — Enciclopédia Itaú Cultural,Enciclopédia Itaú Cultural,Instituto Itaú Cultural,2023,institutional_author_profile,pt,B,https://enciclopedia.itaucultural.org.br/pessoas/1153-jorge-amado,external_pack_verified_2026-08-30_current_dynamic_unextractable,"conflict-only locator: author chronology states 'Em Terras do sem Fim (1942)'; does not override two direct 1943 sources",EXCLUDE_CONFLICT_ONLY
WCD07A-S18,WCD07A-W05,山上的狐狸山下的狐狸/西葡拉美幻想文学经典,芸台购 / 浙江省新华书店集团有限公司,人民文学出版社,2024,library_acquisition_catalog,zh,B,https://www.yuntaigo.com/book.action?recordid=bm5sZmtsemM5Nzg3MDIwMTg2NzIz,verified_2026-09-02,"formal Chinese display; author; translator Zhu Jinyu; People's Literature Publishing House; 2024-06; ISBN 9787020186723",NEW_SOURCE
WCD07A-S19,WCD07A-W06,无边的土地 — 福建江夏学院图书馆馆藏记录,福建江夏学院图书馆,上海译文出版社,1992,university_library_record,zh,B,https://libwx.fjjxu.edu.cn/opac/bookInfo_01a0005179.html,verified_2026-09-02,"formal Chinese display; author Jorge Amado; translator Wu Lao; publisher; year; ISBN 7-5327-0345-2; parallel/original title Terras do sem fim",NEW_SOURCE
