candidate_id,entity_type,canonical_name_candidate,original_name,aliases,language,country_or_region,date_info,source_id,source_title,optional_locator,optional_evidence_note,confidence,issue_notes,extracted_by
B02-ENT-0001,author,加西亚·马尔克斯,Gabriel García Márquez,García Márquez;GGM,es,哥伦比亚,1927-2014,B02-SRC-0004,CVC. Actos culturales. Gabriel García Márquez,数字展页,CVC 页：生于 Aracataca（加勒比哥伦比亚），1982 年诺贝尔文学奖；生卒年为通行信息、页面未直接显示，待 Codex 核验,high,与 S1 候选 CAND-AUTHOR-0021/0067/0106/0151/0259/0306 同名，需 Codex 合并,EXT-AI-02
B02-ENT-0002,author,胡利奥·科塔萨尔,Julio Cortázar,Cortázar,es,阿根廷,1914-1984,B02-SRC-0006,Esto no es un sueño: los personajes frente al concepto onírico en los primeros cuentos fantásticos de Julio Cortázar,论文首页,Orbis Tertius 论文以科塔萨尔早期幻想故事为研究对象；生卒年/国籍为本批来源未直接显示信息，待 Codex 核验,medium,与 S1 候选 CAND-AUTHOR-0107/0304 同名，需 Codex 合并；生于比利时布鲁塞尔，国籍阿根廷,EXT-AI-02
B02-ENT-0003,author,阿莱霍·卡彭铁尔,Alejo Carpentier,Carpentier,es,古巴,1904-1980,B02-SRC-0011,"Alejo Carpentier, autor transcultural. El caso de ""El reino de este mundo""",论文摘要,RFRM 论文首句明确“El cubano Alejo Carpentier”；生卒年为通行信息、来源未直接显示，待 Codex 核验,high,与 S1 候选 CAND-AUTHOR-0026/0303 同名，需 Codex 合并,EXT-AI-02
B02-ENT-0004,work,《百年孤独》,Cien años de soledad,,es,哥伦比亚,1967,B02-SRC-0001,Gabriel García Márquez y la ética en Cien años de soledad – I,论文标题,Javeriana 论文直接以该小说为研究对象（“la novela Cien años de soledad”）；1967 首发年为通行信息、来源未直接显示，待核,high,与 S1 候选 CAND-WORK-0009/0081/0104 同名，需 Codex 合并,EXT-AI-02
B02-ENT-0005,work,《没有人给他写信的上校》,El coronel no tiene quien le escriba,,es,哥伦比亚,1961,B02-SRC-0002,Miseria y violencia en El Coronel no tiene quien le escriba,论文标题,Encuentro 论文直接以该小说为研究对象（“la célebre novela de Gabriel García Márquez”）；1961 首发年为通行信息、来源未直接显示，待核,high,与 S1 候选 CAND-WORK-0010 同名，需 Codex 合并,EXT-AI-02
B02-ENT-0006,work,《一桩事先张扬的凶杀案》,Crónica de una muerte anunciada,,es,哥伦比亚,1981,B02-SRC-0003,Un relato sospechoso: Crónica de una muerte anunciada,PDF 首页,Atenea 论文首页明确标注 Crónica de una muerte anunciada (1981),high,与 S1 候选 CAND-WORK-0011 同名，需 Codex 合并,EXT-AI-02
B02-ENT-0007,work,《跳房子》,Rayuela,,es,阿根廷,1963,B02-SRC-0007,Cortázar: los relatos fragmentados y la importancia de un lector activo,论文摘要,Passagens 论文称 Rayuela 为科塔萨尔“su obra más importante”；1963 首发年为通行信息、来源未直接显示，待核,high,与 S1 候选 CAND-WORK-0103 同名，需 Codex 合并,EXT-AI-02
B02-ENT-0008,work,《人间王国》,El reino de este mundo,,es,古巴,1949,B02-SRC-0011,"Alejo Carpentier, autor transcultural. El caso de ""El reino de este mundo""",论文标题,RFRM 论文直接以该小说为研究对象；1949 首发年为通行信息、来源未直接显示，待核,high,,EXT-AI-02
B02-ENT-0009,work,《消逝的足迹》,Los pasos perdidos,,es,古巴,1953,B02-SRC-0012,De los pasos perdidos de Alvar Núñez a los Pasos de Alejo Carpentier a través del concepto de la Kehre heideggeriana,论文标题,Atenea 论文直接以该小说为研究对象（“los Pasos”）；1953 首发年为通行信息、来源未直接显示，待核,high,,EXT-AI-02
B02-ENT-0010,work,《光明世纪》,El siglo de las luces,,es,古巴,1962,B02-SRC-0013,"Objetos de arte, écfrasis y regímenes escópicos en El siglo de las luces (1962) de Alejo Carpentier",论文标题,Letras 论文标题明确标注 (1962),high,,EXT-AI-02
B02-ENT-0011,collection,《动物寓言集》,Bestiario,,es,阿根廷,1951,B02-SRC-0006,Esto no es un sueño: los personajes frente al concepto onírico en los primeros cuentos fantásticos de Julio Cortázar,论文摘要,Orbis Tertius 论文将 Bestiario 列为科塔萨尔早期幻想故事集；1951 首发年为通行信息、来源未直接显示，待核,high,作品集；其中短篇《Casa tomada》等若建实体须与其分层,EXT-AI-02
B02-ENT-0012,collection,《游戏的终结》,Final del juego,Final de juego,es,阿根廷,1956,B02-SRC-0009,"Jogos de máscaras e dobras do eu: encruzilhadas de leitura(s) a partir de ""Final de juego"" de Julio Cortázar",论文标题,UB 论文标题直接以 Final de juego 为研究对象；1956 首发年为通行信息、来源未直接显示，待核,high,作品集；收录《La noche boca arriba》《Continuidad de los parques》等（Orbis 论文分析《La noche boca arriba》梦境主题）,EXT-AI-02
B02-ENT-0013,work,《另一个天空》,El otro cielo,,es,阿根廷,1966,B02-SRC-0008,Romance y azar en la ciudad: dos transposiciones de cuentos de Julio Cortázar,论文摘要,Anclajes 论文明确分析该短篇及其 1987 年德国电影改编（Der gläserne Himmel）,high,本批 9 部固定作品之外的短篇；仅因可靠来源（改编研究）建实体，与作品集分层规则一致,EXT-AI-02
B02-ENT-0014,work,《口袋里发现的手稿》,Manuscrito hallado en un bolsillo,,es,阿根廷,1966,B02-SRC-0008,Romance y azar en la ciudad: dos transposiciones de cuentos de Julio Cortázar,论文摘要,Anclajes 论文明确分析该短篇及其 2005 年巴西电影改编（Jogo subterraneo）,high,本批 9 部固定作品之外的短篇；仅因可靠来源（改编研究）建实体,EXT-AI-02
B02-ENT-0015,adaptation,《水晶天空》,Der gläserne Himmel,,de,德国,1987,B02-SRC-0008,Romance y azar en la ciudad: dos transposiciones de cuentos de Julio Cortázar,论文摘要,Anclajes 论文：Nina Grosse 执导的长片，改编自《El otro cielo》,high,影视改编端点，与原著短篇分层,EXT-AI-02
B02-ENT-0016,adaptation,《地下游戏》,Jogo subterraneo,,pt,巴西,2005,B02-SRC-0008,Romance y azar en la ciudad: dos transposiciones de cuentos de Julio Cortázar,论文摘要,Anclajes 论文：Roberto Gervitz 执导的长片，改编自《Manuscrito hallado en un bolsillo》,high,影视改编端点，与原著短篇分层,EXT-AI-02
B02-ENT-0017,person,妮娜·格罗塞,Nina Grosse,,de,德国,,B02-SRC-0008,Romance y azar en la ciudad: dos transposiciones de cuentos de Julio Cortázar,论文摘要,《水晶天空》导演（1987）,high,Schema 0.2 person 类型,EXT-AI-02
B02-ENT-0018,person,罗贝托·热尔维茨,Roberto Gervitz,,pt,巴西,,B02-SRC-0008,Romance y azar en la ciudad: dos transposiciones de cuentos de Julio Cortázar,论文摘要,《地下游戏》导演（2005）,high,Schema 0.2 person 类型,EXT-AI-02
B02-ENT-0019,character,圣地亚哥·纳萨尔,Santiago Nasar,Santiago Nazar,es,哥伦比亚,,B02-SRC-0003,Un relato sospechoso: Crónica de una muerte anunciada,PDF 首页,《一桩事先张扬的凶杀案》被害者；来源字形 Santiago Nazar 仅作别名,high,R1（REVIEW I-003）：规范拼写 Santiago Nasar，Nazar 仅作来源字形别名,EXT-AI-02
B02-ENT-0020,character,上校（《没有人给他写信的上校》人物）,el coronel,,es,哥伦比亚,,B02-SRC-0002,Miseria y violencia en El Coronel no tiene quien le escriba,论文摘要,《没有人给他写信的上校》主人公：等待来信、拒绝卖鸡、被动抵抗,high,R1（REVIEW I-003）：无名人物显示规范为“上校（《没有人给他写信的上校》人物）”，原文 el coronel,EXT-AI-02
B02-ENT-0021,character,奥古斯丁,Agustín,,es,哥伦比亚,,B02-SRC-0002,Miseria y violencia en El Coronel no tiene quien le escriba,论文摘要,上校之子，因革命活动死亡（Encuentro 摘要明示）,medium,,EXT-AI-02
B02-ENT-0022,character,马康达尔,Mackandal,,es,海地,,B02-SRC-0011,"Alejo Carpentier, autor transcultural. El caso de ""El reino de este mundo""",论文摘要,RFRM 论文：Mackandal 体现 lo real maravilloso 的跨文化产物,high,,EXT-AI-02
B02-ENT-0023,character,亨利·克里斯托夫,Henri Christophe,,es,海地,,B02-SRC-0011,"Alejo Carpentier, autor transcultural. El caso de ""El reino de este mundo""",论文摘要,RFRM 论文所列《人间王国》中代表“新世界”的人物之一,high,,EXT-AI-02
B02-ENT-0024,place,哥伦比亚,Colombia,,es,哥伦比亚,,B02-SRC-0004,CVC. Actos culturales. Gabriel García Márquez,数字展页,CVC 页：Aracataca 为“加勒比哥伦比亚”之村落；GGM 国籍,high,与 S1 候选 CAND-PLACE-0002/0052 同名，需 Codex 合并,EXT-AI-02
B02-ENT-0025,place,阿根廷,Argentina,,es,阿根廷,,B02-SRC-0006,Esto no es un sueño: los personajes frente al concepto onírico en los primeros cuentos fantásticos de Julio Cortázar,期刊机构页,Orbis Tertius 为阿根廷国立拉普拉塔大学期刊，科塔萨尔为阿根廷作家（国籍待 Codex 核验）,low,与 S1 候选 CAND-PLACE-0004/0051 同名，需 Codex 合并；本批 A 级来源未直接给出科塔萨尔国籍判断，置信度 low,EXT-AI-02
B02-ENT-0026,place,古巴,Cuba,,es,古巴,,B02-SRC-0011,"Alejo Carpentier, autor transcultural. El caso de ""El reino de este mundo""",论文摘要,RFRM 论文首句“El cubano Alejo Carpentier”,high,与 S1 候选 CAND-PLACE-0007/0053/0250 同名，需 Codex 合并,EXT-AI-02
B02-ENT-0027,place,马孔多,Macondo,,es,哥伦比亚（虚构）,,B02-SRC-0004,CVC. Actos culturales. Gabriel García Márquez,数字展页,CVC 页：Aracataca 在马孔多名下“重生”，虚构地点,high,与 S1 候选 CAND-PLACE-0103 同名，需 Codex 合并；虚构地点,EXT-AI-02
B02-ENT-0028,place,阿卡塔卡,Aracataca,,es,哥伦比亚,,B02-SRC-0004,CVC. Actos culturales. Gabriel García Márquez,数字展页,CVC 页：GGM 出生地，加勒比哥伦比亚村落,high,,EXT-AI-02
B02-ENT-0029,movement,魔幻现实主义,realismo mágico,,es,,,B02-SRC-0004,CVC. Actos culturales. Gabriel García Márquez,数字展页,CVC 页明确判断 GGM 为“魔幻现实主义最伟大代表之一”,high,与 S1 候选 CAND-MOV-0001/0060/0103/0154/0200 同名，需 Codex 合并,EXT-AI-02
B02-ENT-0030,movement,美洲神奇现实,lo real maravilloso,lo real maravilloso americano;神奇现实,es,,,B02-SRC-0011,"Alejo Carpentier, autor transcultural. El caso de ""El reino de este mundo""",论文摘要,RFRM 论文：Carpentier 发展出 lo real maravilloso 作为跨文化文学工具,high,R1（REVIEW I-003）：规范实体名“美洲神奇现实（lo real maravilloso）”；与“魔幻现实主义”保持独立，不建立同义或影响关系,EXT-AI-02
B02-ENT-0031,movement,新巴洛克,neobarroco,barroco americano,es,,,B02-SRC-0011,"Alejo Carpentier, autor transcultural. El caso de ""El reino de este mundo""",论文摘要,RFRM 论文：Carpentier 发展 neobarroco 作为文学工具之一,medium,较窄流派概念；与“巴洛克”的区分待 Codex,EXT-AI-02
B02-ENT-0032,theme,伦理与人性,ética y condición humana,,es,,,B02-SRC-0001,Gabriel García Márquez y la ética en Cien años de soledad – I,论文摘要,Javeriana 论文：作品伦理源于圣经神话，反映人性境况,high,,EXT-AI-02
B02-ENT-0033,theme,贫困与政治暴力,miseria y violencia política,,es,,,B02-SRC-0002,Miseria y violencia en El Coronel no tiene quien le escriba,论文摘要,Encuentro 论文直接描述小说中的边缘化、贫困与政治暴力,high,,EXT-AI-02
B02-ENT-0034,theme,罪责与真相的悬置,culpa y verdad suspendida,,es,,,B02-SRC-0003,Un relato sospechoso: Crónica de una muerte anunciada,PDF 首页,Atenea 论文：犯罪仅为前文本，原始之罪归属悬空,high,,EXT-AI-02
B02-ENT-0035,theme,读者参与与反传统叙事,lector activo y narrativa anticanónica,,es,,,B02-SRC-0007,Cortázar: los relatos fragmentados y la importancia de un lector activo,论文摘要,Passagens 论文：碎片叙事与读者积极参与、对抗传统小说观念,high,,EXT-AI-02
B02-ENT-0036,theme,梦境与现实的模糊,sueño y realidad,,es,,,B02-SRC-0006,Esto no es un sueño: los personajes frente al concepto onírico en los primeros cuentos fantásticos de Julio Cortázar,论文摘要,Orbis Tertius 论文：人物与梦境概念的虚假关系,high,,EXT-AI-02
