case_id,area,current_dataset_representation,current_site_representation,issue_type,claimants_or_status,map_a_references,map_b_references,current_risk,recommended_neutral_rendering,label_strategy,boundary_style,fill_strategy,interaction_strategy,legal_compliance_flag,USER_DECISION_REQUIRED,notes
RISK-01,"Falkland Islands / Islas Malvinas 福克兰（马尔维纳斯）群岛","NE 110m separate feature ADM0_A3=FLK; ADMIN=Falkland Islands (English)","Background shape; English-only tooltip; no Chinese label; not interactive","sovereignty_disputed + naming","UK administers; Argentina claims Islas Malvinas; current external status is CANNOT_VERIFY without a retained primary snapshot","MAPSRC-01;MAPSRC-02;MAPSRC-11","MAPSRC-05","MEDIUM-HIGH: English-only naming on a Chinese-language site and no dispute signal","Keep geometry as background; do not color as either claimant; apply only the USER-selected naming and disclaimer policy","Use both names; order and separator remain undecided until D-1 source review (NAME-06)","Same thin neutral stroke as other background territories; dispute pattern only if D-2 permits","Same neutral no-content fill as other L1 background geometry; no claimant color","Not clickable; no country page until a separate content decision","CONDITIONAL","D-1;D-2;D-4","UN primary page URL is recorded in 16 but no retained snapshot; external naming/status is CANNOT_VERIFY. Repository geometry is verified by 02; do not treat the URL mention as completed source verification."
RISK-02,"Guyana–Venezuela / Essequibo 埃塞奎博","De facto control line in current NE-derived geometry; no dispute overlay","Ordinary solid boundary line; no pending-case annotation","unresolved_delimitation + active_controversy","Guyana administers; Venezuela claims; ICJ Case 171 current procedural details are CANNOT_VERIFY without a retained case-page snapshot","MAPSRC-01","MAPSRC-05;MAPSRC-10","MEDIUM: a solid line may be read as a settled legal boundary","Keep de facto line as the base; any overlay or annotation must be selected per case and must not imply a merits ruling","Keep ordinary country labels; add a descriptive case note only if D-3 authorizes it","Solid de facto line by default; D-2 controls any dispute overlay","Neutral fill unchanged","No territory page or claimant-linked interaction","CONDITIONAL","D-2;D-3;D-4","ICJ Case 171 URL/title/date are listed in 16, but the current procedural claims remain CANNOT_VERIFY because no HTML, document capture, or hash is retained."
RISK-03,"Belize–Guatemala 伯利兹-危地马拉","De facto line; current 110m geometry has no dispute overlay","Ordinary solid boundary line","unresolved_delimitation","Historical and ICJ procedural claims are CANNOT_VERIFY without a retained primary case record","MAPSRC-01","MAPSRC-05;MAPSRC-10","MEDIUM-LOW: an ordinary line can hide an unresolved segment","Retain the de facto base line; decide any case-specific note or overlay under D-2/D-3","Standard Chinese labels; no unilateral claimant label","Solid by default; D-2 controls a dispute line","Neutral fill unchanged","No dispute-specific interaction","CONDITIONAL","D-2;D-3;D-4","ICJ Case 177 URL/title/date are recorded in 16 as a candidate primary source; no retained snapshot means external procedural facts are CANNOT_VERIFY."
RISK-04,"French Guiana 法属圭亚那","France feature is absent from the current selected file although the NE family contains French Guiana as a France polygon","Visible hole between Brazil and Suriname","completeness_error","French Guiana's Article 73 DROM and Guyane administrative classification are VERIFIED_PRIMARY in 16; this does not decide sovereignty, boundaries, C-8 scope, or C-3 authorization","MAPSRC-05;MAPSRC-06","MAPSRC-05","HIGH completeness risk: land reads as empty sea","If C-3 and C-8 select inclusion, include the France polygon and describe the area using the verified French administrative classification; do not make it an independent state or infer a boundary decision","Use 法属圭亚那（法国） only if the selected L1 label policy permits a descriptive administrative label (NAME-29)","Normal neutral administrative stroke","Neutral background fill; never an independent-country color","L1 background by C-8; L2 requires a separate content decision","NONE","C-3;C-8","Repository absence is verified by 02. INSEE and 法国海外部 primary records in 16 support only the stated administrative classification; boundary/scope and implementation remain CANNOT_VERIFY."
RISK-05,"Puerto Rico 波多黎各","NE 110m separate feature PRI","Neutral background feature; no interaction; English-only tooltip risk","dependent_territory_status","US sovereignty and local status description are CANNOT_VERIFY in this package","MAPSRC-01;MAPSRC-10","MAPSRC-05","LOW-MEDIUM at current background-only rendering; higher if made interactive","Keep neutral background; if C-6 permits L2, use a descriptive status note without a sovereignty conclusion; any descriptive status requires a C-6 record slot with verified primary URL/title/retrieval date, otherwise use only the Chinese name and omit status","波多黎各; add only a descriptive status note after C-6 primary URL/title/retrieval date review (NAME-24)","Same neutral stroke","Neutral no-content fill","Not interactive unless C-6 and C-8 authorize the L1/L2 path","CONDITIONAL","C-6;C-8","The current geometry/UI facts are in 02; legal/status description is CANNOT_VERIFY and must not be inferred from the presence of the polygon; without the C-6 primary record, only the Chinese name may be shown."
RISK-06,"Aruba / Curaçao / Bonaire（Caribbean NL）","Absent from 110m; 50m/10m candidate features require source/part verification","Nothing rendered at current resolution","dependent_territory + completeness_error","Constituent-country/special-municipality status is CANNOT_VERIFY in this package","MAPSRC-01;MAPSRC-10","MAPSRC-05","LOW at current resolution; completeness risk if C-8 includes these areas","If C-6/C-8 select inclusion, use 50m parts and explicitly attribute the relevant territory to the Netherlands context","Use descriptive names only after the selected L1 label policy; no sovereign implication (NAME-30)","Neutral stroke","Neutral background fill","L1 candidate; L2 remains a content decision","NONE","C-6;C-8","50m feature membership is a candidate research result, not an implementation fact; external status and exact source capture are CANNOT_VERIFY."
RISK-07,"Guadeloupe / Martinique 瓜德罗普/马提尼克","Absent at current 110m selection; 50m France polygons are candidate source evidence","Nothing rendered at current resolution","dependent_territory + literary_relevance","French overseas status and literary relevance claims are CANNOT_VERIFY in this package","MAPSRC-01;MAPSRC-11","MAPSRC-05","MEDIUM if relevant literature is later included and the geometry remains absent","If C-6/C-8 select inclusion, render as France-associated background geometry; L2 still requires a content decision","Use descriptive French-territory labels only after source review","Neutral stroke","Neutral background fill","L1 candidate; L2 only after content approval","NONE","C-6;C-8","Do not use literary relevance as automatic authorization. External status/source claims are CANNOT_VERIFY."
RISK-08,"Antarctic claims 南极主张","No Antarctic claim sectors are merged into Argentina or Chile in the repository asset","Not rendered","territorial_claim_avoidance","Treaty and claimant-status claims are CANNOT_VERIFY; repository omission is verified","MAPSRC-01","MAPSRC-05","NONE for current viewport behavior","Keep claim sectors out of the asset; revisit only if a future literary place requires an explicit scope decision","No labels or claimant colors","Not applicable","Not applicable","No interaction","NONE","NONE","Repository geometry behavior is verified by 02; external treaty/status statements remain CANNOT_VERIFY."
RISK-09,"Bolivia–Chile maritime access 玻利维亚出海口","Land polygons only; no maritime layer","No maritime depiction","historical_dispute_note","The cited ICJ outcome and historical claim are CANNOT_VERIFY without a retained judgment/source capture","MAPSRC-01;MAPSRC-10","MAPSRC-05","NONE at current scale; risk arises only if maritime claims are added","Do not add maritime graphics or text that implies an obligation or entitlement","No special label","No maritime boundary","Neutral fill","No interaction","NONE","NONE","Current absence of a maritime layer is a repository fact; legal outcome is CANNOT_VERIFY."
RISK-10,"Colombia–Nicaragua maritime 哥伦比亚-尼加拉瓜海域","Land geometry only; no maritime lines","No maritime depiction","maritime_delimitation","ICJ 2012/2022 procedural and jurisdictional claims are CANNOT_VERIFY without retained judgments","MAPSRC-01;MAPSRC-10","MAPSRC-05","NONE at current scale","FUTURE_TRIGGER_ONLY: Do not add an EEZ or maritime line without a new D-2/D-3 review; there is no current WCD-09 Gate dependency.","No special label","No maritime boundary","Neutral fill","No interaction","NONE","NONE","FUTURE_TRIGGER_ONLY. Current no-maritime-layer state is repository verified; external legal claims are CANNOT_VERIFY."
