card_id,fact_id,admission_status
V1-CARD-0001,V1-FCT-0001,accepted_for_n2
V1-CARD-0001,V1-FCT-0002,accepted_for_n2
V1-CARD-0001,V1-FCT-0003,accepted_for_n2
V1-CARD-0001,V1-FCT-0004,accepted_for_n2
V1-CARD-0001,V1-FCT-0005,accepted_for_n2
V1-CARD-0001,V1-FCT-0006,accepted_for_n2
V1-CARD-0001,V1-FCT-0007,accepted_for_n2
V1-CARD-0002,V1-FCT-0008,accepted_for_n2
V1-CARD-0002,V1-FCT-0009,accepted_for_n2
V1-CARD-0002,V1-FCT-0010,accepted_for_n2
V1-CARD-0002,V1-FCT-0011,accepted_for_n2
V1-CARD-0002,V1-FCT-0012,accepted_for_n2
V1-CARD-0002,V1-FCT-0050,accepted_for_n2
V1-CARD-0003,V1-FCT-0013,accepted_for_n2
V1-CARD-0003,V1-FCT-0014,accepted_for_n2
V1-CARD-0003,V1-FCT-0015,accepted_for_n2
V1-CARD-0003,V1-FCT-0016,accepted_for_n2
V1-CARD-0003,V1-FCT-0017,accepted_for_n2
V1-CARD-0003,V1-FCT-0048,accepted_for_n2
V1-CARD-0004,V1-FCT-0018,accepted_for_n2
V1-CARD-0004,V1-FCT-0019,accepted_for_n2
V1-CARD-0004,V1-FCT-0020,accepted_for_n2
V1-CARD-0004,V1-FCT-0021,accepted_for_n2
V1-CARD-0004,V1-FCT-0022,accepted_for_n2
V1-CARD-0004,V1-FCT-0023,accepted_for_n2
V1-CARD-0004,V1-FCT-0024,accepted_for_n2
V1-CARD-0004,V1-FCT-0049,accepted_for_n2
V1-CARD-0005,V1-FCT-0025,accepted_for_n2
V1-CARD-0005,V1-FCT-0026,accepted_for_n2
V1-CARD-0005,V1-FCT-0027,accepted_for_n2
V1-CARD-0005,V1-FCT-0028,accepted_for_n2
V1-CARD-0006,V1-FCT-0029,accepted_for_n2
V1-CARD-0006,V1-FCT-0030,accepted_for_n2
V1-CARD-0006,V1-FCT-0031,accepted_for_n2
