source_id,title,author_or_org,url,accessed_at,access_status,language,proposed_level,coverage_works,source_type,notes
B02-SRC-0001,Gabriel García Márquez y la ética en Cien años de soledad – I,"Luis Carlos Herrera Molina, S.J. / Universitas Philosophica (Pontificia Universidad Javeriana, Bogotá)",http://revistas.javeriana.edu.co/index.php/vniphilosophica/article/view/13340,2026-08-10,ok,es,A,Cien años de soledad,journal_article,"2015, vol.32 n.64；同行评审期刊；摘要明确以圣经神话来源的伦理及作品统一结构解读《百年孤独》，可直接支持伦理与人性主题候选"
B02-SRC-0002,Miseria y violencia en El Coronel no tiene quien le escriba,"Gloria Escobar Soriano / Encuentro (Universidad Centroamericana, Managua)",https://revistas.uca.edu.ni/index.php/Encuentro/article/view/3782,2026-08-10,ok,es,A,El coronel no tiene quien le escriba,journal_article,"1999, n.48；同行评审期刊；摘要直接讨论哥伦比亚社会边缘化、贫困、政治暴力与上校的被动抵抗；DOI 10.5377/encuentro.v0i48.3782"
B02-SRC-0003,Un relato sospechoso: Crónica de una muerte anunciada,René Campos / Atenea (Universidad de Concepción),https://revistas.udec.cl/index.php/atenea/article/view/17898,2026-08-10,ok,es,A,Crónica de una muerte anunciada,journal_article,"1998, n.477；同行评审期刊；开放 PDF 首页核验：侦探小说结构反讽、罪责归属悬置；DOI 10.29393/At477-11RSRC10011"
B02-SRC-0004,CVC. Actos culturales. Gabriel García Márquez,Centro Virtual Cervantes (Instituto Cervantes),https://cvc.cervantes.es/actcult/garcia_marquez/,2026-08-10,ok,es,B,Cien años de soledad,institutional_web,CVC 数字展览页：诺贝尔 1982、生于 Aracataca（加勒比哥伦比亚）、Macondo 之名、魔幻现实主义代表判断；ISBN 84-689-6914-1
B02-SRC-0005,The Nobel Prize in Literature 1982,NobelPrize.org (Nobel Prize Outreach),https://www.nobelprize.org/prizes/literature/1982/,2026-08-10,ok,en,B,Cien años de soledad,institutional_web,诺贝尔奖官网 1982 年文学奖页：加西亚·马尔克斯获奖，获奖理由原文（fantastic and realistic 结合、反映大陆生活与冲突），含新闻稿与颁奖演讲链接
B02-SRC-0006,Esto no es un sueño: los personajes frente al concepto onírico en los primeros cuentos fantásticos de Julio Cortázar,Jérôme Dulou / Orbis Tertius (Universidad Nacional de La Plata),https://www.orbistertius.unlp.edu.ar/article/view/ote250,2026-08-10,ok,es,A,Bestiario;Final del juego,journal_article,"2022, vol.27 n.36；同行评审期刊；摘要明确以早期幻想故事（La otra orilla、Bestiario、Final del juego）中的梦境概念为主题判断；DOI 10.24215/18517811e250"
B02-SRC-0007,Cortázar: los relatos fragmentados y la importancia de un lector activo,Eduardo Huarag Álvarez / Passagens (Universidade Federal Fluminense),https://periodicos.uff.br/revistapassagens/article/view/54497,2026-08-10,ok,es,A,Rayuela,journal_article,"2022, vol.14 n.3；同行评审期刊；摘要明确 Rayuela 打破传统小说观念、碎片叙事与读者积极参与；DOI 10.15175/1984-2503-202214302"
B02-SRC-0008,Romance y azar en la ciudad: dos transposiciones de cuentos de Julio Cortázar,Alfredo Dillon / Anclajes (Universidad Nacional de La Pampa),https://cerac.unlpam.edu.ar/index.php/anclajes/article/view/7247,2026-08-10,ok,es,A,（短篇改编：El otro cielo;Manuscrito hallado en un bolsillo）,journal_article,"2024, vol.28 n.2；同行评审期刊；摘要明确分析《El otro cielo》与《Manuscrito hallado en un bolsillo》的影视改编（Der gläserne Himmel 1987、Jogo subterraneo 2005）及导演；DOI 10.19137/anclajes-2024-2829"
B02-SRC-0009,"Jogos de máscaras e dobras do eu: encruzilhadas de leitura(s) a partir de ""Final de juego"" de Julio Cortázar",Stanis David Lacowicz / Anuari de Filologia. Literatures Contemporànies (Universitat de Barcelona),https://revistes.ub.edu/index.php/AFLC/article/view/52790,2026-08-10,ok,pt,A,Final del juego,journal_article,"2025, n.15；同行评审期刊；标题明确以《游戏的终结》短篇集为对象作出“面具游戏与自我之折叠”的主题判断；DOI 10.1344/aflc2025.15.3"
B02-SRC-0010,Dialnet: búsqueda «Cortázar»,Dialnet (Universidad de La Rioja),https://dialnet.unirioja.es/buscar/documentos?querysDismax.DOCUMENTAL_TODO=cortazar,2026-08-10,ok,es,D,Bestiario;Final del juego;Rayuela,reference,"综合学术文献索引（4,684 条命中）；仅作发现线索与书目交叉核验，不作为解释性关系依据"
B02-SRC-0011,"Alejo Carpentier, autor transcultural. El caso de ""El reino de este mundo""",Isabel Araújo Branco / Revista de Filología Románica (Universidad Complutense de Madrid),https://revistas.ucm.es/index.php/RFRM/es/article/view/42604,2026-08-10,ok,es,A,El reino de este mundo,journal_article,"2013, vol.30 n.1；同行评审期刊；摘要明确：Carpentier 为古巴跨文化作者、发展 lo real maravilloso 与 neobarroco、Mackandal 体现神奇现实；DOI 10.5209/rev_rfrm.2013.v30.n1.42604"
B02-SRC-0012,De los pasos perdidos de Alvar Núñez a los Pasos de Alejo Carpentier a través del concepto de la Kehre heideggeriana,Graciela Maturo / Atenea (Universidad de Concepción),https://revistas.udec.cl/index.php/atenea/article/view/17896,2026-08-10,ok,es,A,Los pasos perdidos,journal_article,"1998, n.477；同行评审期刊；开放 PDF 首页核验：以海德格尔 Kehre 解读《消逝的足迹》，“美洲作为去蔽与西方传统的新起点”；DOI 10.29393/At477-9PPGM10009"
B02-SRC-0013,"Objetos de arte, écfrasis y regímenes escópicos en El siglo de las luces (1962) de Alejo Carpentier","Carolina Toledo / Letras (Universidad Nacional Mayor de San Marcos, Lima)",https://revistaletras.unmsm.edu.pe/index.php/le/article/view/2397,2026-08-10,ok,es,A,El siglo de las luces,journal_article,"2024, vol.95 n.142；同行评审期刊；摘要明确以艺术物件/ecfrasis/视觉体制解读小说对启蒙现代性及其对拉美影响的批判；DOI 10.30920/letras.95.142.13"
B02-SRC-0014,Dialnet: búsqueda «Carpentier»,Dialnet (Universidad de La Rioja),https://dialnet.unirioja.es/buscar/documentos?querysDismax.DOCUMENTAL_TODO=carpentier,2026-08-10,ok,es,D,El reino de este mundo;Los pasos perdidos;El siglo de las luces,reference,综合学术文献索引；仅作发现线索与书目交叉核验，不作为解释性关系依据
B02-SRC-0015,Dialnet: búsqueda «El reino de este mundo»,Dialnet (Universidad de La Rioja),https://dialnet.unirioja.es/buscar/documentos?querysDismax.DOCUMENTAL_TODO=%22el+reino+de+este+mundo%22,2026-08-10,ok,es,D,El reino de este mundo,reference,综合学术文献索引；仅作发现线索与书目交叉核验，不作为解释性关系依据
