source_id,title,author_or_org,url,accessed_at,access_status,language,proposed_level,coverage_works,source_type,notes
B03-SRC-0001,"Lima: encierro y evasión en ""La ciudad y los perros"" de Mario Vargas Llosa",Edward Medina Frisancho / Ángulo Recto (Universidad Complutense de Madrid),https://revistas.ucm.es/index.php/ANRE/es/article/view/39278,2026-08-10,ok,es,A,La ciudad y los perros,journal_article,"2012, vol.4 n.1；同行评审期刊；摘要明确以小说提取寓言/象征元素作 20 世纪中叶利马的阐释（困闭与逃避）；DOI 10.5209/rev_anre.2012.v4.n1.39278"
B03-SRC-0002,"El Boom y el fracaso de los intelectuales. Sobre ""Conversación en la Catedral"" (1969) de Vargas Llosa y ""Cien años de soledad"" (1967) de García Márquez",Mercedes Alonso / Catedral Tomada (University of Pittsburgh),https://catedraltomada.pitt.edu/ojs/index.php/catedraltomada/article/view/70,2026-08-10,ok,es,A,Conversación en La Catedral,journal_article,Vol. 2 Núm. 3 (2014)，官方页发布日期 2015-01-14，pp.92-115；同行评审期刊；R1：卷期按官方页修正（REVIEW §3.1）；摘要明确以《酒吧长谈》(1969) 为对象讨论文学爆炸中知识分子的角色与失败，并把小说置于 Boom 语境；DOI 10.5195/ct/2014.70
B03-SRC-0003,"Canudos o la redención de los malditos: La guerra del fin del mundo, de Mario Vargas Llosa",Marcela Crespo Buiturón / Revista Letral (Universidad de Granada),https://revistaseug.ugr.es/index.php/letral/article/view/29760,2026-08-10,ok,es,A,La guerra del fin del mundo,journal_article,"2024, n.34；同行评审期刊；摘要明确：1981 年出版的第六部小说，Consejero（劝世者）人物与整部小说瓦解殖民视角对拉美的解读，标题直接关联卡努杜斯（Canudos）；DOI 10.30827/rl.v0i34.29760"
B03-SRC-0004,Mario Vargas Llosa – Facts,NobelPrize.org (Nobel Prize Outreach),https://www.nobelprize.org/prizes/literature/2010/vargas_llosa/facts/,2026-08-10,ok,en,B,（作者基础事实）,institutional_web,"诺贝尔奖官网 Facts 页：Born 28 March 1936, Arequipa, Peru；Died 13 April 2025, Lima, Peru；Peruvian author；2010 文学奖；1990 年秘鲁总统选举候选人；主要居马德里"
B03-SRC-0005,The Nobel Prize in Literature 2010,NobelPrize.org (Nobel Prize Outreach),https://www.nobelprize.org/prizes/literature/2010/,2026-08-10,ok,en,B,（作者基础事实）,institutional_web,诺贝尔奖官网 2010 年文学奖页：获奖理由原文（structures of power、个体的抵抗/反叛/失败）
B03-SRC-0006,"La experiencia del amor en la obra de Pablo Neruda y Nizar Qabbani. Un estudio comparativo entre los dos poemarios: ""Veinte poemas de amor y una canción desesperada"" y ""Cien cartas de amor""",Adnan Kadhim & Sanaa Shalan / Revista Internacional de Culturas y Literaturas (Universidad de Sevilla),https://institucional.us.es/revistas/Culturas/20/PDF/04_kadhim.pdf,2026-08-10,ok,es,A,Veinte poemas de amor y una canción desesperada,journal_article,"2017, n.20；同行评审期刊；官方开放 PDF 首页摘要核验：以《二十首情诗》为对象比较爱情体验的形成（作者单位：Al al-Bayt 大学/约旦大学）；DOI 10.12795/RICL.2017.i20.04"
B03-SRC-0007,"Interpretación de ""residencia en la tierra"" de Pablo Neruda",Jaime Concha / Atenea (Universidad de Concepción),https://revistas.udec.cl/index.php/atenea/article/view/21831,2026-08-10,ok,es,A,Residencia en la tierra,journal_article,"1972, n.425；同行评审期刊；落地页 200、题名核验（专论《大地上的居所》）；正文摘要本站不可得，作品覆盖以题名为据；DOI 10.29393/at425-9irjc10009"
B03-SRC-0008,Diccionario del Canto General de Pablo Neruda,Manuel Jofré / Anales de la Universidad de Chile,https://anales.uchile.cl/index.php/ANUC/article/view/3409,2026-08-10,ok,es,C,Canto general,other,"2003, n.15；智利大学《年鉴》期刊；R1：官方落地页栏目为 Reseña（书评），按等级规则降为 C，source_type=other，仅作书目/作品题名补充，不支撑事实或关系（REVIEW §3.2）；落地页 200、题名核验"
B03-SRC-0009,Un événement poétique : le Canto General de Pablo Neruda,Noël Salomon / Bulletin Hispanique (Persée),https://www.persee.fr/doc/hispa_0007-4640_1974_num_76_1_4141,2026-08-10,ok,fr,A,Canto general,journal_article,"1974, t.76 n.1-2, pp.92-124；同行评审期刊；开放全文核验：1950 年秋墨西哥 Océano 出版社出版《漫歌》（Rivera/Siqueiros 插图）；DOI 10.3406/hispa.1974.4141"
B03-SRC-0010,« Veinte poemas de amor y una canción desesperada »,Guillermo Araya / Bulletin Hispanique (Persée),https://www.persee.fr/doc/hispa_0007-4640_1982_num_84_1_4464,2026-08-10,ok,es,A,Veinte poemas de amor y una canción desesperada,journal_article,"1982, t.84 n.1-2, pp.145-188；同行评审期刊；开放全文核验：诗集创作过程中曾有两个先前标题；DOI 10.3406/hispa.1982.4464"
B03-SRC-0011,Pablo Neruda – Facts,NobelPrize.org (Nobel Prize Outreach),https://www.nobelprize.org/prizes/literature/1971/neruda/facts/,2026-08-10,ok,en,B,（作者基础事实）,institutional_web,"诺贝尔奖官网 Facts 页：Born 12 July 1904, Parral, Chile；Died 23 September 1973, Santiago, Chile；1971 文学奖；16 岁为记者/作家；外交官（亚欧）；智利共产党参议员；《二十首情诗》《漫歌》为知名作品（后者为关于整个南美大陆的史诗）"
B03-SRC-0012,CVC. Pablo Neruda.（数字展：主展页 + Biografía 页）,Centro Virtual Cervantes (Instituto Cervantes),https://cvc.cervantes.es/literatura/escritores/neruda/,2026-08-10,ok,es,B,Veinte poemas de amor y una canción desesperada;Canto general,institutional_web,CVC 聂鲁达数字展：原名 Neftalí Ricardo Reyes Basoalto；1904-1973；生于帕拉尔、成长于特木科；《二十首情诗》1924 年出版使其国际知名；1927 年起外交生涯；1934-1936 居西班牙；1945 年当选共产党参议员；1971 年诺贝尔奖；《漫歌》为“美洲史诗”（epopeya）；1973-09-11 阿连德被推翻；展览 ISBN 84-689-6899-9；传记子页核验
