temporary_work_id,original_title,name_zh,aliases_zh,translator,publisher,publication_year,isbn,translation_status,verification_source_temporary_id,verification_url,access_date,edition_notes
CAND-D-ENT-07,El libro de arena,《沙之书》,沙之书（博尔赫斯全集单行本）;El libro de arena,王永年,上海译文出版社,2015-7,9787532762927,verified_single_volume,CAND-D-SRC-12,https://book.douban.com/subject/25796049/,2026-08-18,豆瓣书目页核验：上海译文出版社 2015-7 王永年译，ISBN 9787532762927，136 页平装 26 元，丛书「博尔赫斯全集」（上海译文新文本）。豆瓣仅证书目，不作文学事实依据。
CAND-D-ENT-08,El informe de Brodie,《布罗迪报告》,布罗迪报告（博尔赫斯全集单行本）;El informe de Brodie,王永年,上海译文出版社,2015-7,9787532762910,verified_single_volume,CAND-D-SRC-13,https://book.douban.com/subject/25796128/,2026-08-18,豆瓣书目页核验：上海译文出版社 2015-7 王永年译，ISBN 9787532762910，116 页平装 25 元，丛书「博尔赫斯全集」。简介提及集内收《第三者》《小人》等篇（内容线索，仅注于此）。豆瓣仅证书目。
CAND-D-ENT-01,El amor en los tiempos del cólera,《霍乱时期的爱情》,霍乱时期的爱情（新经典文库：加西亚·马尔克斯作品）;El amor en los tiempos del cólera,杨玲,南海出版公司（新经典文化）,2022-5,9787544269087,verified_single_volume,CAND-D-SRC-14,https://book.douban.com/subject/35643308/,2026-08-18,豆瓣书目页核验：南海出版公司 2022-5 杨玲译，ISBN 9787544269087，384 页精装 168 元（El amor en los tiempos del cólera 插画版 Edición ilustrada）。页面另现「2000版/1987版」字样提示旧版存在，本轮未开页。通行初版为南海 2012（线索，未核验，见 ISSUES）。
CAND-D-ENT-02,El otoño del patriarca,《族长的秋天》,族长的秋天（新经典文库：加西亚·马尔克斯作品）;El otoño del patriarca,轩乐,南海出版公司（新经典文化）,2021-11,9787544286060,verified_single_volume,CAND-D-SRC-15,https://book.douban.com/subject/35498119/,2026-08-18,豆瓣书目页核验：南海出版公司 2021-11 轩乐译，ISBN 9787544286060，272 页精装 59 元。作品页「全部版本(16)」提示存在多版（如 2014 初版线索），本轮未逐一开页。
CAND-D-ENT-03,La casa verde,《绿房子》,绿房子（当代外国文学丛书）;La casa verde,孙家孟/马林春,外国文学出版社,1983-8,（书号 10208-141，无 ISBN）,verified_old_edition,CAND-D-SRC-16,https://book.douban.com/subject/1916280/,2026-08-18,豆瓣书目页核验：外国文学出版社 1983-8 孙家孟、马林春译，书号 10208-141，513 页平装 1.25 元，丛书「当代外国文学」。为 1980 年代旧版，标 verified_old_edition；新版（人民文学/上海译文等）线索未核验。
CAND-D-ENT-04,Pantaleón y las visitadoras,《潘达雷昂上尉与劳军女郎》,潘达雷昂上尉和劳军女郎（2021 精装版用名）;Pantaleón y las visitadoras,孙家孟,人民文学出版社（99读书人）,2009-12,9787020077410,verified_single_volume,CAND-D-SRC-17,https://book.douban.com/subject/4140451/,2026-08-18,豆瓣书目页核验：人民文学出版社 2009-12 孙家孟译，ISBN 9787020077410，232 页平装 20 元，丛书「略萨经典文集」。另有 2021-6 精装版《潘达雷昂上尉和劳军女郎》ISBN 9787020159468（豆瓣 subject/34933189 已开页核验，同一实体不同版次，不建重复实体）。
CAND-D-ENT-09,Las armas secretas,《秘密武器》,秘密武器（收入《南方高速》，科塔萨尔短篇小说全集2）;Las armas secretas,金灿/林叶青/陶玉平（合卷译者）,南海出版公司（新经典文化）,2017-10,9787544290678,verified_collection,CAND-D-SRC-18,https://book.douban.com/subject/27079479/,2026-08-18,未发现《秘密武器》独立中译单行本。核验：南海出版公司《南方高速》2017-10 ISBN 9787544290678，440 页精装，Cuentos completos 2；内容简介明确「本卷收录《秘密武器》《克罗诺皮奥和法玛的故事》《万火归一》三部短篇集」。中国作家网转载中华读书报 2017 报道（CAND-D-SRC-22）印证该全集系列出版计划。故标 verified_collection（收入合卷）。
CAND-D-ENT-10,Cien sonetos de amor,《一百首爱情十四行诗》,一百首爱的十四行诗（台版/通行译名）;聶魯達一百首愛的十四行詩（繁体）;Cien sonetos de amor,陈黎/张芬龄,九歌出版社（台北）,1999-6-10,9789575606022,verified_traditional_chinese,CAND-D-SRC-20,https://book.douban.com/subject/1818384/,2026-08-18,豆瓣书目页核验：《聶魯達一百首愛的十四行詩》九歌出版社 1999-6-10 陈黎/张芬龄译，ISBN 9789575606022，236 页 NTD200。译者陈黎个人页（CAND-D-SRC-21）确认九歌另出《聶魯達雙情詩》合并本。简体中文版未核验：线索为《聶魯達情詩》ISBN 9787521750867（三民书局简体书记录，页面 access_blocked，未开页；是否完整覆盖 Cien sonetos de amor 待核）。
CAND-D-ENT-11,Felicidade clandestina,《隐秘的幸福》,隐秘的幸福（短经典精选）;Felicidade Clandestina,闵雪飞,人民文学出版社,2018-4-1,9787020128969,verified_single_volume,CAND-D-SRC-19,https://book.douban.com/subject/30184526/,2026-08-18,豆瓣书目页核验：人民文学出版社 2018-4-1 闵雪飞译，ISBN 9787020128969，162 页法式软精装 39 元，丛书「短经典精选」。注意：原书 Felicidade clandestina（1971）为短篇集，中译单行本系精选集（篇目覆盖范围本轮未开页核验到，edition_notes 记此不确定项）。
CAND-D-ENT-05,El recurso del método,《方法的资源》,方法的根源（通行中译名，见导读/百科类页面）;El recurso del método,（未发现）,（未发现）,（未发现）,（未发现）,not_found,,,2026-08-18,未发现任何已出版中译单行本或合集收录证据。豆瓣作者页（CAND-D-SRC-23，access_pass）列出卡彭铁尔全部中文书目（人间王国/时间之战/光明世纪/追击/卡彭铁尔作品集/千柱之城/拉丁美洲短篇小说选等 19 项）均不含此作；云南人民《卡彭铁尔作品集》1993 仅收《光明世纪》《消逝的足迹》。通行中译名「方法的根源」见于百度百科/导读类站点（CAND-D-SRC-25 线索，access_blocked）。占额决策（无可靠中译本不占额度）交 PM/plan 层。
