entity_id,entity_type,original_name,old_name_zh,new_name_zh,evidence_ids,decision,reason
V1-ENT-0172,author,Jorge Amado,豪尔赫·亚马多,若热·亚马多,WCD03-SRC-01,REPLACE,中国作家网稳定使用的中文作家名
V1-ENT-0187,work,La vida breve,《短暂的生命》,《短暂的生命》,WCD03-SRC-11;WCD03-SRC-02,ALIAS,作家出版社与麦田出版社存在两个真实中文版本题名；保留当前大陆简体版本题名并登记《短暂的一生》为未来 alias/edition-title candidate
V1-ENT-0190,work,El obsceno pájaro de la noche,《夜晚的淫鸟》,《污秽的夜鸟》,WCD03-SRC-03,REPLACE,人民文学出版品题名
V1-ENT-0195,work,Abaddón el exterminador,《阿巴顿，毁灭者》,《毁灭者亚巴顿》,WCD03-SRC-04,REPLACE,四川文艺出版品题名
V1-ENT-0296,author,Samanta Schweblin,萨曼塔·施韦布林,萨曼塔·施维伯林,WCD03-SRC-05;WCD03-SRC-06,REPLACE,多种中文出版品的稳定署名
V1-ENT-0299,work,Distancia de rescate,《救援距离》,《营救距离》,WCD03-SRC-05,REPLACE,人民文学出版品题名
V1-ENT-0300,collection,Pájaros en la boca,《口中之鸟》,《吃鸟的女孩》,WCD03-SRC-06,REPLACE,人民文学出版品题名
V1-ENT-0302,collection,Las cosas que perdimos en el fuego,《我们在火中失去的东西》,《火中遗物》,WCD03-SRC-07,REPLACE,塞万提斯学院北京文化页使用的出版题名
V1-ENT-0303,work,Nuestra parte de noche,《我们的夜晚》,《属于我们的夜晚》,WCD03-SRC-08,REPLACE,外研社出版目录题名
V1-ENT-0304,collection,Los peligros de fumar en la cama,《床上吸烟的危险》,《床上抽烟危险》,WCD03-SRC-09,REPLACE,高校图书馆与出版目录题名
V1-ENT-0306,work,La vida privada de los árboles,《树木的私生活》,《树的隐秘生活》,WCD03-SRC-10,REPLACE,中国作家网与中文出版品题名
V1-ENT-0307,work,Formas de volver a casa,《回家的方式》,《回家的路》,WCD03-SRC-10,REPLACE,中国作家网与中文出版品题名
