entity_id,entity_type,display_name,classification,primary_field,primary_status,auto_approved_fields,user_review_fields,hold_fields,missing_required_fields,facts,direct_sources,content_card,bibliographic_copy_rebase,priority,recommended_action,route,notes
V1-ENT-0001,place,阿根廷,PUBLIC_STRONG,literary_intro,auto_approved,4,0,0,,0,0,no,no,DEFER,KEEP,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0002,author,豪尔赫·路易斯·博尔赫斯,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,2,4,0,,7,1,yes,no,P2,USER_REVIEW_BATCH,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0003,work,《小径分岔的花园》,PUBLIC_BASIC,story_intro,auto_approved,2,4,0,,6,2,yes,no,DEFER,REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0004,work,《阿莱夫》,PUBLIC_BASIC,story_intro,auto_approved,2,4,0,,8,3,yes,no,DEFER,REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0005,author,阿图尔·叔本华,RESEARCH_INSUFFICIENT,reader_lede,missing,0,0,0,reader_lede;literary_profile;literary_connections;why_know;literary_features;start_here,0,0,no,no,P2,RESEARCH_FIRST,WCD-06E_RESEARCH_GAP_HANDOFF,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0006,author,弗兰茨·卡夫卡,RESEARCH_INSUFFICIENT,reader_lede,missing,0,0,0,reader_lede;literary_profile;literary_connections;why_know;literary_features;start_here,0,0,no,no,P2,RESEARCH_FIRST,WCD-06E_RESEARCH_GAP_HANDOFF,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0007,author,吉尔伯特·基思·切斯特顿,RESEARCH_INSUFFICIENT,reader_lede,missing,0,0,0,reader_lede;literary_profile;literary_connections;why_know;literary_features;start_here,0,0,no,no,P2,RESEARCH_FIRST,WCD-06E_RESEARCH_GAP_HANDOFF,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0008,place,阿什格罗夫,RESEARCH_INSUFFICIENT,literary_intro,missing,0,0,0,literary_intro;spatial_meaning;reader_path;exploration_route,0,0,no,no,P2,RESEARCH_FIRST,WCD-06E_RESEARCH_GAP_HANDOFF,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0009,place,加雷街,RESEARCH_INSUFFICIENT,literary_intro,missing,0,0,0,literary_intro;spatial_meaning;reader_path;exploration_route,0,0,no,no,P2,RESEARCH_FIRST,WCD-06E_RESEARCH_GAP_HANDOFF,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0011,collection,《虚构集》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,4,2,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
