relation_id,relation_candidate_id,source_id,source_title,locator,evidence_note,confidence,dispute_status
STG-REL-0001,CAND-S2-REL-0001,SRC-0002,拉丁美洲文学教程（阅读篇）,原书162-168 选文（UNIDAD 8）,教材 UNIDAD 8 选文及小传：叙事作品奠定其世界声誉,high,none
STG-REL-0002,CAND-S2-REL-0002,SRC-0002,拉丁美洲文学教程（阅读篇）,原书169-178 选文（UNIDAD 8）,教材 UNIDAD 8 选文；文内叙述者自称 Borges,high,none
STG-REL-0003,CAND-S2-REL-0003,SRC-0002,拉丁美洲文学教程（阅读篇）,原书161 小传,小传：Ficciones (1944) 令其享誉世界,high,none
STG-REL-0004,CAND-S2-REL-0004,SRC-0002,拉丁美洲文学教程（阅读篇）,原书161 小传,小传：El Aleph (1949) 与 Ficciones (1944) 并列,high,none
STG-REL-0005,CAND-S2-REL-0005,SRC-0009,IMS 李斯佩克朵专题网站,Livro a livro 条目（Água viva）,官网条目：1973；据 1971 手稿改写,high,none
STG-REL-0006,CAND-S2-REL-0006,SRC-0009,IMS 李斯佩克朵专题网站,Livro a livro 条目（A hora da estrela）,官网条目：1977,high,none
STG-REL-0007,CAND-S2-REL-0007,SRC-0009,IMS 李斯佩克朵专题网站,Livro a livro 条目（Laços de família）,官网条目：1960，13 篇,high,none
STG-REL-0008,CAND-S2-REL-0008,SRC-0009,IMS 李斯佩克朵专题网站,Vida 简介,官网简介所列著名作品（1964）,medium,none
STG-REL-0009,CAND-S2-REL-0009,SRC-0010,USP 博士论文（李斯佩克朵晚期小说研究）,论文摘要,USP 论文摘要将之与《活水》《星辰时刻》并列为晚期小说,medium,none
STG-REL-0010,CAND-S2-REL-0010,SRC-0009,IMS 李斯佩克朵专题网站,Livro a livro 条目（A hora da estrela）,条目明确：1985 年同名电影，苏萨娜·阿马拉尔导演,high,none
STG-REL-0011,CAND-S2-REL-0011,SRC-0002,拉丁美洲文学教程（阅读篇）,原书163-164,正文：余准在阿什格罗夫下车，循岔路至艾伯特宅,medium,none
STG-REL-0012,CAND-S2-REL-0012,SRC-0002,拉丁美洲文学教程（阅读篇）,原书169-178,正文：藏有阿莱夫的房屋位于加雷街,medium,none
STG-REL-0013,CAND-S2-REL-0013,SRC-0009,IMS 李斯佩克朵专题网站,Livro a livro 条目,条目：东北部移民少女玛卡贝娅“no Rio”,medium,none
STG-REL-0014,CAND-S2-REL-0014,SRC-0002,拉丁美洲文学教程（阅读篇）,原书161 小传,"小传题注 (1899-1986, Argentina)",high,none
STG-REL-0015,CAND-S2-REL-0020,SRC-0009,IMS 李斯佩克朵专题网站,Livro a livro 条目（A hora da estrela）,条目：社会不平等、残酷、语言与艺术创作,medium,none
STG-REL-0015,CAND-S2-REL-0021,SRC-0012,UNESP 期刊文章（虚构面具）,论文摘要,摘要：社会参与文学的悖论——替穷人说话的叙述者；贫穷人物始终沉默,medium,none
