evidence_id,relationship_id,origin_evidence_id,source_id,source_title,locator,evidence_note,confidence,evidence_status,evidence_origin
V1-EV-0001,V1-REL-0001,CAND-S2-REL-0001,SRC-0002,拉丁美洲文学教程（阅读篇）,原书162-168 选文（UNIDAD 8）,教材 UNIDAD 8 选文及小传：叙事作品奠定其世界声誉,high,eligible_evidence,A06_PRE
V1-EV-0002,V1-REL-0002,CAND-S2-REL-0002,SRC-0002,拉丁美洲文学教程（阅读篇）,原书169-178 选文（UNIDAD 8）,教材 UNIDAD 8 选文；文内叙述者自称 Borges,high,eligible_evidence,A06_PRE
V1-EV-0003,V1-REL-0003,CAND-S2-REL-0003,SRC-0002,拉丁美洲文学教程（阅读篇）,原书161 小传,小传：Ficciones (1944) 令其享誉世界,high,eligible_evidence,A06_PRE
V1-EV-0004,V1-REL-0004,CAND-S2-REL-0004,SRC-0002,拉丁美洲文学教程（阅读篇）,原书161 小传,小传：El Aleph (1949) 与 Ficciones (1944) 并列,high,eligible_evidence,A06_PRE
V1-EV-0005,V1-REL-0005,CAND-S2-REL-0005,SRC-0009,IMS 李斯佩克朵专题网站,Livro a livro 条目（Água viva）,官网条目：1973；据 1971 手稿改写,high,eligible_evidence,A06_PRE
V1-EV-0006,V1-REL-0006,CAND-S2-REL-0006,SRC-0009,IMS 李斯佩克朵专题网站,Livro a livro 条目（A hora da estrela）,官网条目：1977,high,eligible_evidence,A06_PRE
V1-EV-0007,V1-REL-0007,CAND-S2-REL-0007,SRC-0009,IMS 李斯佩克朵专题网站,Livro a livro 条目（Laços de família）,官网条目：1960，13 篇,high,eligible_evidence,A06_PRE
V1-EV-0008,V1-REL-0008,CAND-S2-REL-0008,SRC-0009,IMS 李斯佩克朵专题网站,Vida 简介,官网简介所列著名作品（1964）,medium,eligible_evidence,A06_PRE
V1-EV-0009,V1-REL-0009,CAND-S2-REL-0009,SRC-0010,USP 博士论文（李斯佩克朵晚期小说研究）,论文摘要,USP 论文摘要将之与《活水》《星辰时刻》并列为晚期小说,medium,eligible_evidence,A06_PRE
V1-EV-0010,V1-REL-0010,CAND-S2-REL-0010,SRC-0009,IMS 李斯佩克朵专题网站,Livro a livro 条目（A hora da estrela）,条目明确：1985 年同名电影，苏萨娜·阿马拉尔导演,high,eligible_evidence,A06_PRE
V1-EV-0011,V1-REL-0011,CAND-S2-REL-0011,SRC-0002,拉丁美洲文学教程（阅读篇）,原书163-164,正文：余准在阿什格罗夫下车，循岔路至艾伯特宅,medium,eligible_evidence,A06_PRE
V1-EV-0012,V1-REL-0012,CAND-S2-REL-0012,SRC-0002,拉丁美洲文学教程（阅读篇）,原书169-178,正文：藏有阿莱夫的房屋位于加雷街,medium,eligible_evidence,A06_PRE
V1-EV-0013,V1-REL-0013,CAND-S2-REL-0013,SRC-0009,IMS 李斯佩克朵专题网站,Livro a livro 条目,条目：东北部移民少女玛卡贝娅“no Rio”,medium,eligible_evidence,A06_PRE
V1-EV-0014,V1-REL-0014,CAND-S2-REL-0014,SRC-0002,拉丁美洲文学教程（阅读篇）,原书161 小传,"小传题注 (1899-1986, Argentina)",high,eligible_evidence,A06_PRE
V1-EV-0015,V1-REL-0015,CAND-S2-REL-0020,SRC-0009,IMS 李斯佩克朵专题网站,Livro a livro 条目（A hora da estrela）,条目：社会不平等、残酷、语言与艺术创作,medium,eligible_evidence,A06_PRE
V1-EV-0016,V1-REL-0015,CAND-S2-REL-0021,SRC-0012,UNESP 期刊文章（虚构面具）,论文摘要,摘要：社会参与文学的悖论——替穷人说话的叙述者；贫穷人物始终沉默,medium,eligible_evidence,A06_PRE
V1-EV-0017,V1-REL-0016,B01-REL-0001,SRC-0017,Elena Garro - Detalle del autor,,词条所列作品（1963）,high,eligible_evidence,A06_PRE
V1-EV-0018,V1-REL-0017,B01-REL-0002,SRC-0021,La semana de colores: cuentos - Detalle de la obra,,作品页署名作者,high,eligible_evidence,A06_PRE
V1-EV-0019,V1-REL-0018,B01-REL-0003,SRC-0017,Elena Garro - Detalle del autor,,词条所列作品（1981）,medium,eligible_evidence,A06_PRE
V1-EV-0020,V1-REL-0019,B01-REL-0004,SRC-0022,Rosario Castellanos - Detalle del autor,,词条所列作品（1957）,high,eligible_evidence,A06_PRE
V1-EV-0021,V1-REL-0020,B01-REL-0005,SRC-0022,Rosario Castellanos - Detalle del autor,,词条所列作品（1962）,high,eligible_evidence,A06_PRE
V1-EV-0022,V1-REL-0021,B01-REL-0006,SRC-0022,Rosario Castellanos - Detalle del autor,,词条所列作品（1972）,high,eligible_evidence,A06_PRE
V1-EV-0023,V1-REL-0022,B01-REL-0007,SRC-0027,Juan Rulfo - Detalle del autor,,词条所列作品（1955）,high,eligible_evidence,A06_PRE
V1-EV-0024,V1-REL-0023,B01-REL-0008,SRC-0027,Juan Rulfo - Detalle del autor,,词条所列作品（1953）,high,eligible_evidence,A06_PRE
V1-EV-0025,V1-REL-0024,B01-REL-0009,SRC-0027,Juan Rulfo - Detalle del autor,,词条：写于1958、出版1980,high,eligible_evidence,A06_PRE
V1-EV-0026,V1-REL-0025,B01-REL-0010,SRC-0022,Rosario Castellanos - Detalle del autor,,词条所列作品（1975 遗作）,medium,eligible_evidence,A06_PRE
V1-EV-0027,V1-REL-0026,B01-REL-0011,SRC-0017,Elena Garro - Detalle del autor,,词条所列作品,medium,eligible_evidence,A06_PRE
V1-EV-0028,V1-REL-0027,B01-REL-0012,SRC-0021,La semana de colores: cuentos - Detalle de la obra,,词条明示收录关系,medium,eligible_evidence,A06_PRE
V1-EV-0029,V1-REL-0028,B01-REL-0013,SRC-0020,Los recuerdos del porvenir - Detalle de la obra,,作品页：1968 年由 Arturo Ripstein 搬上银幕,high,eligible_evidence,A06_PRE
V1-EV-0030,V1-REL-0029,B01-REL-0014,SRC-0020,Los recuerdos del porvenir - Detalle de la obra,,作品页明示导演,high,eligible_evidence,A06_PRE
V1-EV-0031,V1-REL-0030,B01-REL-0015,SRC-0023,Balún-Canán (FCE 产品页),,FCE 产品页（ISBN 9789681683030）,high,eligible_evidence,A06_PRE
V1-EV-0032,V1-REL-0031,B01-REL-0016,SRC-0029,Pedro Páramo - Detalle de la obra,,作品页书目,medium,eligible_evidence,A06_PRE
V1-EV-0033,V1-REL-0032,B01-REL-0017,SRC-0020,Los recuerdos del porvenir - Detalle de la obra,,作品页简介,high,eligible_evidence,A06_PRE
V1-EV-0034,V1-REL-0033,B01-REL-0018,SRC-0023,Balún-Canán (FCE 产品页),,FCE 页：poblado chiapaneco,high,eligible_evidence,A06_PRE
V1-EV-0035,V1-REL-0034,B01-REL-0019,SRC-0029,Pedro Páramo - Detalle de la obra,,作品页简介,high,eligible_evidence,A06_PRE
V1-EV-0036,V1-REL-0035,B01-REL-0020,SRC-0017,Elena Garro - Detalle del autor,,词条（国籍/生平）,high,eligible_evidence,A06_PRE
