relation_id,relation_candidate_id,source_id,source_title,locator,evidence_note,confidence,dispute_status
HOLD-REL-0001,CAND-S2-REL-0015,SRC-0002,拉丁美洲文学教程（阅读篇）,原书161 小传,小传：1919 年西班牙接触，1921 年回国传播，30 年代放弃其要旨,medium,needs_second_source
HOLD-REL-0002,CAND-S2-REL-0016,SRC-0002,拉丁美洲文学教程（阅读篇）,原书166-168,正文：艾伯特解说崔朋小说即时间分岔的迷宫,medium,needs_second_source
HOLD-REL-0003,CAND-S2-REL-0017,SRC-0002,拉丁美洲文学教程（阅读篇）,原书175-176,正文：语言是符号字母表，无法传达无限之阿莱夫,medium,needs_second_source
HOLD-REL-0004,CAND-S2-REL-0018,SRC-0002,拉丁美洲文学教程（阅读篇）,原书178,正文结尾：叙述者自认正逐渐遗忘贝亚特丽斯的容貌,medium,needs_second_source
HOLD-REL-0005,CAND-S2-REL-0019,SRC-0009,IMS 李斯佩克朵专题网站,Livro a livro 条目（Água viva）,条目直接支持：时间与“instante-já”、流逝的当下、沉默、创作与女性声音,medium,needs_second_source
HOLD-REL-0006,CAND-S2-REL-0022,SRC-0009,IMS 李斯佩克朵专题网站,Livro a livro 条目（Laços de família）,条目：城市与家庭场景、亲密关系、沉默与揭示时刻,medium,needs_second_source
HOLD-REL-0007,CAND-S2-REL-0023,SRC-0013,UESB 期刊文章（21世纪读李斯佩克朵）,论文摘要,摘要：约六十年前创造的女性人物至今仍有共鸣,medium,needs_second_source
HOLD-REL-0008,CAND-S2-REL-0025,SRC-0002,拉丁美洲文学教程（阅读篇）,原书161 小传、原书168,小传列其思想影响；《小径分岔的花园》正文以叔本华作时间观对比,medium,needs_second_source
HOLD-REL-0009,CAND-S2-REL-0026,SRC-0002,拉丁美洲文学教程（阅读篇）,原书161 小传,小传：深刻影响其思想与文学生涯的作家之一,medium,needs_second_source
HOLD-REL-0010,CAND-S2-REL-0027,SRC-0002,拉丁美洲文学教程（阅读篇）,原书161 小传,小传：深刻影响其思想与文学生涯的作家之一,medium,needs_second_source
HOLD-REL-0011,CAND-S2-REL-0024,SRC-0011,SciELO 期刊文章（升华与女性）,正文小节与摘要,文章主张不以“女性意义”解读李斯佩克朵写作，而视其为思考女性主体化的方式；提出“气息美学”（低语、间歇、沉默、文本呼吸）,medium,needs_second_source
