temporary_id,title,original_title,author_or_editor,translator,publisher,publication_year,isbn,format,page_count,language,source_level,processing_status,source_task,public_content_scope,local_asset_status,persistent_id,canonical_url,access_status,access_date,used_for
CAND-C-SRC-001,Octavio Paz – Facts,Octavio Paz – Facts,Nobel Prize Outreach,,NobelPrize.org,持续更新,,web 页面,,en,A,access_pass,WEB-CE-B01,公开,none,,https://www.nobelprize.org/prizes/literature/1990/paz/facts/,access_pass,2026-08-18,作者出生/逝世/出生地/获奖时居住国/语言/诺奖动机/《孤独的迷宫》1950 随笔集/诗人·记者·译者·外交官生涯/超现实主义影响/《Vuelta》《El hijo pródigo》杂志
CAND-C-SRC-002,The Nobel Prize in Literature 1990,The Nobel Prize in Literature 1990,Nobel Prize Outreach,,NobelPrize.org,1990,,web 页面,,en,A,access_pass,WEB-CE-B01,公开,none,,https://www.nobelprize.org/prizes/literature/1990/,access_pass,2026-08-18,1990 年诺贝尔文学奖授予帕斯及授奖理由（事件候选与 award 事实）
CAND-C-SRC-003,Octavio Paz – Bibliography,Octavio Paz – Bibliography,Nobel Prize Outreach,,NobelPrize.org,持续更新,,web 页面,,en,A,access_pass,WEB-CE-B01,公开,none,,https://www.nobelprize.org/prizes/literature/1990/paz/bibliography/,access_pass,2026-08-18,Piedra de sol 初版 Tezontle 1957/La estación violenta FCE 1958/英译本 The Bow and the Lyre 1973/英译 The Labyrinth of Solitude 1985
CAND-C-SRC-004,About Octavio Paz,About Octavio Paz,Academy of American Poets,,poets.org,持续更新,,web 页面,,en,B,access_pass,WEB-CE-B01,公开,none,,https://poets.org/poet/octavio-paz,access_pass,2026-08-18,三部作品书目年/青年创办先锋派杂志 Barandal/受现代主义与超现实主义影响/Cervantes 1981·Neustadt 1982·Nobel 1990/1962 驻印度大使 1968 辞职/出生逝世均墨西哥城
CAND-C-SRC-005,内蒙古大学图书馆 OPAC《孤独的迷宫》书目记录,孤独的迷宫,奥克塔维奥·帕斯,赵振江、王秋石等译,北京燕山出版社,2014,978-7-5402-3630-4,图书（精装）,15+379 页,zh,B,access_pass,WEB-CE-B01,公开,none,,http://202.207.7.100:8080/opac/item.php?marc_no=0001053779,access_pass,2026-08-18,中译核验：《孤独的迷宫》中文单行本（译者/出版社/年份/ISBN/统一题名 Laberinto de la soledad/丛书「天下大师·帕斯作品」/MARC 提要）
CAND-C-SRC-006,豆瓣读书《弓与琴》书目页,弓与琴,奥克塔维奥·帕斯,赵振江 等,北京燕山出版社,2014-10-1,9787540236311,图书（精装）,528 页,zh,D,access_pass,WEB-CE-B01,公开,none,,https://book.douban.com/subject/25946465/,access_pass,2026-08-18,中译核验：《弓与琴》中文单行本（仅证中文版存在与书目信息，不作文学事实/解释依据）
CAND-C-SRC-007,Encyclopaedia Britannica: Octavio Paz,Octavio Paz,Encyclopaedia Britannica,,,持续修订,,web 页面,,en,B,access_blocked,WEB-CE-B01,公开,none,,https://www.britannica.com/biography/Octavio-Paz,access_blocked,2026-08-18,拟作作者传记与先锋派关联第二来源；HTTP 403，两次重试失败，未取得内容
CAND-C-SRC-008,Poetry Foundation: Octavio Paz,Octavio Paz,Poetry Foundation,,,持续更新,,web 页面,,en,B,access_blocked,WEB-CE-B01,公开,none,,https://www.poetryfoundation.org/poets/octavio-paz,access_blocked,2026-08-18,拟作作者第二来源；HTTP 403，未取得内容
CAND-C-SRC-009,Biblio 书志页：Piedra de sol (1957),Piedra de Sol,PAZ Octavio,,,1957,,web 页面,,en,C,access_blocked,WEB-CE-B01,公开,none,,https://www.biblio.com/details.php?dcx=1751049225,access_blocked,2026-08-18,拟证 Piedra de sol 1957 初版；HTTP 403，未取得内容
CAND-C-SRC-010,Open Library: Piedra de sol,Piedra de sol,Open Library,,,1957,,web 页面,,en,C,access_blocked,WEB-CE-B01,公开,none,,https://openlibrary.org/books/OL6254312M/Piedra_de_sol.,access_blocked,2026-08-18,拟证 Piedra de sol 书目；连接超时，未取得内容
