candidate_id,seed_fact_id,subject_id,subject_name,relation_type,object_id,object_name,source_id,source_title,source_level,source_locator,identity_validation,endpoint_validation,direct_support_validation,duplicate_validation,candidate_status,validation_note
WCD05-CS04-01,V1-FCT-0079,V1-ENT-0047,弗朗西斯科·罗萨斯,APPEARS_IN,V1-ENT-0032,《未来的回忆》,SRC-0020,Los recuerdos del porvenir - Detalle de la obra,B,"ELEM obra 3408, character discussion naming Francisco Rosas",existing character and exact original-name match,character to work PASS,direct institutional work-level support,PASS no existing triple,READY_FOR_REVIEW,"Corrected candidate work: source supports Los recuerdos del porvenir; reject the proposed La muerte de Artemio Cruz mapping"
WCD05-CS04-02,V1-FCT-0079,V1-ENT-0048,胡利娅·安德拉德,APPEARS_IN,V1-ENT-0032,《未来的回忆》,SRC-0020,Los recuerdos del porvenir - Detalle de la obra,B,"ELEM obra 3408, character discussion naming Julia Andrade",existing character and exact original-name match,character to work PASS,direct institutional work-level support,PASS no existing triple,READY_FOR_REVIEW,"Corrected candidate work: source supports Los recuerdos del porvenir; reject the proposed La muerte de Artemio Cruz mapping"
WCD05-CS04-03,V1-FCT-0106,V1-ENT-0049,胡安·普雷西亚多,APPEARS_IN,V1-ENT-0038,《佩德罗·巴拉莫》,SRC-0029,Pedro Páramo - Detalle de la obra,B,"ELEM obra 2838, character and narrator discussion naming Juan Preciado",existing character and exact original-name match,character to work PASS,direct institutional work-level support,PASS no existing triple,READY_FOR_REVIEW,Seed split into one candidate for this character
WCD05-CS04-04,V1-FCT-0106,V1-ENT-0050,佩德罗·巴拉莫（人物）,APPEARS_IN,V1-ENT-0038,《佩德罗·巴拉莫》,SRC-0029,Pedro Páramo - Detalle de la obra,B,"ELEM obra 2838, title-character discussion naming Pedro Páramo",existing character disambiguated from same-name work,character to work PASS,direct institutional work-level support,PASS no existing triple,READY_FOR_REVIEW,Character and work endpoints remain distinct despite identical original name
WCD05-CS04-05,V1-FCT-0137,V1-ENT-0091,上校（《没有人给他写信的上校》人物）,APPEARS_IN,V1-ENT-0076,《没有人给他写信的上校》,SRC-0033,Miseria y violencia en El Coronel no tiene quien le escriba,A,"article abstract, the colonel awaiting the letter",existing character disambiguated by work-qualified display name,character to work PASS,direct scholarly work-level support,PASS no existing triple,READY_FOR_REVIEW,Seed split into one candidate for this character
WCD05-CS04-06,V1-FCT-0137,V1-ENT-0092,奥古斯丁,APPEARS_IN,V1-ENT-0076,《没有人给他写信的上校》,SRC-0033,Miseria y violencia en El Coronel no tiene quien le escriba,A,"article abstract, identifies Agustín as the colonel's dead son",existing character and exact original-name match,character to work PASS,direct scholarly work-level support,PASS no existing triple,READY_FOR_REVIEW,Seed split into one candidate for this character
WCD05-CS04-07,V1-FCT-0142,V1-ENT-0090,圣地亚哥·纳萨尔,APPEARS_IN,V1-ENT-0077,《一桩事先张扬的凶杀案》,SRC-0034,Un relato sospechoso: Crónica de una muerte anunciada,A,"work-specific article, analysis naming Santiago Nasar",existing character and exact original-name match,character to work PASS,direct scholarly work-level support,PASS no existing triple,READY_FOR_REVIEW,Existing formal fact-source linkage retained
WCD05-CS04-08,V1-FCT-0156,V1-ENT-0093,马康达尔,APPEARS_IN,V1-ENT-0079,《人间王国》,SRC-0041,"Alejo Carpentier, autor transcultural. El caso de ""El reino de este mundo""",A,"article full text, character discussion naming Mackandal",existing character and exact original-name match,character to work PASS,direct scholarly work-level support,PASS no existing triple,READY_FOR_REVIEW,Seed split into one candidate for this character
WCD05-CS04-09,V1-FCT-0156,V1-ENT-0094,亨利·克里斯托夫,APPEARS_IN,V1-ENT-0079,《人间王国》,SRC-0041,"Alejo Carpentier, autor transcultural. El caso de ""El reino de este mundo""",A,"article full text, character discussion naming Henri Christophe",existing character and exact original-name match,character to work PASS,direct scholarly work-level support,PASS no existing triple,READY_FOR_REVIEW,Seed split into one candidate for this character
WCD05-CS04-10,V1-FCT-0196,V1-ENT-0141,劝世者,APPEARS_IN,V1-ENT-0118,《世界末日之战》,SRC-0046,"Canudos o la redención de los malditos: La guerra del fin del mundo, de Mario Vargas Llosa",A,"work-specific article, analysis naming el Consejero",existing character and exact original-name match,character to work PASS,direct scholarly work-level support,PASS no existing triple,READY_FOR_REVIEW,Existing formal fact-source linkage retained
