relationship_id,origin_layer,origin_relation_group_id,subject_id,relation_type,object_id,description_zh,confidence,review_status,upstream_review_status,evidence_count,issue_code
V1-REL-0001,N2,RG-S2-0001,V1-ENT-0002,CREATED,V1-ENT-0003,博尔赫斯创作短篇《小径分岔的花园》,high,accepted_at_n3,accepted_for_n2,2,NONE
V1-REL-0002,N2,RG-S2-0002,V1-ENT-0002,CREATED,V1-ENT-0004,博尔赫斯创作短篇《阿莱夫》,high,accepted_at_n3,accepted_for_n2,2,NONE
V1-REL-0003,N2,RG-S2-0003,V1-ENT-0002,CREATED,V1-ENT-0011,博尔赫斯创作短篇集《虚构集》,high,accepted_at_n3,accepted_for_n2,1,NONE
V1-REL-0004,N2,RG-S2-0004,V1-ENT-0002,CREATED,V1-ENT-0012,博尔赫斯创作 1949 年作品集《阿莱夫》,high,accepted_at_n3,accepted_for_n2,1,NONE
V1-REL-0005,N2,RG-S2-0005,V1-ENT-0016,CREATED,V1-ENT-0017,李斯佩克朵创作《活水》,high,accepted_at_n3,accepted_for_n2,1,NONE
V1-REL-0006,N2,RG-S2-0006,V1-ENT-0016,CREATED,V1-ENT-0018,李斯佩克朵创作《星辰时刻》,high,accepted_at_n3,accepted_for_n2,1,NONE
V1-REL-0007,N2,RG-S2-0007,V1-ENT-0016,CREATED,V1-ENT-0019,李斯佩克朵创作短篇集《家庭纽带》,high,accepted_at_n3,accepted_for_n2,1,NONE
V1-REL-0008,N2,RG-S2-0008,V1-ENT-0016,CREATED,V1-ENT-0020,李斯佩克朵创作《G.H. 受难》,medium,accepted_at_n3,accepted_for_n2,1,NONE
V1-REL-0009,N2,RG-S2-0009,V1-ENT-0016,CREATED,V1-ENT-0026,李斯佩克朵创作《生命的气息》,medium,accepted_at_n3,accepted_for_n2,1,NONE
V1-REL-0010,N2,RG-S2-0011,V1-ENT-0021,ADAPTED_FROM,V1-ENT-0018,1985 年电影《星辰时刻》改编自同名原著,high,accepted_at_n3,accepted_for_n2,1,端点 0092 为 adaptation，与原著 0088 分层（REVIEW 3.3）；导演关系本轮词表无 DIRECTED，不建
V1-REL-0011,N2,RG-S2-0013,V1-ENT-0003,SET_IN,V1-ENT-0008,《小径分岔的花园》故事发生于阿什格罗夫村,medium,accepted_at_n3,accepted_for_n2,1,NONE
V1-REL-0012,N2,RG-S2-0014,V1-ENT-0004,SET_IN,V1-ENT-0009,《阿莱夫》故事核心地点为布宜诺斯艾利斯加雷街,medium,accepted_at_n3,accepted_for_n2,1,NONE
V1-REL-0013,N2,RG-S2-0015,V1-ENT-0018,SET_IN,V1-ENT-0022,《星辰时刻》故事背景包含里约热内卢,medium,accepted_at_n3,accepted_for_n2,1,NONE
V1-REL-0014,N2,RG-S2-0016,V1-ENT-0002,ASSOCIATED_WITH_PLACE,V1-ENT-0001,博尔赫斯与阿根廷关联,high,accepted_at_n3,accepted_for_n2,1,NONE
V1-REL-0015,N2,RG-S2-0022,V1-ENT-0018,EXPLORES_THEME,V1-ENT-0025,《星辰时刻》涉及社会不平等与书写,medium,accepted_at_n3,accepted_for_n2,2,双来源组（SRC-0009+SRC-0012），本轮唯一双来源解释关系
V1-REL-0016,B01,RG-B01-0001,V1-ENT-0029,CREATED,V1-ENT-0032,加罗创作《未来的回忆》,high,accepted_at_n3,eligible_for_staging_review,1,NONE
V1-REL-0017,B01,RG-B01-0002,V1-ENT-0029,CREATED,V1-ENT-0033,加罗创作短篇集《彩色的一周》,high,accepted_at_n3,eligible_for_staging_review,1,NONE
V1-REL-0018,B01,RG-B01-0003,V1-ENT-0029,CREATED,V1-ENT-0034,加罗创作《关于玛丽安娜的证词》,medium,accepted_at_n3,eligible_for_staging_review,1,NONE
V1-REL-0019,B01,RG-B01-0004,V1-ENT-0030,CREATED,V1-ENT-0035,卡斯特利亚诺斯创作《巴伦坎南》,high,accepted_at_n3,eligible_for_staging_review,1,NONE
V1-REL-0020,B01,RG-B01-0005,V1-ENT-0030,CREATED,V1-ENT-0036,卡斯特利亚诺斯创作《黑暗的职守》,high,accepted_at_n3,eligible_for_staging_review,1,NONE
