rank,candidate_id,author_id,author_name,original_title,name_zh_candidate,recommended_entity_type,first_publication_year,canonical_importance,current_coverage_gap,source_quality,chinese_reader_value,relationship_reuse,research_richness,duplicate_hierarchy_risk,integration_cost,score_100,proposed_disposition,reason
1,WCD07B-W01,V1-ENT-0322,索尔·胡安娜·伊内斯·德·拉·克鲁斯,Inundación castálida,《卡斯塔利达的洪流》,collection,1689,10,8,9,7,8,7,7,8,83,PROPOSED_PASS,"原始版本记录与独立中文学术来源可支持身份、年份和中文显示；不推断《第一梦》为既有子项"
2,WCD07B-W02,V1-ENT-0310,尼古拉斯·纪廉,Cantos para soldados y sones para turistas,《给士兵的歌·给游客的颂调》,collection,1937,9,8,9,6,8,7,9,9,82,PROPOSED_PASS,"Britannica与BVMC可独立支持作者、诗集身份和1937年；中文仅作显示译名"
3,WCD07B-W03,V1-ENT-0073,胡利奥·科塔萨尔,Todos los fuegos el fuego,《万火归一》,collection,1966,10,7,9,9,8,8,5,7,81,PROPOSED_PASS,"BnF与BVMC可支持1966原语短篇集；已有《另一个天空》仅构成子项重叠，不重建子篇且暂不建CONTAINS_WORK"
4,WCD07B-W04,V1-ENT-0059,奥克塔维奥·帕斯,Los hijos del limo,《泥淖之子：现代诗歌从浪漫主义到先锋派》,work,1974,9,8,4,7,8,8,8,8,68,DEFER,"现有材料未形成两项独立直接A/B书目来源；讲座结集与中文译名仍待核"
5,WCD07B-W05,V1-ENT-0002,豪尔赫·路易斯·博尔赫斯,"El otro, el mismo","《另一个，同一个》",collection,1964,9,5,4,8,8,8,8,8,65,DEFER,"当前包缺少两项独立直接A/B原始书目；与《阿莱夫》两层虽无重叠但仍需正式来源"
6,WCD07B-W06,V1-ENT-0273,里卡多·皮格利亚,La ciudad ausente,《缺席的城市》,work,1992,9,8,4,8,8,8,8,8,68,DEFER,"缺原语权威书目双来源；2022中译本只能作为edition线索"
7,WCD07B-W07,V1-ENT-0238,马里奥·贝内德蒂,Primavera con una esquina rota,《破角的春天》,work,1982,8,8,4,8,8,7,8,8,67,DEFER,"缺原语A/B双来源；书信体或多声部不改变work类型但尚不迁移"
8,WCD07B-W08,V1-ENT-0272,爱德华多·加莱亚诺,Memoria del fuego II: Caras y máscaras,《火的记忆Ⅱ：面孔与面具》,collection,1984,9,9,4,8,8,8,5,7,74,DEFER,"应作为与卷I平行的独立卷而非series；书目与中文edition证据尚未达到双来源门槛"
9,WCD07B-W09,V1-ENT-0272,爱德华多·加莱亚诺,Memoria del fuego III: El siglo del viento,《火的记忆Ⅲ：风的世纪》,collection,1986,9,9,4,8,8,8,5,7,74,DEFER,"应作为与卷I/II平行的独立卷而非series；书目与中文edition证据尚未达到双来源门槛"
10,WCD07B-W10,V1-ENT-0114,马里奥·巴尔加斯·略萨,La tía Julia y el escribidor,《胡利娅姨妈和作家》,work,1977,9,5,4,8,8,8,9,9,67,DEFER,"身份风险低但本包未补齐原作与中文正式版本的独立可靠来源"
11,WCD07B-W11,V1-ENT-0115,巴勃罗·聂鲁达,Odas elementales,《元素颂》,collection,1954,9,5,4,7,8,8,8,8,65,DEFER,"独立诗集层级清楚且不与《漫歌》混同；仍缺两项直接书目来源与可靠中文版本核证"
12,WCD07B-W12,V1-ENT-0262,罗贝托·波拉尼奥,Nocturno de Chile,《智利之夜》,work,2000,9,8,4,9,8,8,7,8,71,DEFER,"独立西语中篇而非中文选编或身后汇编；现有译者和出版信息主要为C级"
13,WCD07B-W13,V1-ENT-0016,克拉丽丝·李斯佩克朵,Perto do coração selvagem,《濒临狂野的心》,work,1944,9,4,4,9,8,8,8,8,66,DEFER,"作者现有覆盖较高；原作年份和多个正式中文题名需补独立A/B来源"
14,WCD07B-W14,V1-ENT-0072,加西亚·马尔克斯,Del amor y otros demonios,《爱情和其他魔鬼》,work,1994,9,5,4,9,8,8,8,8,68,DEFER,"中文市场价值高但当前中文书目主要为C级，未达到正式准入门槛"
15,WCD07B-W15,V1-ENT-0072,加西亚·马尔克斯,La hojarasca,《枯枝败叶》,work,1955,9,5,4,9,8,8,8,8,68,DEFER,"与马孔多作品互文不等于层级重叠；仍需两项独立直接书目来源"
16,WCD07B-W16,V1-ENT-0072,加西亚·马尔克斯,Vivir para contarla,《活着为了讲述》,work,2002,9,5,4,9,8,8,8,8,68,DEFER,"完成卷可建work且不建series，但中译月份争议及原作双来源未在本包解决"
17,WCD07B-W17,V1-ENT-0185,何塞·多诺索,Historia personal del boom,"《文学“爆炸”亲历记》",work,1972,8,8,4,8,8,8,7,8,67,DEFER,"独立随笔回忆录且不得与文学爆炸运动实体合并；现有包缺双来源"
