entity_id,entity_type,original_name,current_name_zh,proposed_name_zh,display_name_status,current_evidence,issue_type,recommended_action,audit_decision,confidence,requires_research,priority,core_scope,origin_batch,notes
V1-ENT-0001,place,Argentina,阿根廷,阿根廷,canonical_candidate,STG-ENT-0001;B02-ENT-0025,none,retain,PASS,high,no,P0,formal_public,legacy/master governance,
V1-ENT-0002,author,Jorge Luis Borges,豪尔赫·路易斯·博尔赫斯,豪尔赫·路易斯·博尔赫斯,canonical_candidate,STG-ENT-0002,none,retain,PASS,high,no,P0,formal_public,legacy/master governance,
V1-ENT-0003,work,El jardín de senderos que se bifurcan,《小径分岔的花园》,《小径分岔的花园》,canonical_candidate,STG-ENT-0003,none,retain,PASS,high,no,P0,formal_public,legacy/master governance,
V1-ENT-0004,work,El Aleph,《阿莱夫》,《阿莱夫》,canonical_candidate,STG-ENT-0004,none,retain,PASS,high,no,P0,formal_public,legacy/master governance,
V1-ENT-0005,author,Arthur Schopenhauer,阿图尔·叔本华,阿图尔·叔本华,canonical_candidate,STG-ENT-0005,none,retain,PASS,high,no,P3,research_only,legacy/master governance,
V1-ENT-0006,author,Franz Kafka,弗兰茨·卡夫卡,弗兰茨·卡夫卡,canonical_candidate,STG-ENT-0006,none,retain,PASS,high,no,P3,research_only,legacy/master governance,
V1-ENT-0007,author,G. K. Chesterton,吉尔伯特·基思·切斯特顿,吉尔伯特·基思·切斯特顿,canonical_candidate,STG-ENT-0007,none,retain,PASS,high,no,P3,research_only,legacy/master governance,
V1-ENT-0008,place,Ashgrove,阿什格罗夫,阿什格罗夫,canonical_candidate,STG-ENT-0008,none,retain,PASS,high,no,P2,research_only,legacy/master governance,
V1-ENT-0009,place,calle Garay,加雷街,加雷街,canonical_candidate,STG-ENT-0009,none,retain,PASS,high,no,P2,research_only,legacy/master governance,
V1-ENT-0010,movement,ultraísmo,极端主义（超主义）,极端主义（超主义）,canonical_candidate,STG-ENT-0010,none,retain,PASS,high,no,P3,research_only,legacy/master governance,
V1-ENT-0011,collection,Ficciones,《虚构集》,《虚构集》,canonical_candidate,STG-ENT-0011,none,retain,PASS,high,no,P3,research_only,legacy/master governance,
V1-ENT-0012,collection,El Aleph,《阿莱夫》,《阿莱夫》,canonical_candidate,STG-ENT-0012,none,retain,PASS,high,no,P3,research_only,legacy/master governance,
V1-ENT-0013,theme,,时间的分岔与无限（多重未来）,时间的分岔与无限（多重未来）,canonical_candidate,STG-ENT-0013,project-internal Chinese concept has no foreign-language source title,retain Chinese canonical label,NO_CHINESE_NAME_NEEDED,high,no,P3,research_only,legacy/master governance,
V1-ENT-0014,theme,memoria y olvido,记忆与遗忘,记忆与遗忘,canonical_candidate,STG-ENT-0014;B01-ENT-0039,none,retain,PASS,high,no,P3,research_only,legacy/master governance,
V1-ENT-0015,theme,,无限与不可言说（阿莱夫）,无限与不可言说（阿莱夫）,canonical_candidate,STG-ENT-0015,project-internal Chinese concept has no foreign-language source title,retain Chinese canonical label,NO_CHINESE_NAME_NEEDED,high,no,P3,research_only,legacy/master governance,
V1-ENT-0016,author,Clarice Lispector,克拉丽丝·李斯佩克朵,克拉丽丝·李斯佩克朵,canonical_candidate,STG-ENT-0016,none,retain,PASS,high,no,P0,formal_public,legacy/master governance,
V1-ENT-0017,work,Água viva,《活水》,《活水》,canonical_candidate,STG-ENT-0017,none,retain,PASS,high,no,P0,formal_public,legacy/master governance,
V1-ENT-0018,work,A hora da estrela,《星辰时刻》,《星辰时刻》,canonical_candidate,STG-ENT-0018,none,retain,PASS,high,no,P0,formal_public,legacy/master governance,
V1-ENT-0019,collection,Laços de família,《家庭纽带》,《家庭纽带》,canonical_candidate,STG-ENT-0019,none,retain,PASS,high,no,P3,research_only,legacy/master governance,
V1-ENT-0020,work,A paixão segundo G.H.,《G.H. 受难》,《G.H. 受难》,canonical_candidate,STG-ENT-0020,none,retain,PASS,high,no,P3,research_only,legacy/master governance,
V1-ENT-0021,adaptation,A hora da estrela (filme),《星辰时刻》,《星辰时刻》,canonical_candidate,STG-ENT-0021,none,retain,PASS,high,no,P3,research_only,legacy/master governance,
V1-ENT-0022,place,Rio de Janeiro,里约热内卢,里约热内卢,canonical_candidate,STG-ENT-0022,none,retain,PASS,high,no,P0,formal_public,legacy/master governance,
V1-ENT-0023,theme,,家庭关系与内心生活,家庭关系与内心生活,canonical_candidate,STG-ENT-0023,project-internal Chinese concept has no foreign-language source title,retain Chinese canonical label,NO_CHINESE_NAME_NEEDED,high,no,P3,research_only,legacy/master governance,
V1-ENT-0024,theme,,时间、当下瞬间与沉默,时间、当下瞬间与沉默,canonical_candidate,STG-ENT-0024,project-internal Chinese concept has no foreign-language source title,retain Chinese canonical label,NO_CHINESE_NAME_NEEDED,high,no,P3,research_only,legacy/master governance,
V1-ENT-0025,theme,,社会不平等与书写,社会不平等与书写,canonical_candidate,STG-ENT-0025,project-internal Chinese concept has no foreign-language source title,retain Chinese canonical label,NO_CHINESE_NAME_NEEDED,high,no,P0,formal_public,legacy/master governance,
V1-ENT-0026,work,Um sopro de vida,《生命的气息》,《生命的气息》,canonical_candidate,STG-ENT-0026,none,retain,PASS,high,no,P3,research_only,legacy/master governance,
V1-ENT-0027,theme,sublimação e feminino,升华、沉默与女性写作（精神分析视角）,升华、沉默与女性写作（精神分析视角）,canonical_candidate,STG-ENT-0027,none,retain,PASS,high,no,P3,research_only,legacy/master governance,
V1-ENT-0028,theme,,女性人物与21世纪再读,女性人物与21世纪再读,canonical_candidate,STG-ENT-0028,project-internal Chinese concept has no foreign-language source title,retain Chinese canonical label,NO_CHINESE_NAME_NEEDED,high,no,P3,research_only,legacy/master governance,
V1-ENT-0029,author,Elena Garro,埃莱娜·加罗,埃莱娜·加罗,canonical_candidate,B01-ENT-0001,none,retain,PASS,high,no,P0,formal_public,legacy/master governance,
V1-ENT-0030,author,Rosario Castellanos,罗萨里奥·卡斯特利亚诺斯,罗萨里奥·卡斯特利亚诺斯,canonical_candidate,B01-ENT-0002,none,retain,PASS,high,no,P0,formal_public,legacy/master governance,
V1-ENT-0031,author,Juan Rulfo,胡安·鲁尔福,胡安·鲁尔福,canonical_candidate,B01-ENT-0003,none,retain,PASS,high,no,P0,formal_public,legacy/master governance,
V1-ENT-0032,work,Los recuerdos del porvenir,《未来的回忆》,《未来的回忆》,canonical_candidate,B01-ENT-0004,none,retain,PASS,high,no,P0,formal_public,legacy/master governance,
V1-ENT-0033,collection,La semana de colores,《彩色的一周》,《彩色的一周》,canonical_candidate,B01-ENT-0005,none,retain,PASS,high,no,P3,research_only,legacy/master governance,
V1-ENT-0034,work,Testimonios sobre Mariana,《关于玛丽安娜的证词》,《关于玛丽安娜的证词》,canonical_candidate,B01-ENT-0006,none,retain,PASS,high,no,P3,research_only,legacy/master governance,
V1-ENT-0035,work,Balún Canán,《巴伦坎南》,《巴伦坎南》,canonical_candidate,B01-ENT-0007,none,retain,PASS,high,no,P0,formal_public,legacy/master governance,
V1-ENT-0036,work,Oficio de tinieblas,《黑暗的职守》,《黑暗的职守》,canonical_candidate,B01-ENT-0008,none,retain,PASS,high,no,P3,research_only,legacy/master governance,
V1-ENT-0037,collection,Poesía no eres tú,《诗歌不是你》,《诗歌不是你》,canonical_candidate,B01-ENT-0009,none,retain,PASS,high,no,P3,research_only,legacy/master governance,
V1-ENT-0038,work,Pedro Páramo,《佩德罗·巴拉莫》,《佩德罗·巴拉莫》,canonical_candidate,B01-ENT-0010,none,retain,PASS,high,no,P0,formal_public,legacy/master governance,
V1-ENT-0039,collection,El Llano en llamas,《燃烧的原野》,《燃烧的原野》,canonical_candidate,B01-ENT-0011,none,retain,PASS,high,no,P3,research_only,legacy/master governance,
V1-ENT-0040,work,El gallo de oro,《金鸡》,《金鸡》,canonical_candidate,B01-ENT-0012,none,retain,PASS,high,no,P3,research_only,legacy/master governance,
V1-ENT-0041,work,La culpa es de los tlaxcaltecas,《La culpa es de los tlaxcaltecas》,《La culpa es de los tlaxcaltecas》,canonical_candidate,B01-ENT-0013,none,retain,PASS,high,no,P3,research_only,legacy/master governance,
V1-ENT-0042,adaptation,Los recuerdos del porvenir (filme),《未来的回忆》（1968 年电影）,《未来的回忆》（1968 年电影）,canonical_candidate,B01-ENT-0014,none,retain,PASS,high,no,P3,research_only,legacy/master governance,
V1-ENT-0043,edition,Balún-Canán (FCE 2007),Balún-Canán（FCE 2007 版）,Balún-Canán（FCE 2007 版）,canonical_candidate,B01-ENT-0015,none,retain,PASS,high,no,P3,research_only,legacy/master governance,
V1-ENT-0044,work,El eterno femenino,《永恒的女性》,《永恒的女性》,canonical_candidate,B01-ENT-0016,none,retain,PASS,high,no,P3,research_only,legacy/master governance,
V1-ENT-0045,work,Felipe Ángeles,《费利佩·安赫莱斯》,《费利佩·安赫莱斯》,canonical_candidate,B01-ENT-0017,none,retain,PASS,high,no,P3,research_only,legacy/master governance,
V1-ENT-0046,edition,Pedro Páramo (FCE 1964),Pedro Páramo（FCE 1964 版）,Pedro Páramo（FCE 1964 版）,canonical_candidate,B01-ENT-0018,none,retain,PASS,high,no,P3,research_only,legacy/master governance,
V1-ENT-0047,character,Francisco Rosas,弗朗西斯科·罗萨斯,弗朗西斯科·罗萨斯,canonical_candidate,B01-ENT-0019,none,retain,PASS,high,no,P3,research_only,legacy/master governance,
V1-ENT-0048,character,Julia Andrade,胡利娅·安德拉德,胡利娅·安德拉德,canonical_candidate,B01-ENT-0020,none,retain,PASS,high,no,P3,research_only,legacy/master governance,
V1-ENT-0049,character,Juan Preciado,胡安·普雷西亚多,胡安·普雷西亚多,canonical_candidate,B01-ENT-0021,none,retain,PASS,high,no,P3,research_only,legacy/master governance,
V1-ENT-0050,character,Pedro Páramo,佩德罗·巴拉莫（人物）,佩德罗·巴拉莫（人物）,canonical_candidate,B01-ENT-0022,none,retain,PASS,high,no,P3,research_only,legacy/master governance,
V1-ENT-0051,place,México,墨西哥,墨西哥,canonical_candidate,B01-ENT-0023,none,retain,PASS,high,no,P0,formal_public,legacy/master governance,
V1-ENT-0052,place,Chiapas,恰帕斯,恰帕斯,canonical_candidate,B01-ENT-0024,none,retain,PASS,high,no,P0,formal_public,legacy/master governance,
V1-ENT-0053,place,Comitán,科米坦,科米坦,canonical_candidate,B01-ENT-0025,none,retain,PASS,high,no,P0,formal_public,legacy/master governance,
