target_id,title,final_status,claim_no,final_public_claim,research_ref,source_ref,verdict,action
V1-ENT-0017,活水,user_review,0,,,,RESTORED,"No admitted setting evidence directly supports the negative location claim; WCD-06 override removed"
V1-ENT-0018,星辰时刻,auto_approved,1,故事发生在里约热内卢,V1-FCT-0256,SRC-0085,PASS,Keep
V1-ENT-0018,星辰时刻,auto_approved,2,玛卡贝娅是一名生活困窘的打字员,V1-FCT-0256,SRC-0085,PASS,Keep
V1-ENT-0032,未来的回忆,auto_approved,1,伊斯特佩克是小说的核心村镇并作为全知叙述者发声,V1-FCT-0078,SRC-0020,PASS,Keep
V1-ENT-0035,巴伦坎南,auto_approved,1,故事发生在恰帕斯村镇,V1-REL-0033,SRC-0023,PASS,Keep
V1-ENT-0035,巴伦坎南,auto_approved,2,白人世界与 chontal 印第安世界的张力在这里展开,V1-FCT-0092,SRC-0023,PASS,Keep
V1-ENT-0038,佩德罗·巴拉莫,auto_approved,1,胡安·普雷西亚多前往科马拉寻找父亲并逐渐听见村镇的过去,V1-FCT-0255,SRC-0084,PASS,Keep
V1-ENT-0075,百年孤独,auto_approved,1,马孔多是小说中的虚构城镇,V1-FCT-0239,SRC-0075,PASS,Keep
V1-ENT-0075,百年孤独,auto_approved,2,布恩迪亚—伊瓜兰家族在马孔多延续数代,V1-FCT-0239,SRC-0075,PASS,Keep
V1-ENT-0076,没有人给他写信的上校,auto_approved,1,故事发生在戒严中的哥伦比亚小村镇,V1-FCT-0254,SRC-0083,PASS,Keep
V1-ENT-0077,一桩事先张扬的凶杀案,auto_approved,1,故事发生在一座小镇,V1-FCT-0249,SRC-0080,PASS,Keep
V1-ENT-0077,一桩事先张扬的凶杀案,auto_approved,2,叙述者二十多年后重返这里并重新调查圣地亚哥·纳萨尔之死,V1-FCT-0249,SRC-0080,PASS,Keep
V1-ENT-0079,人间王国,user_review,0,,,,RESTORED,"No cited Research fact directly establishes the work setting; WCD-06 override removed"
V1-ENT-0081,光明世纪,auto_approved,1,故事跨越十八世纪末的古巴、加勒比海与瓜德罗普,V1-FCT-0259,SRC-0086,PASS,Keep
V1-ENT-0117,酒吧长谈,auto_approved,1,圣地亚哥·萨瓦拉与安布罗西奥在名为“大教堂”的酒吧交谈,V1-FCT-0246,SRC-0078,PASS,Keep
V1-ENT-0117,酒吧长谈,auto_approved,2,话题打开奥德里亚独裁时期的私人记忆与社会关系,V1-FCT-0246,SRC-0078,PASS,Keep
V1-ENT-0118,世界末日之战,auto_approved,1,故事围绕十九世纪巴西腹地的卡努杜斯共同体展开,V1-FCT-0250,SRC-0081,PASS,Keep
V1-ENT-0019,家庭纽带,auto_approved,1,作品从城市与家庭场景切入人物的内心生活与家庭关系,V1-FCT-0045,SRC-0009,PASS,Keep
V1-ENT-0146,最明净的地区,auto_approved,1,故事发生在墨西哥城,V1-FCT-0267,SRC-0089;SRC-0090,PASS,Keep
V1-ENT-0146,最明净的地区,auto_approved,2,作品通过城市日常与不同社会阶层的声音展开,V1-FCT-0266,SRC-0089;SRC-0090,PASS,Keep
