candidate_id,entity_type,canonical_name_candidate,original_name,aliases,language,country_or_region,date_info,source_id,source_title,optional_locator,optional_evidence_note,confidence,issue_notes,extracted_by
B03-ENT-0001,author,马里奥·巴尔加斯·略萨,Mario Vargas Llosa,Vargas Llosa;略萨,es,秘鲁,1936-2025,B03-SRC-0004,Mario Vargas Llosa – Facts,Facts 页,"Nobel：Born 28 March 1936, Arequipa, Peru；Died 13 April 2025, Lima, Peru；Peruvian author",high,与 S1 候选 CAND-AUTHOR-0023/0068/0108/0153/0260/0305 同名，需 Codex 合并,EXT-AI-02
B03-ENT-0002,author,巴勃罗·聂鲁达,Pablo Neruda,Neftalí Ricardo Reyes Basoalto;聂鲁达,es,智利,1904-1973,B03-SRC-0012,CVC. Pablo Neruda.（数字展：主展页 + Biografía 页）,数字展主展页,CVC：1904-1973；原名 Neftalí Ricardo Reyes Basoalto（1920 年首用笔名）；生于帕拉尔,high,与 S1 候选 CAND-AUTHOR-0043/0061/0110 同名，需 Codex 合并；原名见 CVC 传记页,EXT-AI-02
B03-ENT-0003,work,《城市与狗》,La ciudad y los perros,,es,秘鲁,,B03-SRC-0001,"Lima: encierro y evasión en ""La ciudad y los perros"" de Mario Vargas Llosa",论文标题,Ángulo Recto 论文直接以该小说为研究对象,high,首发年 1963 无直接来源，缺口登记 ISSUES,EXT-AI-02
B03-ENT-0004,work,《酒吧长谈》,Conversación en La Catedral,Conversación en la Catedral,es,秘鲁,1969,B03-SRC-0002,"El Boom y el fracaso de los intelectuales. Sobre ""Conversación en la Catedral"" (1969) de Vargas Llosa y ""Cien años de soledad"" (1967) de García Márquez",论文标题,Catedral Tomada 论文标题明确标注 (1969),high,中文译名《酒吧长谈》为候选，保留原文名,EXT-AI-02
B03-ENT-0005,work,《世界末日之战》,La guerra del fin del mundo,,es,秘鲁,1981,B03-SRC-0003,"Canudos o la redención de los malditos: La guerra del fin del mundo, de Mario Vargas Llosa",论文摘要,Letral 论文：1981 年出版的第六部小说,high,与卡努杜斯战争的联系：论文标题直接提及 Canudos（关系词表无 BASED_ON_EVENT，仅以事实与 ISSUES 记录）,EXT-AI-02
B03-ENT-0006,collection,《二十首情诗和一支绝望的歌》,Veinte poemas de amor y una canción desesperada,Veinte poemas,es,智利,1924,B03-SRC-0012,CVC. Pablo Neruda.（数字展：主展页 + Biografía 页）,传记子页,CVC：1923 年首部诗集后“次年”出版《二十首情诗》即 1924,high,诗集 collection；与 S1 候选 CAND-WORK-0072 同名但 S1 旧词表标 Work，Schema 0.2 下为 collection，查重标 type_conflict,EXT-AI-02
B03-ENT-0007,collection,《大地上的居所》,Residencia en la tierra,Residencia,es,智利,,B03-SRC-0007,"Interpretación de ""residencia en la tierra"" de Pablo Neruda",论文标题,Atenea 论文直接以该诗集为研究对象,high,诗集 collection；分卷构成（Residencia I/II 等）来源未直接列明，缺口登记 ISSUES；与 S1 候选 CAND-WORK-0073 同名（类型冲突）,EXT-AI-02
B03-ENT-0008,collection,《漫歌》,Canto general,Canto General,es,智利,1950,B03-SRC-0009,Un événement poétique : le Canto General de Pablo Neruda,论文正文,Persée：1950 年秋墨西哥 Océano 出版社出版,high,诗集 collection；Nobel facts 称“关于整个南美大陆的史诗”；与 S1 候选 CAND-WORK-0074 同名（类型冲突）,EXT-AI-02
B03-ENT-0009,work,《马丘比丘高地》,Alturas de Macchu Picchu,,es,智利,,B03-SRC-0012,CVC. Pablo Neruda.（数字展：主展页 + Biografía 页）,传记子页,CVC 传记在聂鲁达作品序列中明确列出该诗章,medium,单篇诗 work；通行收录于《漫歌》，收录关系无权威目录直接支持，CONTAINS_WORK 未建（ISSUES 登记）,EXT-AI-02
B03-ENT-0010,place,智利,Chile,,es,智利,,B03-SRC-0011,Pablo Neruda – Facts,Facts 页,Nobel：Born/Died/Residence 均为 Chile,high,与 S1 候选 CAND-PLACE-0003/0057 同名，需 Codex 合并,EXT-AI-02
B03-ENT-0011,place,秘鲁,Perú,Peru,es,秘鲁,,B03-SRC-0004,Mario Vargas Llosa – Facts,Facts 页,"Nobel：Born Arequipa, Peru；Peruvian author",high,与 S1 候选 CAND-PLACE-0005/0059 同名，需 Codex 合并,EXT-AI-02
