relation_group_id,subject_label,relation_type,object_label,description_zh,evidence_count,source_ids,review_status,confidence,issue_notes
RG-B02-0001,加西亚·马尔克斯,CREATED,《百年孤独》,加西亚·马尔克斯创作《百年孤独》,1,B02-SRC-0001,eligible_for_staging_review,high,
RG-B02-0002,加西亚·马尔克斯,CREATED,《没有人给他写信的上校》,加西亚·马尔克斯创作《没有人给他写信的上校》,1,B02-SRC-0002,eligible_for_staging_review,high,
RG-B02-0003,加西亚·马尔克斯,CREATED,《一桩事先张扬的凶杀案》,加西亚·马尔克斯创作《一桩事先张扬的凶杀案》,1,B02-SRC-0003,eligible_for_staging_review,high,
RG-B02-0004,胡利奥·科塔萨尔,CREATED,《跳房子》,科塔萨尔创作《跳房子》,1,B02-SRC-0007,eligible_for_staging_review,high,
RG-B02-0005,胡利奥·科塔萨尔,CREATED,《动物寓言集》,科塔萨尔创作短篇集《动物寓言集》,1,B02-SRC-0006,eligible_for_staging_review,high,
RG-B02-0006,胡利奥·科塔萨尔,CREATED,《游戏的终结》,科塔萨尔创作短篇集《游戏的终结》,1,B02-SRC-0009,eligible_for_staging_review,high,
RG-B02-0007,阿莱霍·卡彭铁尔,CREATED,《人间王国》,卡彭铁尔创作《人间王国》,1,B02-SRC-0011,eligible_for_staging_review,high,
RG-B02-0008,阿莱霍·卡彭铁尔,CREATED,《消逝的足迹》,卡彭铁尔创作《消逝的足迹》,1,B02-SRC-0012,eligible_for_staging_review,high,
RG-B02-0009,阿莱霍·卡彭铁尔,CREATED,《光明世纪》,卡彭铁尔创作《光明世纪》,1,B02-SRC-0013,eligible_for_staging_review,high,
RG-B02-0010,胡利奥·科塔萨尔,CREATED,《另一个天空》,科塔萨尔创作短篇《另一个天空》,1,B02-SRC-0008,eligible_for_staging_review,high,
RG-B02-0011,胡利奥·科塔萨尔,CREATED,《口袋里发现的手稿》,科塔萨尔创作短篇《口袋里发现的手稿》,1,B02-SRC-0008,eligible_for_staging_review,high,
RG-B02-0012,《水晶天空》,ADAPTED_FROM,《另一个天空》,1987 年德国电影《水晶天空》改编自短篇《另一个天空》,1,B02-SRC-0008,eligible_for_staging_review,high,
RG-B02-0013,《地下游戏》,ADAPTED_FROM,《口袋里发现的手稿》,2005 年巴西电影《地下游戏》改编自短篇《口袋里发现的手稿》,1,B02-SRC-0008,eligible_for_staging_review,high,
RG-B02-0014,妮娜·格罗塞,DIRECTED,《水晶天空》,妮娜·格罗塞执导《水晶天空》,1,B02-SRC-0008,eligible_for_staging_review,high,
RG-B02-0015,罗贝托·热尔维茨,DIRECTED,《地下游戏》,罗贝托·热尔维茨执导《地下游戏》,1,B02-SRC-0008,eligible_for_staging_review,high,
RG-B02-0017,加西亚·马尔克斯,ASSOCIATED_WITH_PLACE,哥伦比亚,加西亚·马尔克斯与哥伦比亚关联,1,B02-SRC-0004,eligible_for_staging_review,high,
RG-B02-0018,加西亚·马尔克斯,ASSOCIATED_WITH_PLACE,阿卡塔卡,加西亚·马尔克斯与阿卡塔卡关联,1,B02-SRC-0004,eligible_for_staging_review,high,
RG-B02-0019,加西亚·马尔克斯,ASSOCIATED_WITH_PLACE,马孔多,加西亚·马尔克斯与马孔多（虚构地）关联,1,B02-SRC-0004,eligible_for_staging_review,medium,
RG-B02-0020,阿莱霍·卡彭铁尔,ASSOCIATED_WITH_PLACE,古巴,卡彭铁尔与古巴关联,1,B02-SRC-0011,eligible_for_staging_review,high,
RG-B02-0021,加西亚·马尔克斯,ASSOCIATED_WITH_MOVEMENT,魔幻现实主义,加西亚·马尔克斯被视为魔幻现实主义的代表,1,B02-SRC-0004,hold_needs_second_source,medium,
RG-B02-0022,阿莱霍·卡彭铁尔,ASSOCIATED_WITH_MOVEMENT,美洲神奇现实,卡彭铁尔发展与界定“神奇现实”（lo real maravilloso）,1,B02-SRC-0011,hold_needs_second_source,high,
RG-B02-0023,阿莱霍·卡彭铁尔,ASSOCIATED_WITH_MOVEMENT,新巴洛克,卡彭铁尔与新巴洛克（neobarroco）相关,1,B02-SRC-0011,hold_needs_second_source,medium,
RG-B02-0024,《百年孤独》,EXPLORES_THEME,伦理与人性,《百年孤独》探讨伦理与人性,1,B02-SRC-0001,hold_needs_second_source,high,
RG-B02-0025,《没有人给他写信的上校》,EXPLORES_THEME,贫困与政治暴力,《没有人给他写信的上校》涉及贫困与政治暴力,1,B02-SRC-0002,hold_needs_second_source,high,
RG-B02-0026,《一桩事先张扬的凶杀案》,EXPLORES_THEME,罪责与真相的悬置,《一桩事先张扬的凶杀案》涉及罪责与真相的悬置,1,B02-SRC-0003,hold_needs_second_source,medium,
RG-B02-0027,《跳房子》,EXPLORES_THEME,读者参与与反传统叙事,《跳房子》体现读者参与与反传统叙事,1,B02-SRC-0007,hold_needs_second_source,high,
RG-B02-0028,《动物寓言集》,EXPLORES_THEME,梦境与现实的模糊,《动物寓言集》涉及梦境与现实的模糊,1,B02-SRC-0006,hold_needs_second_source,high,
RG-B02-0029,《游戏的终结》,EXPLORES_THEME,梦境与现实的模糊,《游戏的终结》涉及梦境与现实的模糊,1,B02-SRC-0006,hold_needs_second_source,medium,
RG-B02-0030,《游戏的终结》,EXPLORES_THEME,面具游戏与自我的折叠,《游戏的终结》涉及面具游戏与自我的折叠,1,B02-SRC-0009,hold_needs_second_source,medium,
RG-B02-0031,《人间王国》,EXPLORES_THEME,跨文化与美洲身份,《人间王国》体现跨文化与美洲身份,1,B02-SRC-0011,hold_needs_second_source,high,
RG-B02-0032,《消逝的足迹》,EXPLORES_THEME,美洲与西方传统,《消逝的足迹》涉及美洲与西方传统,1,B02-SRC-0012,hold_needs_second_source,medium,
RG-B02-0033,《光明世纪》,EXPLORES_THEME,艺术、启蒙与现代性批判,《光明世纪》涉及艺术、启蒙与现代性批判,1,B02-SRC-0013,hold_needs_second_source,high,
RG-B02-0034,《另一个天空》,EXPLORES_THEME,城市浪漫与偶然,《另一个天空》体现城市浪漫与偶然,1,B02-SRC-0008,hold_needs_second_source,medium,
RG-B02-0035,《口袋里发现的手稿》,EXPLORES_THEME,城市浪漫与偶然,《口袋里发现的手稿》体现城市浪漫与偶然,1,B02-SRC-0008,hold_needs_second_source,medium,
