legacy_candidate_id,source_id,source_title,source_level,source_task,mapping_action,master_candidate_id,proposed_order,mapping_note
B01-SRC-0001,SRC-0017,Elena Garro - Detalle del autor,B,V1-S3-B01,new_sequence_candidate,,000,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B01-SRC-0002,SRC-0018,Elena Garro: el discurso social en Los recuerdos del porvenir,A,V1-S3-B01,new_sequence_candidate,,001,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B01-SRC-0003,SRC-0019,El fondo de la memoria: Los recuerdos del porvenir de Elena Garro,A,V1-S3-B01,new_sequence_candidate,,002,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B01-SRC-0004,SRC-0020,Los recuerdos del porvenir - Detalle de la obra,B,V1-S3-B01,new_sequence_candidate,,003,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B01-SRC-0005,SRC-0021,La semana de colores: cuentos - Detalle de la obra,B,V1-S3-B01,new_sequence_candidate,,004,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B01-SRC-0006,SRC-0022,Rosario Castellanos - Detalle del autor,B,V1-S3-B01,new_sequence_candidate,,005,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B01-SRC-0007,SRC-0023,Balún-Canán (FCE 产品页),B,V1-S3-B01,new_sequence_candidate,,006,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B01-SRC-0008,SRC-0024,La palabra sagrada. Violencia y lenguaje en Balún-Canán,A,V1-S3-B01,new_sequence_candidate,,007,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B01-SRC-0009,SRC-0025,Poesía no eres tú: obra poética 1948-1971 - Detalle de la obra,B,V1-S3-B01,new_sequence_candidate,,008,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B01-SRC-0010,SRC-0026,Oficio de tinieblas - Detalle de la obra,B,V1-S3-B01,new_sequence_candidate,,009,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B01-SRC-0011,SRC-0027,Juan Rulfo - Detalle del autor,B,V1-S3-B01,new_sequence_candidate,,010,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B01-SRC-0012,SRC-0028,Economía poética de Pedro Páramo: de la Revolución a la Cristiada,A,V1-S3-B01,new_sequence_candidate,,011,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B01-SRC-0013,SRC-0029,Pedro Páramo - Detalle de la obra,B,V1-S3-B01,new_sequence_candidate,,012,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B01-SRC-0014,SRC-0030,El Llano en llamas - Detalle de la obra,B,V1-S3-B01,new_sequence_candidate,,013,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B01-SRC-0015,SRC-0031,El gallo de oro - Detalle de la obra,B,V1-S3-B01,new_sequence_candidate,,014,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B02-SRC-0001,SRC-0032,Gabriel García Márquez y la ética en Cien años de soledad – I,A,V1-S3-B02,new_sequence_candidate,,015,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B02-SRC-0002,SRC-0033,Miseria y violencia en El Coronel no tiene quien le escriba,A,V1-S3-B02,new_sequence_candidate,,016,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B02-SRC-0003,SRC-0034,Un relato sospechoso: Crónica de una muerte anunciada,A,V1-S3-B02,new_sequence_candidate,,017,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B02-SRC-0004,SRC-0035,CVC. Actos culturales. Gabriel García Márquez,B,V1-S3-B02,new_sequence_candidate,,018,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B02-SRC-0005,SRC-0036,The Nobel Prize in Literature 1982,B,V1-S3-B02,new_sequence_candidate,,019,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B02-SRC-0006,SRC-0037,Esto no es un sueño: los personajes frente al concepto onírico en los primeros cuentos fantásticos de Julio Cortázar,A,V1-S3-B02,new_sequence_candidate,,020,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B02-SRC-0007,SRC-0038,Cortázar: los relatos fragmentados y la importancia de un lector activo,A,V1-S3-B02,new_sequence_candidate,,021,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B02-SRC-0008,SRC-0039,Romance y azar en la ciudad: dos transposiciones de cuentos de Julio Cortázar,A,V1-S3-B02,new_sequence_candidate,,022,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B02-SRC-0009,SRC-0040,"Jogos de máscaras e dobras do eu: encruzilhadas de leitura(s) a partir de ""Final de juego"" de Julio Cortázar",A,V1-S3-B02,new_sequence_candidate,,023,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
