candidate_id,entity_type,canonical_name_candidate,original_name,aliases,language,country_or_region,date_info,source_id,source_title,optional_locator,optional_evidence_note,confidence,issue_notes,extracted_by
B01-ENT-0001,author,埃莱娜·加罗,Elena Garro,Garro,es,墨西哥,1916-1998,B01-SRC-0001,Elena Garro - Detalle del autor,词条,剧作家与小说家；1916-12-11 生于普埃布拉；1998-08-22 卒于库埃纳瓦卡；1937 年与奥克塔维奥·帕斯结婚；1968 年后流亡美国/法国约 20 年,high,,EXT-AI-02
B01-ENT-0002,author,罗萨里奥·卡斯特利亚诺斯,Rosario Castellanos,Castellanos,es,墨西哥,1925-1974,B01-SRC-0006,Rosario Castellanos - Detalle del autor,词条,作家、外交官；1925-05-25 生于墨西哥城，幼年随家迁居恰帕斯州科米坦；UNAM 攻读法律与哲学；曾任驻以色列大使；1974-08-07 卒于特拉维夫,high,,EXT-AI-02
B01-ENT-0003,author,胡安·鲁尔福,Juan Rulfo,Rulfo,es,墨西哥,1917-1986,B01-SRC-0011,Juan Rulfo - Detalle del autor,词条,1917-05-16 生于哈利斯科州阿普尔科（登记于萨尤拉）；童年于圣加布里埃尔；1952-1953 年获墨西哥作家中心奖学金；亦为摄影师与 INI 编辑；1986-01-07 卒于墨西哥城,high,与既有候选 CAND-AUTHOR-0022/0065 同名需 Codex 合并,EXT-AI-02
B01-ENT-0004,work,《未来的回忆》,Los recuerdos del porvenir,,es,墨西哥,1963,B01-SRC-0004,Los recuerdos del porvenir - Detalle de la obra,作品页,1963 年 Joaquín Mortiz 出版；同年获 Xavier Villaurrutia 奖；1968 年由 Arturo Ripstein 改编为电影,high,,EXT-AI-02
B01-ENT-0005,collection,《彩色的一周》,La semana de colores,,es,墨西哥,1964,B01-SRC-0005,La semana de colores: cuentos - Detalle de la obra,作品页,1964 年 Universidad Veracruzana 出版短篇集；含《La culpa es de los tlaxcaltecas》,medium,中文译名待核,EXT-AI-02
B01-ENT-0006,work,《关于玛丽安娜的证词》,Testimonios sobre Mariana,,es,墨西哥,1981,B01-SRC-0001,Elena Garro - Detalle del autor,词条,1981 年出版，获 Grijalbo 小说奖（词条所列作品）,medium,书名中译待核,EXT-AI-02
B01-ENT-0007,work,《巴伦坎南》,Balún Canán,Balún-Canán,es,墨西哥,1957,B01-SRC-0007,Balún-Canán (FCE 产品页),FCE 产品页,1957 年 FCE 出版（Letras Mexicanas 36）；恰帕斯村镇中白人世界与 chontal 印第安世界的张力,high,中文译名《巴伦坎南》为暂定，待 Codex 核定,EXT-AI-02
B01-ENT-0008,work,《黑暗的职守》,Oficio de tinieblas,,es,墨西哥,1962,B01-SRC-0010,Oficio de tinieblas - Detalle de la obra,作品页,1962 年 Joaquín Mortiz 出版,medium,书名中译待核,EXT-AI-02
B01-ENT-0009,collection,《诗歌不是你》,Poesía no eres tú,Poesía no eres tú: obra poética 1948-1971,es,墨西哥,1972,B01-SRC-0009,Poesía no eres tú: obra poética 1948-1971 - Detalle de la obra,作品页,1972 年 FCE 出版诗集；收录 1948-1971 年诗作,medium,中文译名待核,EXT-AI-02
B01-ENT-0010,work,《佩德罗·巴拉莫》,Pedro Páramo,,es,墨西哥,1955,B01-SRC-0013,Pedro Páramo - Detalle de la obra,作品页,1955 年 3 月 FCE 出版（Letras Mexicanas 19）；Juan Preciado 寻父与 Comala 鬼村双主线,high,与既有候选 CAND-WORK-0005/0079 同名需 Codex 合并,EXT-AI-02
B01-ENT-0011,collection,《燃烧的原野》,El Llano en llamas,El llano en llamas,es,墨西哥,1953,B01-SRC-0014,El Llano en llamas - Detalle de la obra,作品页,1953 年 FCE 出版短篇集（Letras Mexicanas 11）,high,中文译名沿用既有《燃烧的原野》,EXT-AI-02
B01-ENT-0012,work,《金鸡》,El gallo de oro,,es,墨西哥,1958/1980,B01-SRC-0015,El gallo de oro - Detalle de la obra,作品页,"1958 年写成、1980 年 Era 出版（词条：written 1958, published 1980）",high,中文译名待核,EXT-AI-02
B01-ENT-0013,work,《La culpa es de los tlaxcaltecas》,La culpa es de los tlaxcaltecas,,es,墨西哥,1964,B01-SRC-0005,La semana de colores: cuentos - Detalle de la obra,作品页,《彩色的一周》收录的短篇（词条明示）,medium,,EXT-AI-02
B01-ENT-0014,work,《未来的回忆》（1968 年电影）,Los recuerdos del porvenir (filme),,es,墨西哥,1968,B01-SRC-0004,Los recuerdos del porvenir - Detalle de la obra,作品页,1968 年 Arturo Ripstein 执导的同名电影改编,medium,adaptation 端点,EXT-AI-02
B01-ENT-0015,edition,Balún-Canán（FCE 2007 版）,Balún-Canán (FCE 2007),,es,墨西哥,2007,B01-SRC-0007,Balún-Canán (FCE 产品页),FCE 产品页,Colección Popular 版，ISBN 9789681683030，286 页,high,,EXT-AI-02
B01-ENT-0016,work,《永恒的女性》,El eterno femenino,,es,墨西哥,1975,B01-SRC-0006,Rosario Castellanos - Detalle del autor,词条,卡斯特利亚诺斯遗作剧作（1975 年出版，词条所列）,medium,,EXT-AI-02
B01-ENT-0017,work,《费利佩·安赫莱斯》,Felipe Ángeles,,es,墨西哥,,B01-SRC-0001,Elena Garro - Detalle del autor,词条,加罗剧作（词条所列作品）,medium,,EXT-AI-02
B01-ENT-0018,edition,Pedro Páramo（FCE 1964 版）,Pedro Páramo (FCE 1964),,es,墨西哥,1964,B01-SRC-0013,Pedro Páramo - Detalle de la obra,作品页,FCE 1964 年版（作品页书目）,medium,,EXT-AI-02
B01-ENT-0019,character,弗朗西斯科·罗萨斯,Francisco Rosas,,es,墨西哥,,B01-SRC-0004,Los recuerdos del porvenir - Detalle de la obra,作品页简介,《未来的回忆》中的将军；故事随其进驻伊斯特佩克展开,medium,,EXT-AI-02
B01-ENT-0020,character,胡利娅·安德拉德,Julia Andrade,,es,墨西哥,,B01-SRC-0004,Los recuerdos del porvenir - Detalle de la obra,作品页简介,《未来的回忆》中神秘女性角色,low,角色细节以作品页简介为据,EXT-AI-02
B01-ENT-0021,character,胡安·普雷西亚多,Juan Preciado,,es,墨西哥,,B01-SRC-0013,Pedro Páramo - Detalle de la obra,作品页简介,《佩德罗·巴拉莫》主线人物之一：赴科马拉寻父,high,,EXT-AI-02
B01-ENT-0022,character,佩德罗·巴拉莫（人物）,Pedro Páramo,,es,墨西哥,,B01-SRC-0013,Pedro Páramo - Detalle de la obra,作品页简介,《佩德罗·巴拉莫》中的考迪罗（cacique）；与同名作品分层（work vs character）,high,同名作品/人物分层测试点，待 Codex 确认,EXT-AI-02
B01-ENT-0023,place,墨西哥,México,,es,墨西哥,,B01-SRC-0001,Elena Garro - Detalle del autor,词条,三作家国籍与主要活动国,high,与既有候选 CAND-PLACE-0001/0050 同名需 Codex 合并,EXT-AI-02
B01-ENT-0024,place,恰帕斯,Chiapas,,es,墨西哥,,B01-SRC-0006,Rosario Castellanos - Detalle del autor,词条,卡斯特利亚诺斯童年地及《巴伦坎南》背景地（FCE 页：poblado chiapaneco）,high,,EXT-AI-02
B01-ENT-0025,place,科米坦,Comitán,,es,墨西哥,,B01-SRC-0006,Rosario Castellanos - Detalle del autor,词条,卡斯特利亚诺斯幼年随家迁居的恰帕斯城镇,medium,,EXT-AI-02
B01-ENT-0026,place,伊斯特佩克,Ixtepec,,es,墨西哥,,B01-SRC-0004,Los recuerdos del porvenir - Detalle de la obra,作品页简介,《未来的回忆》虚构村镇，兼为全知叙述者,high,虚构地点；叙述者身份见作品页简介,EXT-AI-02
B01-ENT-0027,place,科马拉,Comala,,es,墨西哥,,B01-SRC-0013,Pedro Páramo - Detalle de la obra,作品页简介,《佩德罗·巴拉莫》中的鬼村（pueblo fantasma）,high,虚构地点,EXT-AI-02
B01-ENT-0028,place,墨西哥城,Ciudad de México,CDMX,es,墨西哥,,B01-SRC-0006,Rosario Castellanos - Detalle del autor,词条,卡斯特利亚诺斯出生地；鲁尔福卒地,medium,,EXT-AI-02
B01-ENT-0029,place,圣加布里埃尔,San Gabriel,,es,墨西哥,,B01-SRC-0011,Juan Rulfo - Detalle del autor,词条,鲁尔福童年成长地（哈利斯科州）,medium,,EXT-AI-02
B01-ENT-0030,person,阿图罗·里普斯坦,Arturo Ripstein,,es,墨西哥,,B01-SRC-0004,Los recuerdos del porvenir - Detalle de la obra,作品页,1968 年《未来的回忆》电影导演,high,Schema 0.2 person 类型,EXT-AI-02
