fact_id,source_id,source_title
V1-FCT-0001,SRC-0002,拉丁美洲文学教程（阅读篇）
V1-FCT-0002,SRC-0002,拉丁美洲文学教程（阅读篇）
V1-FCT-0003,SRC-0002,拉丁美洲文学教程（阅读篇）
V1-FCT-0004,SRC-0002,拉丁美洲文学教程（阅读篇）
V1-FCT-0005,SRC-0002,拉丁美洲文学教程（阅读篇）
V1-FCT-0006,SRC-0002,拉丁美洲文学教程（阅读篇）
V1-FCT-0007,SRC-0002,拉丁美洲文学教程（阅读篇）
V1-FCT-0008,SRC-0013,UESB 期刊文章（21世纪读李斯佩克朵）
V1-FCT-0009,SRC-0009,IMS 李斯佩克朵专题网站
V1-FCT-0010,SRC-0009,IMS 李斯佩克朵专题网站
V1-FCT-0011,SRC-0009,IMS 李斯佩克朵专题网站
V1-FCT-0012,SRC-0009,IMS 李斯佩克朵专题网站
V1-FCT-0013,SRC-0002,拉丁美洲文学教程（阅读篇）
V1-FCT-0014,SRC-0002,拉丁美洲文学教程（阅读篇）
V1-FCT-0015,SRC-0002,拉丁美洲文学教程（阅读篇）
V1-FCT-0016,SRC-0002,拉丁美洲文学教程（阅读篇）
V1-FCT-0017,SRC-0002,拉丁美洲文学教程（阅读篇）
V1-FCT-0018,SRC-0002,拉丁美洲文学教程（阅读篇）
V1-FCT-0019,SRC-0002,拉丁美洲文学教程（阅读篇）
V1-FCT-0020,SRC-0002,拉丁美洲文学教程（阅读篇）
V1-FCT-0021,SRC-0002,拉丁美洲文学教程（阅读篇）
V1-FCT-0022,SRC-0002,拉丁美洲文学教程（阅读篇）
V1-FCT-0023,SRC-0002,拉丁美洲文学教程（阅读篇）
V1-FCT-0024,SRC-0008,博尔赫斯《阿莱夫》之名的政治
V1-FCT-0025,SRC-0002,拉丁美洲文学教程（阅读篇）
V1-FCT-0026,SRC-0002,拉丁美洲文学教程（阅读篇）
V1-FCT-0027,SRC-0002,拉丁美洲文学教程（阅读篇）
V1-FCT-0028,SRC-0007,大英百科全书博尔赫斯传记
V1-FCT-0029,SRC-0009,IMS 李斯佩克朵专题网站
V1-FCT-0030,SRC-0009,IMS 李斯佩克朵专题网站
V1-FCT-0031,SRC-0009,IMS 李斯佩克朵专题网站
V1-FCT-0032,SRC-0009,IMS 李斯佩克朵专题网站
V1-FCT-0033,SRC-0009,IMS 李斯佩克朵专题网站
V1-FCT-0034,SRC-0011,SciELO 期刊文章（升华与女性）
V1-FCT-0035,SRC-0009,IMS 李斯佩克朵专题网站
V1-FCT-0036,SRC-0009,IMS 李斯佩克朵专题网站
V1-FCT-0037,SRC-0009,IMS 李斯佩克朵专题网站
V1-FCT-0038,SRC-0009,IMS 李斯佩克朵专题网站
V1-FCT-0039,SRC-0009,IMS 李斯佩克朵专题网站
V1-FCT-0040,SRC-0009,IMS 李斯佩克朵专题网站
V1-FCT-0041,SRC-0012,UNESP 期刊文章（虚构面具）
V1-FCT-0042,SRC-0009,IMS 李斯佩克朵专题网站
V1-FCT-0043,SRC-0009,IMS 李斯佩克朵专题网站
V1-FCT-0044,SRC-0009,IMS 李斯佩克朵专题网站
V1-FCT-0045,SRC-0009,IMS 李斯佩克朵专题网站
V1-FCT-0046,SRC-0009,IMS 李斯佩克朵专题网站
V1-FCT-0047,SRC-0013,UESB 期刊文章（21世纪读李斯佩克朵）
V1-FCT-0048,SRC-0014,阿根廷国家图书馆《博尔赫斯问题》书目
V1-FCT-0049,SRC-0015,阿根廷国家图书馆《阿莱夫》80周年展览页
V1-FCT-0050,SRC-0016,IMS 李斯佩克朵生平简介
V1-FCT-0051,SRC-0017,Elena Garro - Detalle del autor
V1-FCT-0052,SRC-0017,Elena Garro - Detalle del autor
V1-FCT-0053,SRC-0017,Elena Garro - Detalle del autor
V1-FCT-0054,SRC-0017,Elena Garro - Detalle del autor
V1-FCT-0055,SRC-0017,Elena Garro - Detalle del autor
V1-FCT-0056,SRC-0017,Elena Garro - Detalle del autor
V1-FCT-0057,SRC-0017,Elena Garro - Detalle del autor
V1-FCT-0058,SRC-0017,Elena Garro - Detalle del autor
V1-FCT-0059,SRC-0022,Rosario Castellanos - Detalle del autor
V1-FCT-0060,SRC-0022,Rosario Castellanos - Detalle del autor
V1-FCT-0061,SRC-0022,Rosario Castellanos - Detalle del autor
V1-FCT-0062,SRC-0022,Rosario Castellanos - Detalle del autor
V1-FCT-0063,SRC-0022,Rosario Castellanos - Detalle del autor
V1-FCT-0064,SRC-0022,Rosario Castellanos - Detalle del autor
V1-FCT-0065,SRC-0022,Rosario Castellanos - Detalle del autor
V1-FCT-0066,SRC-0022,Rosario Castellanos - Detalle del autor
V1-FCT-0067,SRC-0027,Juan Rulfo - Detalle del autor
V1-FCT-0068,SRC-0027,Juan Rulfo - Detalle del autor
V1-FCT-0069,SRC-0027,Juan Rulfo - Detalle del autor
V1-FCT-0070,SRC-0027,Juan Rulfo - Detalle del autor
V1-FCT-0071,SRC-0027,Juan Rulfo - Detalle del autor
V1-FCT-0072,SRC-0027,Juan Rulfo - Detalle del autor
V1-FCT-0073,SRC-0027,Juan Rulfo - Detalle del autor
V1-FCT-0074,SRC-0027,Juan Rulfo - Detalle del autor
V1-FCT-0075,SRC-0020,Los recuerdos del porvenir - Detalle de la obra
V1-FCT-0076,SRC-0020,Los recuerdos del porvenir - Detalle de la obra
V1-FCT-0077,SRC-0020,Los recuerdos del porvenir - Detalle de la obra
V1-FCT-0078,SRC-0020,Los recuerdos del porvenir - Detalle de la obra
V1-FCT-0079,SRC-0020,Los recuerdos del porvenir - Detalle de la obra
V1-FCT-0080,SRC-0020,Los recuerdos del porvenir - Detalle de la obra
V1-FCT-0081,SRC-0019,El fondo de la memoria: Los recuerdos del porvenir de Elena Garro
V1-FCT-0082,SRC-0021,La semana de colores: cuentos - Detalle de la obra
V1-FCT-0083,SRC-0021,La semana de colores: cuentos - Detalle de la obra
V1-FCT-0084,SRC-0021,La semana de colores: cuentos - Detalle de la obra
V1-FCT-0085,SRC-0021,La semana de colores: cuentos - Detalle de la obra
V1-FCT-0086,SRC-0017,Elena Garro - Detalle del autor
V1-FCT-0087,SRC-0017,Elena Garro - Detalle del autor
V1-FCT-0088,SRC-0017,Elena Garro - Detalle del autor
V1-FCT-0089,SRC-0023,Balún-Canán (FCE 产品页)
V1-FCT-0090,SRC-0023,Balún-Canán (FCE 产品页)
V1-FCT-0091,SRC-0023,Balún-Canán (FCE 产品页)
V1-FCT-0092,SRC-0023,Balún-Canán (FCE 产品页)
V1-FCT-0093,SRC-0023,Balún-Canán (FCE 产品页)
V1-FCT-0094,SRC-0024,La palabra sagrada. Violencia y lenguaje en Balún-Canán
V1-FCT-0095,SRC-0026,Oficio de tinieblas - Detalle de la obra
V1-FCT-0096,SRC-0026,Oficio de tinieblas - Detalle de la obra
V1-FCT-0097,SRC-0026,Oficio de tinieblas - Detalle de la obra
V1-FCT-0098,SRC-0025,Poesía no eres tú: obra poética 1948-1971 - Detalle de la obra
V1-FCT-0099,SRC-0025,Poesía no eres tú: obra poética 1948-1971 - Detalle de la obra
V1-FCT-0100,SRC-0025,Poesía no eres tú: obra poética 1948-1971 - Detalle de la obra
V1-FCT-0101,SRC-0025,Poesía no eres tú: obra poética 1948-1971 - Detalle de la obra
V1-FCT-0102,SRC-0029,Pedro Páramo - Detalle de la obra
V1-FCT-0103,SRC-0029,Pedro Páramo - Detalle de la obra
