legacy_group_id,subject_canonical_ref,subject_label,relation_type,object_canonical_ref,object_label,endpoint_signature,source_ids,independent_source_count,evidence_class,raw_row_ids,duplicate_of_current_group,group_status,net_new_eligible,issue_code,rationale
LG-A05-0001,CAND-AUTHOR-0029,莫言,INFLUENCED_BY,B02-ENT-0001,加西亚·马尔克斯,CAND-AUTHOR-0029|INFLUENCED_BY|B02-ENT-0001,SRC-0001,1,interpretive,A05-LROW-0012,,hold_needs_second_source,0,INTERP-SINGLE,解释性单来源：中国作家受拉美作家影响；对象为 V1 核心
LG-A05-0002,CAND-AUTHOR-0029,莫言,INFLUENCED_BY,B01-ENT-0003,胡安·鲁尔福,CAND-AUTHOR-0029|INFLUENCED_BY|B01-ENT-0003,SRC-0001,1,interpretive,A05-LROW-0013,,hold_needs_second_source,0,INTERP-SINGLE,解释性单来源
LG-A05-0003,CAND-AUTHOR-0029,莫言,INFLUENCED_BY,B03-ENT-0001,马里奥·巴尔加斯·略萨,CAND-AUTHOR-0029|INFLUENCED_BY|B03-ENT-0001,SRC-0001,1,interpretive,A05-LROW-0014,,hold_needs_second_source,0,INTERP-SINGLE,解释性单来源
LG-A05-0004,CAND-AUTHOR-0030,郑万隆,INFLUENCED_BY,STG-ENT-0002,豪尔赫·路易斯·博尔赫斯,CAND-AUTHOR-0030|INFLUENCED_BY|STG-ENT-0002,SRC-0001,1,interpretive,A05-LROW-0015,,hold_needs_second_source,0,INTERP-SINGLE,解释性单来源
LG-A05-0005,CAND-AUTHOR-0030,郑万隆,INFLUENCED_BY,B01-ENT-0003,胡安·鲁尔福,CAND-AUTHOR-0030|INFLUENCED_BY|B01-ENT-0003,SRC-0001,1,interpretive,A05-LROW-0016,,hold_needs_second_source,0,INTERP-SINGLE,解释性单来源
LG-A05-0006,CAND-AUTHOR-0025,何塞·多诺索,ASSOCIATED_WITH_MOVEMENT,B03-ENT-0017,文学爆炸,CAND-AUTHOR-0025|ASSOCIATED_WITH_MOVEMENT|B03-ENT-0017,SRC-0001,1,interpretive,A05-LROW-0019,,hold_needs_second_source,0,INTERP-SINGLE,解释性单来源且原记录 disputed（多诺索自述张力）
LG-A05-0007,B02-ENT-0001,加西亚·马尔克斯,CREATED,B02-ENT-0004,《百年孤独》,B02-ENT-0001|CREATED|B02-ENT-0004,SRC-0001;SRC-0002,2,direct_fact,A05-LROW-0001;A05-LROW-0053,RG-B02-0001,duplicate_existing,0,DUP-EXISTING,与既有 eligible 组重复；legacy 两行提供 SRC-0001/SRC-0002 交叉证据
LG-A05-0008,B02-ENT-0001,加西亚·马尔克斯,CREATED,B02-ENT-0005,《没有人给他写信的上校》,B02-ENT-0001|CREATED|B02-ENT-0005,SRC-0001,1,direct_fact,A05-LROW-0002,RG-B02-0002,duplicate_existing,0,DUP-EXISTING,与既有 eligible 组重复
LG-A05-0009,B02-ENT-0001,加西亚·马尔克斯,CREATED,B02-ENT-0006,《一桩事先张扬的凶杀案》,B02-ENT-0001|CREATED|B02-ENT-0006,SRC-0001,1,direct_fact,A05-LROW-0003,RG-B02-0003,duplicate_existing,0,DUP-EXISTING,与既有 eligible 组重复
LG-A05-0010,B01-ENT-0003,胡安·鲁尔福,CREATED,B01-ENT-0010,《佩德罗·巴拉莫》,B01-ENT-0003|CREATED|B01-ENT-0010,SRC-0001;SRC-0002,2,direct_fact,A05-LROW-0006;A05-LROW-0051,RG-B01-0007,duplicate_existing,0,DUP-EXISTING,与既有 eligible 组重复；legacy 两行提供 SRC-0001/SRC-0002 交叉证据
LG-A05-0011,STG-ENT-0002,豪尔赫·路易斯·博尔赫斯,CREATED,STG-ENT-0003,《小径分岔的花园》,STG-ENT-0002|CREATED|STG-ENT-0003,SRC-0002,1,direct_fact,A05-LROW-0039,RG-S2-0001,duplicate_existing,0,DUP-EXISTING,与 N2 accepted 组重复
LG-A05-0012,STG-ENT-0002,豪尔赫·路易斯·博尔赫斯,CREATED,STG-ENT-0004,《阿莱夫》（1945 年短篇）,STG-ENT-0002|CREATED|STG-ENT-0004,SRC-0002,1,direct_fact,A05-LROW-0040,RG-S2-0002,duplicate_existing,0,DUP-EXISTING,与 N2 accepted 组重复
LG-A05-0013,B03-ENT-0002,巴勃罗·聂鲁达,CREATED,B03-ENT-0006,《二十首情诗和一支绝望的歌》,B03-ENT-0002|CREATED|B03-ENT-0006,SRC-0002,1,direct_fact,A05-LROW-0045,RG-B03-0004,duplicate_existing,0,DUP-EXISTING,与既有 eligible 组重复；对象按 A02-TC-0001 为 collection
LG-A05-0014,B03-ENT-0002,巴勃罗·聂鲁达,CREATED,B03-ENT-0008,《漫歌》,B03-ENT-0002|CREATED|B03-ENT-0008,SRC-0002,1,direct_fact,A05-LROW-0046,RG-B03-0006,duplicate_existing,0,DUP-EXISTING,与既有 eligible 组重复；对象按 A02-TC-0003 为 collection
LG-A05-0015,B02-ENT-0002,胡利奥·科塔萨尔,CREATED,B02-ENT-0007,《跳房子》,B02-ENT-0002|CREATED|B02-ENT-0007,SRC-0003,1,direct_fact,A05-LROW-0073,RG-B02-0004,duplicate_existing,0,DUP-EXISTING,与既有 eligible 组重复
