relation_candidate_id,relation_group_id,subject_candidate_id,subject_label,relation_type,object_candidate_id,object_label,description_zh,source_id,source_title,optional_locator,optional_evidence_note,confidence,dispute_status,issue_notes,extracted_by
B02-REL-0001,RG-B02-0001,B02-ENT-0001,加西亚·马尔克斯,CREATED,B02-ENT-0004,《百年孤独》,加西亚·马尔克斯创作《百年孤独》,B02-SRC-0001,Gabriel García Márquez y la ética en Cien años de soledad – I,论文标题,Javeriana 论文以该小说为研究对象,high,none,,EXT-AI-02
B02-REL-0002,RG-B02-0002,B02-ENT-0001,加西亚·马尔克斯,CREATED,B02-ENT-0005,《没有人给他写信的上校》,加西亚·马尔克斯创作《没有人给他写信的上校》,B02-SRC-0002,Miseria y violencia en El Coronel no tiene quien le escriba,论文标题,Encuentro 论文称“la célebre novela de Gabriel García Márquez”,high,none,,EXT-AI-02
B02-REL-0003,RG-B02-0003,B02-ENT-0001,加西亚·马尔克斯,CREATED,B02-ENT-0006,《一桩事先张扬的凶杀案》,加西亚·马尔克斯创作《一桩事先张扬的凶杀案》,B02-SRC-0003,Un relato sospechoso: Crónica de una muerte anunciada,PDF 首页,Atenea 论文首页署名作品（1981）,high,none,,EXT-AI-02
B02-REL-0004,RG-B02-0004,B02-ENT-0002,胡利奥·科塔萨尔,CREATED,B02-ENT-0007,《跳房子》,科塔萨尔创作《跳房子》,B02-SRC-0007,Cortázar: los relatos fragmentados y la importancia de un lector activo,论文摘要,Passagens 论文称 Rayuela 为“su obra más importante”,high,none,,EXT-AI-02
B02-REL-0005,RG-B02-0005,B02-ENT-0002,胡利奥·科塔萨尔,CREATED,B02-ENT-0011,《动物寓言集》,科塔萨尔创作短篇集《动物寓言集》,B02-SRC-0006,Esto no es un sueño: los personajes frente al concepto onírico en los primeros cuentos fantásticos de Julio Cortázar,论文摘要,Orbis Tertius 论文列为早期幻想故事集,high,none,,EXT-AI-02
B02-REL-0006,RG-B02-0006,B02-ENT-0002,胡利奥·科塔萨尔,CREATED,B02-ENT-0012,《游戏的终结》,科塔萨尔创作短篇集《游戏的终结》,B02-SRC-0009,"Jogos de máscaras e dobras do eu: encruzilhadas de leitura(s) a partir de ""Final de juego"" de Julio Cortázar",论文标题,UB 论文以 Final de juego 为对象,high,none,,EXT-AI-02
B02-REL-0007,RG-B02-0007,B02-ENT-0003,阿莱霍·卡彭铁尔,CREATED,B02-ENT-0008,《人间王国》,卡彭铁尔创作《人间王国》,B02-SRC-0011,"Alejo Carpentier, autor transcultural. El caso de ""El reino de este mundo""",论文标题,RFRM 论文以该小说为研究对象,high,none,,EXT-AI-02
B02-REL-0008,RG-B02-0008,B02-ENT-0003,阿莱霍·卡彭铁尔,CREATED,B02-ENT-0009,《消逝的足迹》,卡彭铁尔创作《消逝的足迹》,B02-SRC-0012,De los pasos perdidos de Alvar Núñez a los Pasos de Alejo Carpentier a través del concepto de la Kehre heideggeriana,论文标题,Atenea 论文以 Los pasos perdidos 为研究对象,high,none,,EXT-AI-02
B02-REL-0009,RG-B02-0009,B02-ENT-0003,阿莱霍·卡彭铁尔,CREATED,B02-ENT-0010,《光明世纪》,卡彭铁尔创作《光明世纪》,B02-SRC-0013,"Objetos de arte, écfrasis y regímenes escópicos en El siglo de las luces (1962) de Alejo Carpentier",论文标题,Letras 论文以 El siglo de las luces (1962) 为研究对象,high,none,,EXT-AI-02
B02-REL-0010,RG-B02-0010,B02-ENT-0002,胡利奥·科塔萨尔,CREATED,B02-ENT-0013,《另一个天空》,科塔萨尔创作短篇《另一个天空》,B02-SRC-0008,Romance y azar en la ciudad: dos transposiciones de cuentos de Julio Cortázar,论文摘要,Anclajes 论文：“basado en el cuento El otro cielo”,high,none,,EXT-AI-02
B02-REL-0011,RG-B02-0011,B02-ENT-0002,胡利奥·科塔萨尔,CREATED,B02-ENT-0014,《口袋里发现的手稿》,科塔萨尔创作短篇《口袋里发现的手稿》,B02-SRC-0008,Romance y azar en la ciudad: dos transposiciones de cuentos de Julio Cortázar,论文摘要,Anclajes 论文：“basado en Manuscrito hallado en un bolsillo”,high,none,,EXT-AI-02
B02-REL-0012,RG-B02-0012,B02-ENT-0015,《水晶天空》,ADAPTED_FROM,B02-ENT-0013,《另一个天空》,1987 年德国电影《水晶天空》改编自短篇《另一个天空》,B02-SRC-0008,Romance y azar en la ciudad: dos transposiciones de cuentos de Julio Cortázar,论文摘要,Anclajes 论文明示改编关系,high,none,,EXT-AI-02
B02-REL-0013,RG-B02-0013,B02-ENT-0016,《地下游戏》,ADAPTED_FROM,B02-ENT-0014,《口袋里发现的手稿》,2005 年巴西电影《地下游戏》改编自短篇《口袋里发现的手稿》,B02-SRC-0008,Romance y azar en la ciudad: dos transposiciones de cuentos de Julio Cortázar,论文摘要,Anclajes 论文明示改编关系,high,none,,EXT-AI-02
B02-REL-0014,RG-B02-0014,B02-ENT-0017,妮娜·格罗塞,DIRECTED,B02-ENT-0015,《水晶天空》,妮娜·格罗塞执导《水晶天空》,B02-SRC-0008,Romance y azar en la ciudad: dos transposiciones de cuentos de Julio Cortázar,论文摘要,Anclajes 论文明示导演,high,none,,EXT-AI-02
B02-REL-0015,RG-B02-0015,B02-ENT-0018,罗贝托·热尔维茨,DIRECTED,B02-ENT-0016,《地下游戏》,罗贝托·热尔维茨执导《地下游戏》,B02-SRC-0008,Romance y azar en la ciudad: dos transposiciones de cuentos de Julio Cortázar,论文摘要,Anclajes 论文明示导演,high,none,,EXT-AI-02
B02-REL-0017,RG-B02-0017,B02-ENT-0001,加西亚·马尔克斯,ASSOCIATED_WITH_PLACE,B02-ENT-0024,哥伦比亚,加西亚·马尔克斯与哥伦比亚关联,B02-SRC-0004,CVC. Actos culturales. Gabriel García Márquez,数字展页,CVC：生于加勒比哥伦比亚的 Aracataca,high,none,,EXT-AI-02
B02-REL-0018,RG-B02-0018,B02-ENT-0001,加西亚·马尔克斯,ASSOCIATED_WITH_PLACE,B02-ENT-0028,阿卡塔卡,加西亚·马尔克斯与阿卡塔卡关联,B02-SRC-0004,CVC. Actos culturales. Gabriel García Márquez,数字展页,CVC：nació en Aracataca,high,none,,EXT-AI-02
B02-REL-0019,RG-B02-0019,B02-ENT-0001,加西亚·马尔克斯,ASSOCIATED_WITH_PLACE,B02-ENT-0027,马孔多,加西亚·马尔克斯与马孔多（虚构地）关联,B02-SRC-0004,CVC. Actos culturales. Gabriel García Márquez,数字展页,CVC：村落“在马孔多名下重生”,medium,none,,EXT-AI-02
B02-REL-0020,RG-B02-0020,B02-ENT-0003,阿莱霍·卡彭铁尔,ASSOCIATED_WITH_PLACE,B02-ENT-0026,古巴,卡彭铁尔与古巴关联,B02-SRC-0011,"Alejo Carpentier, autor transcultural. El caso de ""El reino de este mundo""",论文摘要,RFRM：El cubano Alejo Carpentier,high,none,,EXT-AI-02
B02-REL-0021,RG-B02-0021,B02-ENT-0001,加西亚·马尔克斯,ASSOCIATED_WITH_MOVEMENT,B02-ENT-0029,魔幻现实主义,加西亚·马尔克斯被视为魔幻现实主义的代表,B02-SRC-0004,CVC. Actos culturales. Gabriel García Márquez,数字展页,CVC 明确判断：“uno de los más grandes representantes del realismo mágico”,medium,needs_second_source,,EXT-AI-02
B02-REL-0022,RG-B02-0022,B02-ENT-0003,阿莱霍·卡彭铁尔,ASSOCIATED_WITH_MOVEMENT,B02-ENT-0030,美洲神奇现实,卡彭铁尔发展与界定“神奇现实”（lo real maravilloso）,B02-SRC-0011,"Alejo Carpentier, autor transcultural. El caso de ""El reino de este mundo""",论文摘要,RFRM 明确：Carpentier 发展出 lo real maravilloso 工具,high,needs_second_source,,EXT-AI-02
