entity_id,entity_type,display_name,classification,primary_field,primary_status,auto_approved_fields,user_review_fields,hold_fields,missing_required_fields,facts,direct_sources,content_card,bibliographic_copy_rebase,priority,recommended_action,route,notes,wcd06_decision,added_fields
V1-ENT-0011,collection,《虚构集》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,4,2,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,
V1-ENT-0019,collection,《家庭纽带》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,6,2,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed,ADD_MINIMUM_CONTENT,story_intro;narrative_features;location_note
V1-ENT-0033,collection,《彩色的一周》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,4,2,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,
V1-ENT-0034,work,《关于玛丽安娜的证词》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,3,1,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,
V1-ENT-0036,work,《黑暗的职守》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,3,1,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,
V1-ENT-0037,collection,《诗歌不是你》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,4,1,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,
V1-ENT-0039,collection,《燃烧的原野》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,4,1,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,
V1-ENT-0040,work,《金鸡》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,4,2,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,
V1-ENT-0082,collection,《动物寓言集》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,4,2,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,
V1-ENT-0083,collection,《游戏的终结》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,4,2,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,
V1-ENT-0119,collection,《二十首情诗和一支绝望的歌》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,6,3,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,
V1-ENT-0120,collection,《大地上的居所》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,5,2,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,
